ID,Size,Predicted,Actual
0,78,0.67,NO
1,87,0.0,NO
2,198,0.54,NO
3,175,0.14,NO
4,68,0.02,NO
5,105,0.22,NO
6,58,0.0,NO
7,196,0.65,NO
8,87,0.79,YES
9,132,0.37,YES
10,64,0.0,NO
11,134,0.0,YES
12,432,0.64,NO
13,174,0.73,NO
14,246,0.44,NO
15,107,0.04,NO
16,121,0.0,NO
17,110,0.33,NO
18,58,0.0,NO
19,37,0.06731333411170871,NO
20,77,0.0,NO
21,142,0.77,NO
22,114,0.0,NO
23,59,0.0,NO
24,64,0.0,NO
25,164,0.37,NO
26,70,0.5581666666666667,NO
27,32,0.030883268234083192,NO
28,148,0.18,NO
29,156,0.009000000000000001,NO
30,119,0.0,NO
31,118,0.0,NO
32,230,0.66,NO
33,156,0.009000000000000001,NO
34,85,0.0,NO
35,48,0.12364582639582643,NO
36,263,0.21,YES
37,594,1.0,YES
38,39,0.0,YES
39,39,0.0,NO
40,39,0.0,NO
41,24,0.03,NO
42,62,0.03,NO
43,77,0.05,YES
44,77,0.05,NO
45,54,0.01,NO
46,90,0.18,YES
47,58,0.02,NO
48,24,0.03,NO
49,64,0.04,NO
50,216,0.17,YES
51,36,0.0,NO
52,36,0.0,NO
53,208,0.45,NO
54,74,0.04,NO
55,71,0.03,YES
56,56,0.01,YES
57,44,0.0,YES
58,55,0.01,YES
59,36,0.17,YES
60,43,0.11,YES
61,81,0.62,YES
62,75,0.66,YES
63,81,0.33,YES
64,88,0.52,YES
65,42,0.16,YES
66,82,0.54,NO
67,55,0.13,YES
68,48,0.09,NO
69,72,0.13,NO
70,113,0.39,YES
71,55,0.45,YES
72,35,0.14,YES
73,47,0.01,YES
74,101,0.36,YES
75,109,0.09,NO
76,28,0.01,YES
77,54,0.0,NO
78,158,0.27,YES
79,52,0.2025,YES
80,53,0.0,YES
81,81,0.01,YES
82,83,0.0,YES
83,63,0.013333333333333334,YES
84,48,0.0,NO
85,55,0.0,YES
86,149,0.33,YES
87,263,0.3,YES
88,179,0.57,NO
89,37,0.13145238095238093,NO
90,25,0.6,NO
91,30,0.18,YES
92,36,0.56,NO
93,30,0.18,NO
94,27,0.13,NO
95,37,0.13145238095238093,NO
96,33,0.04,NO
97,31,0.21,NO
98,56,0.0,NO
99,101,0.13,NO
100,139,0.24,NO
101,85,0.08,NO
102,95,0.06,NO
103,60,0.02,YES
104,35,0.05,NO
105,26,0.08,NO
106,69,0.0,YES
107,64,0.26,YES
108,39,0.3240357142857143,YES
109,41,0.53,NO
110,167,0.3,YES
111,66,0.24,YES
112,93,0.27666666666666667,NO
113,78,0.69,YES
114,134,0.56,YES
115,83,0.8,YES
116,48,0.12364582639582643,YES
117,85,0.0,NO
118,43,0.3237984115557644,YES
119,90,0.0,YES
120,202,0.04,NO
121,135,0.01,NO
122,30,0.0,NO
123,29,0.0,NO
124,67,0.89,NO
125,242,0.99,YES
126,64,0.0,YES
127,50,0.0,NO
128,89,0.0,YES
129,40,0.02166666666666666,NO
130,49,0.14309425133689843,YES
131,249,0.7216666666666667,YES
132,40,0.0,YES
133,171,0.1,YES
134,40,0.0,YES
