ID,Size,Predicted,Actual
0,79,0.35,NO
1,87,0.01,NO
2,68,0.0881904761904762,NO
3,58,0.006666666666666665,NO
4,196,0.76,NO
5,132,0.01,NO
6,64,0.10322619047619049,NO
7,134,0.05,NO
8,173,0.59,NO
9,246,0.58,NO
10,107,0.01,NO
11,121,0.01,NO
12,110,0.99,NO
13,58,0.006666666666666665,NO
14,37,0.0,NO
15,77,0.91,NO
16,142,0.99,NO
17,114,0.01,NO
18,59,0.01583333333333333,NO
19,64,0.10322619047619049,NO
20,164,0.3,NO
21,70,0.0881904761904762,NO
22,32,0.0,NO
23,148,0.08,NO
24,156,0.17,NO
25,119,0.01,NO
26,118,0.01,NO
27,156,0.17,NO
28,85,0.01,NO
29,48,0.0,YES
30,263,0.63,NO
31,590,0.12,YES
32,39,0.21,NO
33,39,0.21,NO
34,39,0.21,NO
35,24,0.031999999999999994,NO
36,62,0.01,NO
37,77,0.44,NO
38,77,0.44,NO
39,54,0.01,NO
40,90,0.06,NO
41,58,0.01,NO
42,24,0.031999999999999994,NO
43,64,0.01,NO
44,216,0.42,NO
45,36,0.0,NO
46,36,0.0,NO
47,202,0.29666666666666663,NO
48,74,0.36,NO
49,71,0.16,NO
50,56,0.01,NO
51,44,0.09,NO
52,55,0.01,NO
53,47,0.48,NO
54,101,0.99,YES
55,109,0.68,NO
56,28,0.3233333333333333,NO
57,54,0.45,YES
58,158,0.94,YES
59,52,0.92,YES
60,53,0.44,YES
61,81,0.79,YES
62,83,0.8,YES
63,63,0.41,YES
64,48,0.48,YES
65,55,0.47,YES
66,149,0.95,YES
67,263,0.94,YES
68,179,0.95,YES
69,37,0.34,YES
70,25,0.18,YES
71,30,0.25,YES
72,36,0.63,YES
73,30,0.25,YES
74,27,0.16,YES
75,37,0.34,YES
76,33,0.32,YES
77,31,0.27,YES
78,56,0.47,YES
79,101,0.83,YES
80,139,0.98,YES
81,85,0.88,YES
82,95,0.84,YES
83,60,0.43,YES
84,35,0.33,YES
85,26,0.16,YES
86,69,0.64,YES
87,64,0.41,YES
88,39,0.39,YES
89,41,0.36,YES
90,167,0.95,YES
91,66,0.46,YES
92,93,0.98,YES
93,76,0.42,NO
94,77,0.99,NO
95,83,0.99,NO
96,48,0.0,NO
97,85,0.01,NO
98,43,0.0,NO
99,90,0.01,NO
100,202,0.23,NO
101,135,0.01,NO
102,30,0.0,NO
103,29,0.0,NO
104,69,0.0881904761904762,YES
105,242,0.45666666666666667,NO
106,64,0.54,NO
107,50,0.46,YES
108,89,0.01,NO
109,40,0.36,YES
110,49,0.0,NO
111,249,0.99,YES
112,40,0.0,NO
113,171,0.99,NO
114,40,0.0,NO
115,32,0.0,NO
116,139,0.03,YES
117,131,0.98,YES
118,149,0.98,YES
119,86,0.01,NO
120,69,0.0881904761904762,NO
121,88,0.01,NO
122,42,0.0,NO
123,32,0.0,NO
124,56,0.4,NO
125,51,0.0,NO
126,81,0.014166666666666662,NO
127,35,0.0,NO
128,72,0.050095238095238095,NO
129,46,0.0,NO
130,46,0.0,NO
131,44,0.0,NO
132,29,0.0,NO
133,280,0.48,NO
134,63,0.83,NO
135,334,0.98,YES
136,46,0.0,NO
137,31,0.0,NO
138,83,0.014166666666666662,NO
139,71,0.0881904761904762,NO
140,83,0.014166666666666662,NO
141,40,0.0,NO
142,32,0.0,NO
143,57,0.0,NO
144,50,0.0,YES
145,81,0.014166666666666662,YES
146,35,0.0,YES
147,71,0.0881904761904762,YES
148,46,0.0,NO
149,46,0.0,NO
150,289,0.48,YES
151,143,0.29,NO
152,81,0.13,NO
153,132,0.05,NO
154,146,0.28,YES
155,76,0.31,YES
156,420,0.37,YES
157,306,0.35,YES
158,48,0.222,YES
159,31,0.11,YES
160,62,0.67,NO
161,96,0.78,NO
162,77,0.75,NO
163,111,0.87,NO
164,43,0.09,NO
165,63,0.1,NO
166,235,0.7,NO
167,75,0.28,NO
168,43,0.292,NO
169,33,0.20333333333333334,NO
170,63,0.2065,NO
