ID,Size,Predicted,Actual
0,79,5.94883997620464E-4,NO
1,87,5.94883997620464E-4,NO
2,68,5.94883997620464E-4,NO
3,58,1.9845207382417147E-4,NO
4,196,0.4999999999999999,NO
5,132,5.94883997620464E-4,NO
6,64,1.4885382554331647E-4,NO
7,134,5.94883997620464E-4,NO
8,173,5.94883997620464E-4,NO
9,246,0.9994051160023795,NO
10,107,5.94883997620464E-4,NO
11,121,2.976190476190476E-4,NO
12,110,5.94883997620464E-4,NO
13,58,1.9845207382417147E-4,NO
14,37,1.9845207382417147E-4,NO
15,77,5.94883997620464E-4,NO
16,142,5.94883997620464E-4,NO
17,114,5.94883997620464E-4,NO
18,59,1.1909015124449208E-4,NO
19,64,1.4885382554331647E-4,NO
20,164,5.94883997620464E-4,NO
21,70,5.94883997620464E-4,NO
22,32,3.970302139992854E-5,NO
23,148,5.94883997620464E-4,NO
24,156,5.94883997620464E-4,NO
25,119,5.94883997620464E-4,NO
26,118,5.94883997620464E-4,NO
27,156,5.94883997620464E-4,NO
28,85,2.976190476190476E-4,NO
29,48,1.9845207382417147E-4,YES
30,263,5.94883997620464E-4,NO
31,590,5.94883997620464E-4,YES
32,39,5.94883997620464E-4,NO
33,39,5.94883997620464E-4,NO
34,39,5.94883997620464E-4,NO
35,24,5.94883997620464E-4,NO
36,62,5.94883997620464E-4,NO
37,77,5.94883997620464E-4,NO
38,77,5.94883997620464E-4,NO
39,54,5.94883997620464E-4,NO
40,90,5.94883997620464E-4,NO
41,58,5.94883997620464E-4,NO
42,24,5.94883997620464E-4,NO
43,64,5.94883997620464E-4,NO
44,216,5.94883997620464E-4,NO
45,36,2.976190476190476E-4,NO
46,36,2.976190476190476E-4,NO
47,202,5.94883997620464E-4,NO
48,74,5.94883997620464E-4,NO
49,71,5.94883997620464E-4,NO
50,56,5.94883997620464E-4,NO
51,44,5.94883997620464E-4,NO
52,55,5.94883997620464E-4,NO
53,47,8.507018290089324E-5,NO
54,101,0.9994051160023795,YES
55,109,5.94883997620464E-4,NO
56,28,0.0909533863894754,NO
57,54,5.94883997620464E-4,YES
58,158,0.9994051160023795,YES
59,52,0.9994051160023795,YES
60,53,5.94883997620464E-4,YES
61,81,5.94883997620464E-4,YES
62,83,5.94883997620464E-4,YES
63,63,5.94883997620464E-4,YES
64,48,5.94883997620464E-4,YES
65,55,5.94883997620464E-4,YES
66,149,0.9994051160023795,YES
67,263,0.9994051160023795,YES
68,179,0.9994051160023795,YES
69,37,5.94883997620464E-4,YES
70,25,5.94883997620464E-4,YES
71,30,5.94883997620464E-4,YES
72,36,0.9994051160023795,YES
73,30,5.94883997620464E-4,YES
74,27,5.94883997620464E-4,YES
75,37,5.94883997620464E-4,YES
76,33,5.94883997620464E-4,YES
77,31,5.94883997620464E-4,YES
78,56,5.94883997620464E-4,YES
79,101,5.94883997620464E-4,YES
80,139,0.9994051160023795,YES
81,85,0.9994051160023795,YES
82,95,5.94883997620464E-4,YES
83,60,5.94883997620464E-4,YES
84,35,5.94883997620464E-4,YES
85,26,5.94883997620464E-4,YES
86,69,5.94883997620464E-4,YES
87,64,5.94883997620464E-4,YES
88,39,5.94883997620464E-4,YES
89,41,5.94883997620464E-4,YES
90,167,0.9994051160023795,YES
91,66,5.94883997620464E-4,YES
92,93,0.9994051160023795,YES
93,76,5.94883997620464E-4,NO
94,77,0.9994051160023795,NO
95,83,0.9994051160023795,NO
96,48,1.9845207382417147E-4,NO
97,85,2.976190476190476E-4,NO
98,43,1.9845207382417147E-4,NO
99,90,1.9845207382417147E-4,NO
100,202,5.94883997620464E-4,NO
101,135,5.94883997620464E-4,NO
102,30,8.507018290089324E-5,NO
103,29,6.616819956328989E-5,NO
104,69,5.94883997620464E-4,YES
105,242,5.94883997620464E-4,NO
106,64,5.94883997620464E-4,NO
107,50,5.94883997620464E-4,YES
108,89,1.9845207382417147E-4,NO
109,40,5.94883997620464E-4,YES
110,49,1.9845207382417147E-4,NO
111,249,0.9994051160023795,YES
112,40,1.1909015124449208E-4,NO
113,171,0.9994051160023795,NO
114,40,1.1909015124449208E-4,NO
115,32,3.970302139992854E-5,NO
116,139,5.94883997620464E-4,YES
117,131,0.9994051160023795,YES
118,149,0.9994051160023795,YES
119,86,5.94883997620464E-4,NO
120,69,5.94883997620464E-4,NO
121,88,1.4885382554331647E-4,NO
122,42,1.1909015124449208E-4,NO
123,32,3.970302139992854E-5,NO
124,56,5.94883997620464E-4,NO
125,51,8.507018290089324E-5,NO
126,81,2.976190476190476E-4,NO
127,35,1.9845207382417147E-4,NO
128,72,1.9845207382417147E-4,NO
129,46,2.976190476190476E-4,NO
130,46,2.976190476190476E-4,NO
131,44,9.924573243350537E-5,NO
132,29,6.616819956328989E-5,NO
133,280,5.94883997620464E-4,NO
134,63,5.94883997620464E-4,NO
135,334,0.9994051160023795,YES
136,46,2.976190476190476E-4,NO
137,31,4.581061890146137E-5,NO
138,83,2.976190476190476E-4,NO
139,71,1.9845207382417147E-4,NO
140,83,2.976190476190476E-4,NO
141,40,1.1909015124449208E-4,NO
142,32,3.970302139992854E-5,NO
143,57,1.4885382554331647E-4,NO
144,50,1.1909015124449208E-4,YES
145,81,2.976190476190476E-4,YES
146,35,1.9845207382417147E-4,YES
147,71,1.9845207382417147E-4,YES
148,46,2.976190476190476E-4,NO
149,46,2.976190476190476E-4,NO
150,289,5.94883997620464E-4,YES
151,143,5.94883997620464E-4,NO
