ID,Size,Predicted,Actual
0,78,0.0,YES
1,87,0.0,NO
2,68,0.0,NO
3,58,0.0,NO
4,196,0.0,NO
5,132,0.0,NO
6,64,0.0,NO
7,173,0.0,NO
8,246,0.0,NO
9,107,0.0,NO
10,121,0.0,NO
11,110,0.0,YES
12,58,0.0,NO
13,37,0.0,NO
14,142,0.0,YES
15,114,0.0,NO
16,59,0.0,NO
17,64,0.0,NO
18,164,0.0,NO
19,70,0.0,NO
20,32,0.0,NO
21,148,0.0,NO
22,156,0.0,NO
23,119,0.0,NO
24,118,0.0,NO
25,156,0.0,NO
26,85,0.0,NO
27,48,0.0,YES
28,33,0.0,NO
29,69,0.0,NO
30,77,0.0,YES
31,83,0.0,YES
32,48,0.0,NO
33,85,0.0,NO
34,43,0.0,NO
35,90,0.0,NO
36,202,0.0,NO
37,135,0.0,NO
38,30,0.0,NO
39,29,0.0,NO
40,69,0.0,NO
41,52,0.0,NO
42,89,0.0,NO
43,31,0.0,NO
44,233,0.0,YES
45,40,0.0,NO
46,164,0.0,YES
47,40,0.0,NO
48,32,0.0,NO
49,139,0.0,NO
50,131,0.0,YES
51,149,0.0,YES
52,86,0.0,NO
53,52,0.0,NO
54,88,0.0,NO
55,42,0.0,NO
56,32,0.0,NO
57,40,0.0,NO
58,51,0.0,NO
59,81,0.0,NO
60,35,0.0,NO
61,55,0.0,NO
62,46,0.0,NO
63,46,0.0,NO
64,27,0.0,NO
65,12,0.0,NO
66,48,0.0,YES
67,317,0.0,NO
68,29,0.0,NO
69,14,0.0,NO
70,83,0.0,NO
71,54,0.0,NO
72,83,0.0,NO
73,40,0.0,NO
74,32,0.0,NO
75,40,0.0,NO
76,50,0.0,NO
77,81,0.0,NO
78,35,0.0,NO
79,54,0.0,NO
80,46,0.0,NO
81,46,0.0,NO
82,86,0.0,NO
83,25,0.0,NO
84,152,0.0,YES
85,94,0.0,NO
86,29,0.0,NO
87,52,0.0,YES
88,43,0.0,NO
89,195,0.0,NO
90,243,0.0,YES
91,28,0.0,NO
92,37,0.0,NO
93,69,0.0,NO
94,28,0.0,NO
95,273,0.0,YES
96,36,0.0,NO
97,51,0.0,NO
98,38,0.0,NO
99,52,0.0,NO
100,37,0.0,NO
101,46,0.0,NO
102,5,0.0,YES
103,113,0.0,NO
104,36,0.0,NO
105,116,0.0,NO
106,116,0.0,YES
107,48,0.0,NO
108,32,0.0,NO
109,34,0.0,NO
110,26,0.0,NO
111,50,0.0,NO
112,31,0.0,NO
113,98,0.0,NO
114,26,0.0,NO
115,25,0.0,NO
116,40,0.0,NO
117,59,0.0,NO
118,36,0.0,NO
119,58,0.0,NO
120,37,0.0,NO
121,268,0.0,YES
122,99,0.0,NO
123,57,0.0,NO
124,31,0.0,NO
125,70,0.0,NO
126,41,0.0,NO
127,28,0.0,NO
128,34,0.0,NO
129,26,0.0,NO
130,72,0.0,NO
131,1424,1.0,YES
132,345,0.0,YES
133,36,0.0,YES
134,32,0.0,YES
135,49,0.0,YES
136,27,0.0,NO
137,423,0.0,YES
138,119,0.0,NO
139,153,0.0,NO
140,51,0.0,NO
141,51,0.0,NO
142,108,0.0,NO
143,46,0.0,NO
144,53,0.0,NO
145,436,0.0,NO
146,382,0.0,NO
147,30,0.0,NO
148,22,0.0,NO
149,108,0.0,YES
150,253,0.0,YES
151,75,0.0,NO
152,93,0.0,NO
153,49,0.0,NO
154,383,0.0,NO
155,59,0.0,NO
156,124,0.0,YES
157,344,0.0,YES
158,344,0.0,YES
159,443,0.0,YES
160,1127,0.0,YES
161,614,0.0,YES
162,723,0.0,YES
163,402,0.0,YES
164,389,0.0,YES
165,344,0.0,YES
166,441,0.0,YES
167,1079,0.0,YES
168,2346,0.0,YES
169,625,0.0,YES
170,436,0.0,YES
171,335,0.0,YES
172,695,0.0,YES
173,824,0.0,YES
174,441,0.0,YES
175,679,0.0,YES
176,344,0.0,YES
177,479,0.0,YES
178,549,0.0,YES
179,336,0.0,YES
180,16276,0.0,YES
181,344,0.0,YES
182,241,0.0,YES
183,565,0.0,YES
184,433,0.0,YES
185,443,0.0,YES
186,772,0.0,YES
187,443,0.0,YES
188,676,0.0,YES
189,478,0.0,YES
190,452,0.0,YES
191,722,0.0,YES
192,1124,0.0,YES
193,61,0.0,YES
194,1101,0.0,YES
195,43,0.0,NO
196,61,0.0,NO
197,38,0.0,NO
198,32,0.0,NO
199,32,0.0,NO
200,32,0.0,NO
201,35,0.0,NO
202,30,0.0,NO
203,30,0.0,NO
204,49,0.0,NO
205,59,0.0,NO
206,53,0.0,NO
207,57,0.0,NO
208,384,0.0,YES
209,112,0.0,YES
210,71,0.0,YES
211,136,0.0,NO
212,145,0.0,YES
213,43,0.0,YES
214,52,0.0,NO
215,99,0.0,YES
216,166,0.0,YES
217,31,0.0,YES
218,165,0.0,YES
219,31,0.0,YES
220,158,0.0,YES
221,83,0.0,YES
222,155,0.0,YES
223,74,0.0,YES
224,301,0.0,YES
225,41,0.0,NO
226,54,0.0,YES
227,66,0.0,YES
228,57,0.0,YES
229,72,0.0,NO
230,64,0.0,NO
231,155,0.0,NO
232,34,0.0,NO
233,38,0.0,NO
234,41,0.0,NO
235,23,0.0,NO
236,22,0.0,NO
237,60,0.0,NO
238,24,0.0,NO
239,22,0.0,NO
240,55,0.0,NO
241,45,0.0,NO
242,50,0.0,NO
243,38,0.0,NO
244,31,0.0,NO
245,30,0.0,NO
246,31,0.0,NO
247,38,0.0,NO
248,31,0.0,NO
249,32,0.0,NO
250,80,0.0,NO
251,82,0.0,NO
252,202,0.0,NO
253,40,0.0,NO
254,185,0.0,NO
255,51,0.0,NO
256,31,0.0,NO
257,28,0.0,NO
258,25,0.0,NO
259,25,0.0,NO
260,33,0.0,NO
261,448,0.0,YES
262,54,0.0,NO
263,39,0.0,NO
264,40,0.0,NO
265,45,0.0,NO
266,58,0.0,NO
267,110,0.0,NO
268,89,0.0,NO
269,57,0.0,NO
270,89,0.0,NO
271,52,0.0,NO
272,219,0.0,YES
273,125,0.0,YES
274,346,0.0,YES
275,98,0.0,YES
276,343,1.0,YES
277,296,0.0,YES
278,47,0.0,YES
279,284,0.0,YES
