ID,Size,Predicted,Actual
0,111,3.759539832324523E-5,YES
1,22,0.009901354986916945,YES
2,75,0.9999624046016767,NO
3,131,3.759539832324523E-5,YES
4,74,3.759539832324523E-5,NO
5,84,3.759539832324523E-5,NO
6,70,3.759539832324523E-5,NO
7,57,0.2277229749927316,NO
8,70,0.6060605255012618,NO
9,59,0.5,NO
10,88,0.9999624046016767,NO
11,40,0.06250013707682035,NO
12,99,3.759539832324523E-5,NO
13,187,3.759539832324523E-5,NO
14,196,3.759539832324523E-5,NO
15,192,3.759539832324523E-5,NO
16,97,0.9999624046016767,NO
17,98,0.9999624046016767,NO
18,96,0.9999624046016767,NO
19,173,3.759539832324523E-5,NO
20,141,0.9999624046016767,NO
21,142,0.9999624046016767,NO
22,188,3.759539832324523E-5,NO
23,90,0.9999624046016767,NO
24,110,0.9999624046016767,NO
25,62,0.014286236056444544,NO
26,61,0.20869584265251054,NO
27,120,0.9999624046016767,NO
28,116,3.759539832324523E-5,NO
29,58,7.519531984329295E-6,NO
30,74,1.879840589518009E-5,NO
31,113,3.759539832324523E-5,NO
32,48,3.759539832324523E-5,NO
33,77,3.759539832324523E-5,NO
34,65,0.3200001082828239,NO
35,74,3.759539832324523E-5,NO
36,83,3.759539832324523E-5,NO
37,128,3.759539832324523E-5,NO
38,72,3.759539832324523E-5,NO
39,76,3.759539832324523E-5,NO
40,69,3.759539832324523E-5,NO
41,83,3.759539832324523E-5,NO
42,65,3.759539832324523E-5,NO
43,88,0.9999624046016767,NO
44,40,0.06250013707682035,NO
45,86,0.9999624046016767,NO
46,89,3.759539832324523E-5,NO
47,49,0.3726708669235955,NO
48,102,0.461538572775493,NO
49,94,0.9999624046016767,NO
50,72,0.9999624046016767,NO
51,60,3.759539832324523E-5,NO
52,76,3.759539832324523E-5,NO
53,92,3.759539832324523E-5,NO
54,96,0.9999624046016767,NO
55,70,3.759539832324523E-5,NO
56,86,0.9999624046016767,NO
57,101,3.759539832324523E-5,NO
58,169,3.759539832324523E-5,NO
59,115,3.759539832324523E-5,NO
60,153,0.9999624046016767,NO
61,58,3.759539832324523E-5,NO
62,47,3.759539832324523E-5,NO
63,49,3.759539832324523E-5,NO
64,58,3.759539832324523E-5,NO
65,70,3.759539832324523E-5,NO
66,141,3.759539832324523E-5,NO
67,93,3.759539832324523E-5,NO
68,273,3.759539832324523E-5,NO
69,96,0.9999624046016767,NO
70,50,3.759539832324523E-5,NO
71,241,3.759539832324523E-5,NO
72,195,0.9999624046016767,NO
73,131,0.999995300266005,NO
74,170,1.879840589518009E-5,YES
75,161,0.9999624046016767,NO
76,102,3.759539832324523E-5,NO
77,150,0.9999624046016767,NO
78,65,3.759539832324523E-5,NO
79,88,0.9999624046016767,NO
80,40,0.06250013707682035,NO
81,57,0.2277229749927316,NO
82,39,0.24475537897545152,NO
83,85,3.759539832324523E-5,NO
84,93,3.759539832324523E-5,NO
85,87,3.759539832324523E-5,NO
86,81,3.759539832324523E-5,NO
87,95,0.5,NO
88,66,3.759539832324523E-5,NO
89,94,3.759539832324523E-5,NO
90,76,0.33333751080921886,NO
91,116,3.759539832324523E-5,NO
92,56,0.27586216582971035,NO
93,48,0.2568307010134875,NO
94,71,3.759539832324523E-5,NO
95,45,0.045454933865632596,NO
96,45,0.045454933865632596,NO
97,30,0.04666689392693716,NO
98,74,3.759539832324523E-5,NO
