ID,Size,Predicted,Actual
0,78,6.949270326615705E-4,YES
1,87,5.213764337851928E-4,YES
2,68,6.949270326615705E-4,YES
3,58,0.0010416666666666667,YES
4,196,0.0020790020790020787,YES
5,78,6.949270326615705E-4,YES
6,64,0.0010416666666666667,YES
7,173,0.0010416666666666667,YES
8,246,0.0020790020790020787,YES
9,107,0.0010416666666666667,YES
10,110,0.0020790020790020787,YES
11,58,0.0010416666666666667,YES
12,37,5.213764337851928E-4,YES
13,142,0.0010416666666666667,YES
14,114,0.997920997920998,YES
15,59,6.949270326615705E-4,YES
16,64,0.0010416666666666667,YES
17,164,0.0020790020790020787,YES
18,70,0.0020790020790020787,YES
19,32,4.171881518564872E-4,YES
20,148,0.0020790020790020787,YES
21,156,0.0020790020790020787,YES
22,119,0.0020790020790020787,YES
23,118,0.0020790020790020787,YES
24,156,0.0020790020790020787,YES
25,85,0.0020790020790020787,YES
26,39,6.949270326615705E-4,YES
27,33,4.171881518564872E-4,YES
28,81,6.949270326615705E-4,YES
29,25,4.171881518564872E-4,YES
30,147,0.0020790020790020787,YES
31,94,6.949270326615705E-4,YES
32,29,6.949270326615705E-4,YES
33,52,6.949270326615705E-4,YES
34,43,5.213764337851928E-4,YES
35,195,0.0020790020790020787,YES
36,243,0.0020790020790020787,YES
37,28,4.171881518564872E-4,YES
38,37,5.213764337851928E-4,YES
39,64,0.0010416666666666667,YES
40,28,4.171881518564872E-4,YES
41,265,0.0020790020790020787,YES
42,36,2.608242044861763E-4,YES
43,51,6.949270326615705E-4,YES
44,38,5.213764337851928E-4,YES
45,52,6.949270326615705E-4,YES
46,37,5.213764337851928E-4,YES
47,46,4.171881518564872E-4,YES
48,113,0.5,YES
49,36,2.608242044861763E-4,YES
50,116,0.997920997920998,YES
51,89,6.949270326615705E-4,YES
52,50,4.171881518564872E-4,YES
53,31,5.213764337851928E-4,YES
54,98,0.0020790020790020787,YES
55,26,6.949270326615705E-4,YES
56,25,4.171881518564872E-4,YES
57,40,2.3185717597959654E-4,YES
58,59,6.949270326615705E-4,YES
59,36,2.608242044861763E-4,YES
60,58,0.0010416666666666667,YES
61,37,5.213764337851928E-4,YES
62,268,0.0020790020790020787,YES
63,70,0.0020790020790020787,YES
64,72,6.949270326615705E-4,NO
65,993,0.0020790020790020787,YES
66,155,0.0010416666666666667,YES
67,35,2.608242044861763E-4,YES
68,47,5.213764337851928E-4,YES
69,27,2.608242044861763E-4,NO
70,301,0.0020790020790020787,YES
71,119,0.0020790020790020787,NO
72,153,0.0020790020790020787,NO
73,51,6.949270326615705E-4,NO
74,51,6.949270326615705E-4,NO
75,108,0.0020790020790020787,NO
76,46,4.171881518564872E-4,NO
77,53,5.213764337851928E-4,NO
78,436,6.949270326615705E-4,NO
79,382,0.0020790020790020787,NO
80,30,4.171881518564872E-4,NO
81,22,3.477051460361613E-4,NO
82,91,0.0010416666666666667,YES
83,169,0.0010416666666666667,YES
84,75,6.949270326615705E-4,NO
85,93,0.0010416666666666667,NO
86,49,0.0020790020790020787,NO
87,383,0.0020790020790020787,NO
88,59,6.949270326615705E-4,NO
89,95,0.0020790020790020787,YES
90,344,0.0020790020790020787,YES
91,443,6.949270326615705E-4,YES
92,1127,0.0020790020790020787,YES
93,614,0.0020790020790020787,YES
94,723,0.0020790020790020787,YES
95,402,0.0020790020790020787,YES
96,344,0.0020790020790020787,YES
97,441,6.949270326615705E-4,YES
98,981,0.0020790020790020787,YES
99,2032,0.0020790020790020787,YES
100,625,0.0020790020790020787,YES
101,436,6.949270326615705E-4,YES
102,335,0.0020790020790020787,YES
103,695,0.0010416666666666667,YES
104,824,0.0020790020790020787,YES
105,441,6.949270326615705E-4,YES
106,679,0.0020790020790020787,YES
107,344,0.0020790020790020787,YES
108,479,0.0020790020790020787,YES
109,549,0.0020790020790020787,YES
110,336,0.0020790020790020787,YES
111,13508,0.0020790020790020787,YES
112,344,0.0020790020790020787,YES
113,241,0.0020790020790020787,YES
114,565,0.0020790020790020787,YES
115,433,6.949270326615705E-4,YES
116,443,6.949270326615705E-4,YES
117,772,0.0020790020790020787,YES
118,443,6.949270326615705E-4,YES
119,676,0.0020790020790020787,YES
120,478,0.0020790020790020787,YES
121,356,0.0020790020790020787,YES
122,722,0.0020790020790020787,YES
123,934,0.0020790020790020787,YES
124,61,5.213764337851928E-4,YES
125,911,0.0020790020790020787,YES
126,43,5.213764337851928E-4,NO
127,61,5.213764337851928E-4,NO
128,38,5.213764337851928E-4,NO
129,32,4.171881518564872E-4,NO
130,32,4.171881518564872E-4,NO
131,32,4.171881518564872E-4,NO
132,35,2.608242044861763E-4,NO
133,30,4.171881518564872E-4,NO
134,30,4.171881518564872E-4,NO
135,49,0.0020790020790020787,YES
136,59,6.949270326615705E-4,NO
137,53,5.213764337851928E-4,NO
138,57,0.0020790020790020787,NO
139,350,0.0020790020790020787,YES
140,112,0.0020790020790020787,YES
141,69,0.0020790020790020787,YES
142,136,0.0020790020790020787,YES
143,115,0.997920997920998,YES
144,39,6.949270326615705E-4,YES
145,52,6.949270326615705E-4,YES
146,243,0.0020790020790020787,YES
147,41,6.949270326615705E-4,YES
148,44,2.086811352253756E-4,YES
149,66,0.0010416666666666667,YES
150,45,5.213764337851928E-4,YES
151,72,6.949270326615705E-4,NO
152,64,0.0010416666666666667,NO
153,155,0.0010416666666666667,NO
154,34,2.980625931445603E-4,NO
155,38,5.213764337851928E-4,NO
156,41,6.949270326615705E-4,NO
157,23,4.171881518564872E-4,NO
158,22,3.477051460361613E-4,NO
159,60,0.0020790020790020787,NO
160,24,3.477051460361613E-4,NO
161,22,3.477051460361613E-4,NO
162,55,6.949270326615705E-4,NO
163,45,5.213764337851928E-4,NO
164,50,4.171881518564872E-4,NO
165,38,5.213764337851928E-4,NO
166,31,5.213764337851928E-4,NO
167,80,0.0010416666666666667,YES
168,82,6.949270326615705E-4,YES
