ID,Size,Predicted,Actual
0,78,0.0,NO
1,302,0.0,NO
2,87,0.0,NO
3,198,0.0,NO
4,175,0.0,NO
5,65,0.0,NO
6,105,0.0,NO
7,58,0.0,NO
8,196,0.0,NO
9,106,0.0,NO
10,130,0.0,NO
11,64,0.0,NO
12,132,0.0,NO
13,62,0.0,NO
14,108,1.0,YES
15,432,0.0,NO
16,174,0.0,NO
17,246,0.0,NO
18,106,0.0,YES
19,121,0.0,NO
20,110,0.0,NO
21,58,0.0,NO
22,37,0.0,NO
23,77,0.0,NO
24,142,0.0,NO
25,114,0.0,NO
26,80,0.0,NO
27,59,0.0,NO
28,69,0.0,NO
29,95,0.0,NO
30,64,0.0,NO
31,164,1.0,YES
32,70,0.0,NO
33,32,0.0,NO
34,148,0.0,NO
35,156,0.0,NO
36,119,0.0,NO
37,116,0.0,NO
38,93,0.0,NO
39,256,1.0,YES
40,123,0.0,NO
41,201,0.0,NO
42,180,0.0,NO
43,156,0.0,NO
44,98,0.0,NO
45,86,0.0,YES
46,48,0.0,NO
47,143,1.0,YES
48,145,0.0,NO
49,113,0.0,NO
50,260,0.0,NO
51,618,0.0,YES
52,39,0.0,NO
53,39,0.0,NO
54,39,0.0,NO
55,24,0.0,NO
56,62,0.0,NO
57,77,0.0,NO
58,77,0.0,NO
59,54,0.0,NO
60,92,0.0,NO
61,58,0.0,NO
62,24,0.0,NO
63,64,0.0,NO
64,216,0.0,NO
65,36,0.0,NO
66,36,0.0,NO
67,208,0.0,NO
68,64,0.0,YES
69,39,0.0,NO
70,47,0.0,NO
71,74,0.0,NO
72,71,0.0,NO
73,123,1.0,YES
74,44,0.0,NO
75,122,1.0,YES
76,53,0.0,NO
77,242,0.0,YES
78,44,0.0,NO
79,171,0.0,NO
80,511,0.0,YES
81,128,1.0,YES
82,178,0.0,YES
83,130,0.0,YES
84,460,1.0,YES
85,201,0.0,YES
86,116,0.0,NO
87,225,0.0,NO
88,42,0.0,NO
89,44,0.0,NO
90,94,0.0,NO
91,136,0.0,NO
92,27,0.0,NO
93,47,0.0,NO
94,60,0.0,NO
95,58,0.0,NO
96,56,0.0,NO
97,205,0.0,NO
98,54,0.0,YES
99,49,0.0,NO
100,32,0.0,YES
101,43,0.0,YES
102,111,0.0,YES
103,29,0.0,NO
104,49,0.0,NO
105,78,0.0,NO
106,45,0.0,NO
107,31,0.0,NO
108,30,0.0,NO
109,36,0.0,NO
110,43,0.0,NO
111,60,0.0,NO
112,85,0.0,NO
113,92,0.0,NO
114,156,0.0,NO
115,98,0.0,NO
116,131,0.0,NO
117,194,0.0,NO
118,201,0.0,NO
119,69,0.0,NO
120,68,0.0,NO
121,52,0.0,NO
122,50,0.0,NO
123,202,0.0,NO
124,73,0.0,NO
125,42,0.0,NO
126,35,0.0,NO
127,125,0.0,NO
128,65,0.0,NO
129,48,0.0,NO
130,89,0.0,NO
131,153,0.0,NO
132,40,0.0,NO
133,64,0.0,NO
134,99,0.0,NO
135,73,0.0,NO
136,72,0.0,NO
137,51,0.0,NO
138,36,0.0,NO
139,31,0.0,NO
140,61,0.0,NO
141,74,0.0,NO
142,101,0.0,NO
143,86,0.0,NO
144,106,0.0,NO
145,91,0.0,NO
146,58,0.0,NO
147,106,0.0,NO
148,143,0.0,NO
149,52,0.0,NO
150,88,0.0,NO
151,66,0.0,NO
152,44,0.0,NO
153,158,0.0,NO
154,51,0.0,NO
155,36,0.0,NO
156,63,0.0,NO
157,110,0.0,YES
158,29,0.0,YES
159,104,0.0,YES
160,38,0.0,YES
161,44,0.0,YES
162,96,0.0,YES
163,42,0.0,YES
164,48,0.0,YES
165,36,0.0,NO
166,43,0.0,NO
167,81,0.0,NO
168,75,0.0,NO
169,81,0.0,NO
170,88,0.0,NO
171,42,0.0,NO
172,82,0.0,NO
173,55,0.0,NO
174,48,0.0,NO
175,72,0.0,NO
176,113,0.0,NO
177,55,0.0,NO
178,35,0.0,NO
179,47,0.0,NO
180,101,0.0,NO
181,109,0.0,NO
182,28,0.0,NO
183,54,0.0,NO
184,158,0.0,NO
185,52,0.0,NO
186,53,0.0,NO
187,81,0.0,NO
188,83,0.0,NO
189,63,0.0,NO
190,48,0.0,NO
191,55,0.0,NO
192,149,0.0,NO
193,263,0.0,NO
194,179,0.0,NO
195,37,0.0,NO
196,25,0.0,NO
197,30,0.0,NO
198,36,0.0,NO
199,30,0.0,NO
200,27,0.0,NO
201,37,0.0,NO
202,33,0.0,NO
203,31,0.0,NO
204,56,0.0,NO
205,101,0.0,NO
206,139,0.0,NO
207,85,0.0,NO
208,95,0.0,NO
209,60,0.0,NO
210,35,0.0,NO
211,26,0.0,NO
212,69,0.0,NO
213,64,0.0,NO
214,39,0.0,NO
215,41,0.0,NO
216,167,0.0,NO
217,66,0.0,NO
218,93,0.0,NO
219,86,0.0,YES
220,117,1.0,YES
221,90,0.0,NO
222,48,0.0,NO
223,85,0.0,NO
224,43,0.0,NO
225,90,0.0,NO
226,202,0.0,NO
227,141,1.0,YES
228,30,0.0,NO
229,29,0.0,NO
230,67,0.0,NO
231,242,0.0,NO
232,72,0.0,NO
233,50,0.0,NO
234,89,0.0,NO
235,40,0.0,NO
236,49,0.0,NO
237,249,0.0,NO
238,40,0.0,NO
239,171,0.0,NO
240,40,0.0,NO
241,32,0.0,NO
242,271,0.0,NO
243,55,0.0,NO
244,80,0.0,NO
245,28,0.0,NO
246,44,0.0,NO
247,83,0.0,NO
248,67,0.0,NO
249,36,0.0,NO
250,384,0.0,YES
251,196,0.0,NO
252,312,0.0,NO
253,120,0.0,NO
254,315,0.0,YES
255,112,0.0,NO
256,119,0.0,NO
257,146,0.0,NO
258,86,0.0,NO
259,69,0.0,NO
260,88,0.0,NO
261,42,0.0,NO
262,32,0.0,NO
263,56,0.0,NO
264,102,1.0,YES
265,56,0.0,NO
266,89,0.0,NO
267,40,0.0,NO
268,80,0.0,NO
269,46,0.0,NO
270,46,0.0,NO
271,68,0.0,NO
272,80,0.0,NO
273,66,0.0,NO
274,100,0.0,NO
275,32,0.0,YES
276,31,0.0,NO
277,36,0.0,NO
278,59,0.0,NO
279,44,0.0,NO
280,29,0.0,NO
281,280,0.0,NO
282,67,0.0,NO
283,60,0.0,NO
284,46,0.0,NO
285,133,0.0,NO
286,333,0.0,NO
287,36,0.0,NO
288,44,0.0,NO
289,823,0.0,YES
290,26,0.0,NO
291,70,0.0,NO
292,213,0.0,NO
293,192,0.0,YES
294,562,0.0,YES
295,46,0.0,NO
296,31,0.0,NO
297,83,0.0,NO
298,71,0.0,NO
299,83,0.0,NO
300,40,0.0,NO
301,32,0.0,NO
302,57,0.0,NO
303,97,1.0,YES
304,64,0.0,NO
305,94,0.0,NO
306,45,0.0,NO
307,98,0.0,NO
308,46,0.0,NO
309,46,0.0,NO
310,337,1.0,YES
311,143,0.0,NO
312,81,1.0,YES
313,132,0.0,NO
314,162,0.0,NO
315,85,0.0,NO
316,454,0.0,YES
317,316,0.0,YES
318,49,0.0,NO
319,32,0.0,NO
320,64,0.0,NO
321,105,0.0,NO
322,82,0.0,NO
323,111,0.0,NO
324,42,0.0,NO
325,63,0.0,NO
326,235,0.0,NO
327,75,0.0,NO
328,43,0.0,NO
329,33,0.0,NO
330,66,0.0,NO
331,99,0.0,NO
332,40,0.0,NO
333,160,0.0,NO
334,40,0.0,NO
335,32,0.0,NO
336,593,1.0,YES
337,328,0.0,YES
338,101,0.0,YES
339,281,1.0,YES
340,72,0.0,YES
341,121,0.0,YES
342,35,1.0,YES
343,154,1.0,YES
344,61,1.0,YES
345,58,0.0,NO
346,32,1.0,YES
347,78,1.0,YES
348,36,1.0,YES
349,102,0.0,YES
350,403,0.0,YES
351,71,1.0,YES
352,76,0.0,YES
353,124,0.0,YES
354,86,0.0,NO
355,25,0.0,NO
356,41,0.0,NO
357,213,1.0,YES
358,98,1.0,YES
359,200,0.0,YES
360,29,0.0,NO
361,75,1.0,YES
362,44,0.0,NO
363,56,0.0,YES
364,43,0.0,NO
365,240,0.0,YES
366,285,1.0,YES
367,27,0.0,NO
368,38,0.0,NO
369,27,0.0,NO
370,41,0.0,NO
371,88,1.0,YES
372,28,0.0,NO
373,364,1.0,YES
374,50,1.0,YES
375,52,0.0,YES
376,38,0.0,NO
377,52,0.0,NO
378,38,0.0,NO
379,43,0.0,NO
380,47,0.0,YES
381,50,0.0,NO
382,25,0.0,NO
383,113,1.0,YES
384,36,0.0,NO
385,116,1.0,YES
386,178,1.0,YES
387,48,0.0,NO
388,32,0.0,NO
389,34,0.0,NO
390,48,1.0,YES
391,49,1.0,YES
392,26,0.0,NO
393,51,0.0,NO
394,31,0.0,NO
395,116,0.0,YES
396,26,0.0,NO
397,30,0.0,NO
398,40,0.0,NO
399,60,0.0,YES
400,49,0.0,NO
401,58,0.0,NO
402,37,0.0,NO
403,289,1.0,YES
404,102,0.0,NO
405,63,0.0,NO
406,31,0.0,NO
407,84,1.0,YES
408,41,0.0,NO
409,28,0.0,NO
410,34,0.0,NO
411,26,0.0,NO
412,39,0.0,YES
413,164,0.0,YES
414,48,0.0,YES
415,133,0.0,YES
416,108,0.0,YES
417,111,0.0,YES
418,73,0.0,YES
419,449,1.0,YES
420,84,1.0,YES
421,38,0.0,YES
422,95,0.0,YES
423,118,1.0,YES
424,79,0.0,NO
425,60,0.0,NO
426,56,0.0,NO
427,119,1.0,YES
428,76,0.0,NO
429,87,0.0,NO
430,38,0.0,NO
431,39,0.0,NO
432,38,0.0,NO
433,40,0.0,NO
434,41,0.0,NO
435,97,0.0,NO
436,42,0.0,NO
437,34,0.0,NO
438,36,0.0,NO
439,41,0.0,NO
440,44,0.0,NO
441,37,0.0,NO
442,107,0.0,NO
443,334,0.0,NO
444,67,0.0,NO
445,88,0.0,NO
446,64,0.0,NO
447,34,0.0,NO
448,37,0.0,NO
449,71,0.0,NO
450,262,0.0,NO
451,97,0.0,NO
452,35,0.0,NO
453,85,0.0,NO
454,49,0.0,NO
455,102,0.0,NO
456,119,0.0,YES
457,39,0.0,YES
458,179,0.0,YES
459,120,0.0,YES
460,178,0.0,YES
461,153,0.0,YES
462,89,0.0,YES
463,50,0.0,YES
464,36,0.0,YES
465,109,0.0,YES
466,148,1.0,YES
467,137,0.0,YES
468,133,0.0,YES
469,131,0.0,NO
470,176,0.0,YES
471,70,0.0,YES
472,53,0.0,NO
473,37,0.0,YES
474,76,1.0,YES
475,71,1.0,YES
476,32,1.0,YES
477,43,0.0,YES
478,29,0.0,NO
479,24,0.0,NO
480,41,0.0,NO
481,300,1.0,YES
482,120,0.0,NO
483,137,0.0,NO
484,95,0.0,NO
485,96,0.0,NO
486,56,0.0,NO
487,40,0.0,NO
488,350,0.0,NO
489,112,0.0,NO
490,71,0.0,NO
491,93,0.0,NO
492,381,0.0,NO
493,115,0.0,NO
494,69,0.0,NO
495,98,0.0,NO
496,157,0.0,NO
497,59,0.0,NO
498,30,0.0,NO
499,57,0.0,NO
500,182,0.0,NO
501,160,0.0,NO
502,32,0.0,NO
503,24,0.0,NO
504,50,0.0,NO
505,50,0.0,NO
506,63,0.0,NO
507,116,0.0,NO
508,182,0.0,NO
509,69,0.0,NO
510,27,0.0,NO
511,67,0.0,NO
512,44,0.0,NO
513,33,0.0,NO
514,72,0.0,NO
515,89,0.0,NO
516,304,0.0,NO
517,2567,1.0,YES
518,58,1.0,YES
519,32,0.0,NO
520,49,0.0,NO
521,27,0.0,NO
522,31,0.0,NO
523,72,0.0,NO
524,83,0.0,NO
525,82,0.0,YES
526,518,1.0,YES
527,242,0.0,YES
528,351,0.0,NO
529,32,0.0,NO
530,40,0.0,NO
531,452,0.0,NO
532,409,0.0,YES
533,50,0.0,NO
534,257,0.0,YES
535,124,0.0,YES
536,201,0.0,YES
537,248,0.0,YES
538,26,0.0,NO
539,22,0.0,NO
540,229,0.0,YES
541,311,0.0,YES
542,158,0.0,NO
543,420,0.0,YES
544,35,0.0,NO
545,24,0.0,NO
546,25,0.0,NO
547,119,0.0,NO
548,153,0.0,NO
549,51,0.0,NO
550,51,0.0,NO
551,41,0.0,NO
552,22,0.0,NO
553,244,0.0,NO
554,24,0.0,NO
555,27,0.0,NO
556,44,0.0,NO
557,222,0.0,NO
558,126,0.0,NO
559,216,0.0,NO
560,65,0.0,NO
561,28,0.0,NO
562,724,0.0,YES
563,252,0.0,YES
564,36,0.0,NO
565,40,0.0,NO
566,348,0.0,YES
567,369,0.0,NO
568,30,0.0,NO
569,40,0.0,NO
570,35,0.0,NO
571,80,0.0,YES
572,125,0.0,YES
573,89,0.0,YES
574,51,0.0,YES
575,55,0.0,NO
576,52,0.0,NO
577,65,0.0,NO
578,86,0.0,NO
579,116,0.0,NO
580,61,0.0,NO
581,59,0.0,NO
582,216,0.0,NO
583,270,0.0,NO
584,81,0.0,NO
585,74,0.0,NO
586,214,0.0,NO
587,79,0.0,NO
588,118,0.0,NO
589,75,0.0,NO
590,130,0.0,NO
591,81,0.0,NO
592,36,0.0,NO
593,75,0.0,YES
594,213,0.0,NO
595,26,0.0,NO
596,135,0.0,NO
597,71,0.0,NO
598,209,0.0,NO
599,189,0.0,NO
600,66,0.0,NO
601,188,0.0,NO
602,69,0.0,NO
603,65,0.0,NO
604,108,0.0,NO
605,46,0.0,NO
606,53,0.0,NO
607,447,0.0,NO
608,386,0.0,NO
609,30,0.0,NO
610,140,1.0,YES
611,41,0.0,NO
612,22,0.0,NO
613,177,0.0,NO
614,357,0.0,YES
615,243,0.0,NO
616,31,0.0,NO
617,22,0.0,NO
