ID,Size,Predicted,Actual
0,78,2.508780732563974E-4,YES
1,87,2.508780732563974E-4,NO
2,68,5.015045135406219E-4,NO
3,58,2.508780732563974E-4,NO
4,196,5.015045135406219E-4,NO
5,132,1.6728002676480428E-4,NO
6,64,1.6728002676480428E-4,NO
7,173,5.015045135406219E-4,NO
8,246,5.015045135406219E-4,NO
9,107,5.015045135406219E-4,NO
10,121,5.015045135406219E-4,NO
11,110,5.015045135406219E-4,YES
12,58,2.508780732563974E-4,NO
13,37,1.2547051442910912E-4,NO
14,142,0.9999953518206919,YES
15,114,0.9999956723820075,NO
16,59,2.508780732563974E-4,NO
17,64,1.6728002676480428E-4,NO
18,164,5.015045135406219E-4,NO
19,70,5.015045135406219E-4,NO
20,32,8.365400702693658E-5,NO
21,148,2.508780732563974E-4,NO
22,156,2.508780732563974E-4,NO
23,119,5.015045135406219E-4,NO
24,118,0.9914487741669742,NO
25,156,2.508780732563974E-4,NO
26,85,5.015045135406219E-4,NO
27,48,5.015045135406219E-4,YES
28,33,1.0038144950813089E-4,NO
29,69,5.015045135406219E-4,NO
30,77,1.2547051442910912E-4,YES
31,83,5.015045135406219E-4,YES
32,48,5.015045135406219E-4,NO
33,85,5.015045135406219E-4,NO
34,43,2.508780732563974E-4,NO
35,90,5.015045135406219E-4,NO
36,202,5.015045135406219E-4,NO
37,135,1.6728002676480428E-4,NO
38,30,1.2547051442910912E-4,NO
39,29,1.2547051442910912E-4,NO
40,69,5.015045135406219E-4,NO
41,52,5.015045135406219E-4,NO
42,89,5.015045135406219E-4,NO
43,31,1.2547051442910912E-4,NO
44,233,5.015045135406219E-4,YES
45,40,5.577244841048521E-5,NO
46,164,2.508780732563974E-4,YES
47,40,5.577244841048521E-5,NO
48,32,8.365400702693658E-5,NO
49,139,2.508780732563974E-4,NO
50,131,5.015045135406219E-4,YES
51,149,2.508780732563974E-4,YES
52,86,5.015045135406219E-4,NO
53,52,5.015045135406219E-4,NO
54,88,5.015045135406219E-4,NO
55,42,6.27431296273058E-5,NO
56,32,8.365400702693658E-5,NO
57,40,5.015045135406219E-4,NO
58,51,1.6728002676480428E-4,NO
59,81,5.015045135406219E-4,NO
60,35,6.27431296273058E-5,NO
61,55,5.015045135406219E-4,NO
62,46,5.015045135406219E-4,NO
63,46,5.015045135406219E-4,NO
64,27,7.170514842965724E-5,NO
65,12,1.0038144950813089E-4,NO
66,48,5.015045135406219E-4,YES
67,317,5.015045135406219E-4,NO
68,29,2.508780732563974E-4,NO
69,14,3.585514521333811E-5,NO
70,83,2.508780732563974E-4,NO
71,54,5.015045135406219E-4,NO
72,83,2.508780732563974E-4,NO
73,40,5.577244841048521E-5,NO
74,32,8.365400702693658E-5,NO
75,40,5.015045135406219E-4,NO
76,50,1.2547051442910912E-4,NO
77,81,5.015045135406219E-4,NO
78,35,6.27431296273058E-5,NO
79,54,1.6728002676480428E-4,NO
80,46,5.015045135406219E-4,NO
81,46,5.015045135406219E-4,NO
82,86,5.015045135406219E-4,NO
83,25,7.170514842965724E-5,NO
84,152,5.015045135406219E-4,YES
85,94,2.508780732563974E-4,NO
86,29,1.2547051442910912E-4,NO
87,52,5.015045135406219E-4,YES
88,43,1.6728002676480428E-4,NO
89,195,5.015045135406219E-4,NO
90,243,5.015045135406219E-4,YES
91,28,7.170514842965724E-5,NO
92,37,1.2547051442910912E-4,NO
93,69,5.015045135406219E-4,NO
94,28,7.170514842965724E-5,NO
95,273,5.015045135406219E-4,YES
96,36,5.015045135406219E-4,NO
97,51,1.6728002676480428E-4,NO
98,38,5.015045135406219E-4,NO
99,52,5.015045135406219E-4,NO
100,37,1.2547051442910912E-4,NO
