ID,Size,Predicted,Actual
0,100,0.0022172949002217295,NO
1,122,0.0022172949002217295,NO
2,146,0.0022172949002217295,NO
3,76,0.0011111111111111111,NO
4,52,0.0011111111111111111,NO
5,88,0.0011111111111111111,NO
6,40,3.70919881305638E-4,NO
7,32,7.412898443291327E-4,NO
8,40,3.70919881305638E-4,NO
9,51,0.0011111111111111111,NO
10,81,0.0022172949002217295,NO
11,35,3.70919881305638E-4,NO
12,46,0.0022172949002217295,NO
13,46,0.0022172949002217295,NO
14,27,3.179650238473768E-4,NO
15,12,2.473410833539451E-4,NO
16,280,0.0022172949002217295,NO
17,29,0.0011111111111111111,NO
18,14,1.7126220243192326E-4,NO
19,73,0.0022172949002217295,NO
20,54,7.412898443291327E-4,NO
21,83,0.0011111111111111111,NO
22,38,7.412898443291327E-4,NO
23,32,7.412898443291327E-4,NO
24,40,3.70919881305638E-4,NO
25,50,5.561735261401557E-4,NO
26,81,0.0022172949002217295,NO
27,35,3.70919881305638E-4,NO
28,46,0.0022172949002217295,NO
29,46,0.0022172949002217295,NO
