ID,Size,Predicted,Actual
0,78,0.25004138387684155,NO
1,302,6.613756613756613E-4,NO
2,87,0.25008275405494873,NO
3,198,0.5,NO
4,175,3.3090668431502316E-4,NO
5,65,0.25004138387684155,NO
6,105,0.3334068843777582,NO
7,58,0.16674023394394175,NO
8,196,6.613756613756613E-4,NO
9,106,3.3090668431502316E-4,NO
10,130,0.9993386243386243,NO
11,64,0.1429247067726069,NO
12,132,0.9993386243386243,NO
13,62,2.206531332744925E-4,NO
14,108,0.3334068843777582,YES
15,432,0.9993386243386243,NO
16,174,3.3090668431502316E-4,NO
17,246,3.3090668431502316E-4,NO
18,106,3.3090668431502316E-4,YES
19,121,6.613756613756613E-4,NO
20,110,2.206531332744925E-4,NO
21,58,0.16674023394394175,NO
22,37,0.5,NO
23,77,0.2000794491525424,NO
24,142,2.206531332744925E-4,NO
25,114,6.613756613756613E-4,NO
26,80,0.2857548240635641,NO
27,59,2.206531332744925E-4,NO
28,69,0.6665931156222418,NO
29,95,0.33337011697197083,NO
30,64,0.1429247067726069,NO
31,164,0.9993386243386243,YES
32,70,0.3334068843777582,NO
33,32,0.23811175580221997,NO
34,148,6.613756613756613E-4,NO
35,156,6.613756613756613E-4,NO
36,119,6.613756613756613E-4,NO
37,116,6.613756613756613E-4,NO
38,93,1.6550810989738498E-4,NO
39,229,6.613756613756613E-4,YES
40,123,6.613756613756613E-4,NO
41,201,3.3090668431502316E-4,NO
42,180,6.613756613756613E-4,NO
43,156,6.613756613756613E-4,NO
44,98,0.3334068843777582,NO
45,85,0.3750206919384208,YES
46,48,0.4000264830508474,NO
47,145,0.9993386243386243,YES
48,145,0.9993386243386243,NO
49,113,3.3090668431502316E-4,NO
50,260,6.613756613756613E-4,NO
51,610,0.9993386243386243,YES
52,39,0.2000794491525424,NO
53,39,0.2000794491525424,NO
54,39,0.2000794491525424,NO
55,24,1.3241525423728814E-4,NO
56,62,2.206531332744925E-4,NO
57,77,0.2000794491525424,NO
58,77,0.2000794491525424,NO
59,54,3.3090668431502316E-4,NO
60,92,3.3090668431502316E-4,NO
61,58,0.16674023394394175,NO
62,24,1.3241525423728814E-4,NO
63,64,0.1429247067726069,NO
64,216,0.25008275405494873,NO
65,36,0.2000794491525424,NO
66,36,0.2000794491525424,NO
67,208,6.613756613756613E-4,NO
68,39,0.2000794491525424,NO
69,47,0.6666298830280292,NO
70,74,0.9993386243386243,NO
71,71,0.9997793468667254,NO
72,56,0.18185648928485432,YES
73,44,0.10005297311614357,NO
74,55,0.9993386243386243,YES
75,53,0.11116833431430254,NO
76,221,0.5,YES
77,44,0.10005297311614357,NO
78,171,0.5,NO
79,511,6.613756613756613E-4,YES
80,122,6.613756613756613E-4,YES
81,132,0.9993386243386243,YES
82,115,3.3090668431502316E-4,YES
83,201,3.3090668431502316E-4,YES
84,116,6.613756613756613E-4,NO
85,225,6.613756613756613E-4,NO
86,42,0.2857548240635641,NO
87,44,0.10005297311614357,NO
88,94,0.5999735169491526,NO
89,136,0.3334068843777582,NO
