ID,Size,Predicted,Actual
0,111,6.430868167202573E-5,YES
1,22,0.009901614289808005,YES
2,75,0.9999356913183282,NO
3,131,6.430868167202573E-5,YES
4,74,0.9999356913183282,NO
5,84,0.9999356913183282,NO
6,70,0.5000000000000001,NO
7,57,0.060241645395610645,NO
8,70,0.2040824094905323,NO
9,59,3.215640877226832E-5,NO
10,88,0.9999356913183282,NO
11,40,0.017467519956500418,NO
12,99,0.9999356913183282,NO
13,187,0.9999356913183282,NO
14,196,0.9999356913183282,NO
15,192,0.9999356913183282,NO
16,97,0.9999356913183282,NO
17,98,0.9999356913183282,NO
18,96,0.9999356913183282,NO
19,173,0.9999356913183282,NO
20,141,0.9999356913183282,NO
21,142,0.9999356913183282,NO
22,188,6.430868167202573E-5,NO
23,90,0.9999356913183282,NO
24,110,0.9999356913183282,NO
25,62,0.014286606845883999,NO
26,61,0.052083933512437945,NO
27,120,0.9999356913183282,NO
28,116,6.430868167202573E-5,NO
29,58,6.430868167202573E-5,NO
30,74,6.430868167202573E-5,NO
31,113,6.430868167202573E-5,NO
32,48,6.430868167202573E-5,NO
33,77,6.430868167202573E-5,NO
34,65,0.07608754923386031,NO
35,74,6.430868167202573E-5,NO
36,83,6.430868167202573E-5,NO
37,128,6.430868167202573E-5,NO
38,72,0.9999356913183282,NO
39,76,6.430868167202573E-5,NO
40,69,0.5000000000000001,NO
41,83,6.430868167202573E-5,NO
42,65,6.430868167202573E-5,NO
43,88,0.9999356913183282,NO
44,40,0.017467519956500418,NO
45,86,6.430868167202573E-5,NO
46,89,6.430868167202573E-5,NO
47,49,0.09009056511939183,NO
48,102,0.2222242072992075,NO
49,94,0.9999356913183282,NO
50,72,0.9999356913183282,NO
51,60,0.9999356913183282,NO
52,76,0.9999356913183282,NO
53,92,6.430868167202573E-5,NO
54,96,0.9999356913183282,NO
55,70,6.430868167202573E-5,NO
56,86,6.430868167202573E-5,NO
57,101,6.430868167202573E-5,NO
58,169,6.430868167202573E-5,NO
59,115,6.430868167202573E-5,NO
60,153,0.9999356913183282,NO
61,58,0.5000000000000001,NO
62,47,6.430868167202573E-5,NO
63,49,6.430868167202573E-5,NO
64,58,0.5000000000000001,NO
65,70,0.9999356913183282,NO
66,141,6.430868167202573E-5,NO
67,93,3.215640877226832E-5,NO
68,273,6.430868167202573E-5,NO
69,96,0.9999356913183282,NO
70,50,6.430868167202573E-5,NO
71,241,6.430868167202573E-5,NO
72,195,0.9999356913183282,NO
73,131,0.9999356913183282,NO
74,170,6.430868167202573E-5,YES
75,161,0.9999356913183282,NO
76,102,6.430868167202573E-5,NO
77,150,6.430868167202573E-5,NO
78,65,6.430868167202573E-5,NO
79,88,0.9999356913183282,NO
80,40,0.017467519956500418,NO
81,57,0.060241645395610645,NO
82,39,0.05263208374283628,NO
83,85,6.430868167202573E-5,NO
84,93,6.430868167202573E-5,NO
85,87,6.430868167202573E-5,NO
86,81,6.430868167202573E-5,NO
87,95,6.430868167202573E-5,NO
88,66,6.430868167202573E-5,NO
89,94,6.430868167202573E-5,NO
90,76,0.9999356913183282,NO
91,116,6.430868167202573E-5,NO
92,56,0.05970191520345737,NO
93,48,0.05555595257343515,NO
94,71,0.9999356913183282,NO
95,45,0.02325652703925572,NO
96,45,0.02325652703925572,NO
97,30,0.02054836762833644,NO
98,74,6.430868167202573E-5,NO
99,299,6.430868167202573E-5,YES
100,82,6.430868167202573E-5,YES
101,197,0.9999356913183282,NO
102,173,0.9999356913183282,NO
103,84,6.430868167202573E-5,NO
104,75,6.430868167202573E-5,YES
105,65,6.430868167202573E-5,NO
106,96,6.430868167202573E-5,NO
107,193,0.9999356913183282,NO
108,98,0.9999356913183282,NO
109,88,6.430868167202573E-5,NO
110,67,6.430868167202573E-5,NO
111,92,6.430868167202573E-5,NO
112,56,0.9999356913183282,NO
113,101,0.9999356913183282,YES
114,136,6.430868167202573E-5,NO
115,105,6.430868167202573E-5,NO
116,377,6.430868167202573E-5,NO
117,174,6.430868167202573E-5,NO
118,244,0.9999356913183282,NO
119,101,6.430868167202573E-5,YES
120,113,6.430868167202573E-5,NO
121,110,0.10714466194704902,NO
122,58,0.0312506280944118,NO
123,37,0.04698025687046922,NO
124,77,0.9999356913183282,NO
125,142,0.9999356913183282,NO
126,118,6.430868167202573E-5,NO
127,80,6.430868167202573E-5,NO
128,59,6.368007132167989E-7,NO
129,69,0.5000000000000001,NO
130,95,0.9999356913183282,NO
131,97,0.9999356913183282,NO
132,82,6.430868167202573E-5,NO
133,67,6.430868167202573E-5,NO
134,110,6.430868167202573E-5,NO
135,103,6.430868167202573E-5,NO
136,111,6.430868167202573E-5,NO
137,82,6.430868167202573E-5,NO
138,56,6.430868167202573E-5,YES
139,73,6.430868167202573E-5,NO
140,100,6.430868167202573E-5,NO
141,70,0.2040824094905323,YES
142,32,0.07723599342189547,NO
143,148,0.25000267984435465,NO
144,156,1.8376205019644164E-6,NO
145,119,0.08695767676626447,YES
146,116,0.16981212213881264,NO
147,73,0.9999356913183282,NO
148,84,6.430868167202573E-5,NO
149,122,0.9999356913183282,NO
150,191,0.9999356913183282,NO
151,170,0.9999356913183282,NO
152,153,6.430868167202573E-5,NO
153,78,6.430868167202573E-5,NO
154,84,6.430868167202573E-5,NO
155,140,6.430868167202573E-5,NO
156,127,6.430868167202573E-5,NO
157,30,3.215640877226832E-5,NO
158,80,6.430868167202573E-5,NO
159,45,0.9999356913183282,NO
160,63,6.430868167202573E-5,NO
161,141,6.430868167202573E-5,NO
162,81,0.9999356913183282,NO
163,45,6.430868167202573E-5,NO
164,63,6.430868167202573E-5,NO
165,190,3.215640877226832E-5,NO
166,74,6.430868167202573E-5,NO
167,47,6.430868167202573E-5,NO
168,65,6.430868167202573E-5,NO
169,253,6.430868167202573E-5,NO
170,32,6.430868167202573E-5,NO
171,61,6.430868167202573E-5,NO
172,86,6.430868167202573E-5,NO
173,93,6.430868167202573E-5,NO
174,157,0.9999356913183282,NO
175,99,6.430868167202573E-5,NO
176,132,0.9999356913183282,NO
177,212,0.9999356913183282,NO
178,201,0.9999356913183282,NO
179,62,3.215640877226832E-5,NO
180,68,0.06153932924476213,NO
181,52,0.05072505646370803,NO
182,50,0.07339499886117822,NO
183,321,6.430868167202573E-5,NO
184,79,6.430868167202573E-5,NO
185,42,0.02597442192053605,NO
186,35,0.045455076998997826,NO
187,125,0.13953596204413626,NO
188,65,6.430868167202573E-5,NO
189,48,6.430868167202573E-5,NO
190,89,0.9999356913183282,NO
191,314,6.430868167202573E-5,NO
192,40,6.430868167202573E-5,NO
193,64,0.0564520730266386,NO
194,58,6.430868167202573E-5,NO
195,99,0.041669123203824696,NO
196,73,0.03571641866469429,NO
197,72,0.02439098999323889,NO
198,36,6.430868167202573E-5,NO
199,51,6.430868167202573E-5,NO
200,36,0.0489133588317253,NO
201,31,0.013841046839190328,NO
202,61,0.9999356913183282,NO
203,74,0.0975622382229752,NO
204,101,0.5000000000000001,NO
205,86,0.12963051189027078,NO
206,106,0.11764802320448957,NO
207,91,0.2058834656870349,NO
208,58,3.215640877226832E-5,NO
209,106,0.9999356913183282,NO
210,83,0.10145001836292218,NO
211,53,0.030303488021953498,NO
212,88,0.9999356913183282,NO
213,72,0.02439098999323889,NO
214,241,0.9999356913183282,NO
215,106,6.430868167202573E-5,NO
216,44,0.021739464785443686,NO
217,158,6.430868167202573E-5,NO
218,51,6.430868167202573E-5,NO
219,36,0.0489133588317253,NO
220,226,6.430868167202573E-5,NO
221,64,3.215640877226832E-5,NO
222,127,3.215640877226832E-5,NO
223,67,2.1438065428975694E-5,NO
224,104,6.430868167202573E-5,NO
225,213,6.430868167202573E-5,NO
226,35,1.2863059864680613E-5,NO
227,105,6.430868167202573E-5,NO
228,117,3.215640877226832E-5,NO
229,63,0.1012664720335685,NO
230,117,0.5000000000000001,NO
231,29,0.03164595092538995,NO
232,104,0.2500020098886522,NO
233,38,0.02840943558259789,NO
234,44,0.021739464785443686,NO
235,96,0.016950205704792366,NO
236,42,6.430868167202573E-5,NO
237,48,0.05555595257343515,NO
238,62,2.1438065428975694E-5,NO
239,42,0.9999356913183282,NO
240,99,0.9999356913183282,NO
241,87,6.430868167202573E-5,YES
242,99,6.430868167202573E-5,YES
243,102,6.430868167202573E-5,YES
244,62,6.430868167202573E-5,NO
245,134,6.430868167202573E-5,YES
246,64,6.430868167202573E-5,NO
247,55,6.430868167202573E-5,YES
248,69,2.1438065428975694E-5,NO
249,43,0.9999356913183282,NO
250,91,0.5000000000000001,NO
251,42,0.9999356913183282,NO
252,63,6.430868167202573E-5,NO
253,43,0.9999356913183282,NO
254,80,6.430868167202573E-5,NO
255,63,6.430868167202573E-5,NO
256,85,0.5000000000000001,NO
257,141,0.9999356913183282,YES
258,54,6.430868167202573E-5,NO
259,35,0.045455076998997826,NO
260,47,0.08730200862663025,NO
261,146,0.9999356913183282,NO
262,111,6.430868167202573E-5,NO
263,28,0.034188546317501116,NO
264,74,6.430868167202573E-5,NO
265,78,6.430868167202573E-5,NO
266,48,0.5000000000000001,NO
267,41,0.9999356913183282,NO
268,46,3.215640877226832E-5,NO
