ID,Size,Predicted,Actual
0,79,1.849796522382538E-4,NO
1,87,1.849796522382538E-4,NO
2,68,7.400828892835997E-5,NO
3,58,7.400828892835997E-5,NO
4,196,0.8332922166029357,NO
5,132,1.23334977799704E-4,NO
6,64,9.250693802035152E-5,NO
7,134,3.698224852071006E-4,NO
8,173,1.849796522382538E-4,NO
9,246,0.9998766650222003,NO
10,107,1.23334977799704E-4,NO
11,121,6.167509559639817E-5,NO
12,110,0.9998766650222003,NO
13,58,7.400828892835997E-5,NO
14,37,6.167509559639817E-5,NO
15,77,3.698224852071006E-4,NO
16,142,0.9998766650222003,NO
17,114,3.698224852071006E-4,NO
18,59,7.400828892835997E-5,NO
19,64,9.250693802035152E-5,NO
20,164,3.698224852071006E-4,NO
21,70,6.167509559639817E-5,NO
22,32,2.846731951719426E-5,NO
23,148,1.849796522382538E-4,NO
24,156,3.698224852071006E-4,NO
25,119,1.23334977799704E-4,NO
26,118,1.23334977799704E-4,NO
27,156,3.698224852071006E-4,NO
28,85,1.849796522382538E-4,NO
29,48,3.698224852071006E-4,YES
30,263,3.698224852071006E-4,NO
31,590,1.849796522382538E-4,YES
32,39,3.698224852071006E-4,NO
33,39,3.698224852071006E-4,NO
34,39,3.698224852071006E-4,NO
35,24,1.849796522382538E-4,NO
36,62,3.698224852071006E-4,NO
37,77,3.698224852071006E-4,NO
38,77,3.698224852071006E-4,NO
39,54,3.698224852071006E-4,NO
40,90,3.698224852071006E-4,NO
41,58,3.698224852071006E-4,NO
42,24,1.849796522382538E-4,NO
43,64,3.698224852071006E-4,NO
44,216,3.698224852071006E-4,NO
45,36,3.698224852071006E-4,NO
46,36,3.698224852071006E-4,NO
47,202,3.698224852071006E-4,NO
48,74,3.698224852071006E-4,NO
49,71,3.698224852071006E-4,NO
50,56,3.698224852071006E-4,NO
51,44,3.698224852071006E-4,NO
52,55,3.698224852071006E-4,NO
53,47,1.849796522382538E-4,NO
54,101,0.9999471347007824,YES
55,109,3.698224852071006E-4,NO
56,28,9.250693802035152E-5,NO
57,54,9.250693802035152E-5,YES
58,158,0.9999471347007824,YES
59,52,0.9999471347007824,YES
60,53,9.250693802035152E-5,YES
61,81,9.250693802035152E-5,YES
62,83,9.250693802035152E-5,YES
63,63,9.250693802035152E-5,YES
64,48,9.250693802035152E-5,YES
65,55,9.250693802035152E-5,YES
66,149,0.9999471347007824,YES
67,263,0.9999471347007824,YES
68,179,0.9999471347007824,YES
69,37,3.698224852071006E-4,YES
70,25,9.250693802035152E-5,YES
71,30,9.250693802035152E-5,YES
72,36,0.9999471347007824,YES
73,30,9.250693802035152E-5,YES
74,27,9.250693802035152E-5,YES
75,37,3.698224852071006E-4,YES
76,33,3.698224852071006E-4,YES
77,31,9.250693802035152E-5,YES
78,56,9.250693802035152E-5,YES
79,101,9.250693802035152E-5,YES
80,139,0.9999471347007824,YES
81,85,0.9999471347007824,YES
82,95,9.250693802035152E-5,YES
83,60,9.250693802035152E-5,YES
84,35,3.698224852071006E-4,YES
85,26,9.250693802035152E-5,YES
86,69,9.250693802035152E-5,YES
87,64,9.250693802035152E-5,YES
88,39,3.698224852071006E-4,YES
89,41,3.698224852071006E-4,YES
90,167,0.9999471347007824,YES
91,66,9.250693802035152E-5,YES
92,93,0.9999471347007824,YES
93,76,1.849796522382538E-4,NO
94,77,0.9998766650222003,NO
95,83,0.9998766650222003,NO
96,48,3.698224852071006E-4,NO
97,85,1.849796522382538E-4,NO
98,43,9.250693802035152E-5,NO
99,90,1.849796522382538E-4,NO
100,202,0.8332922166029357,NO
101,135,1.23334977799704E-4,NO
102,30,7.400828892835997E-5,NO
103,29,2.846731951719426E-5,NO
104,69,7.400828892835997E-5,YES
105,242,3.698224852071006E-4,NO
106,64,3.698224852071006E-4,NO
107,50,9.250693802035152E-5,YES
108,89,1.849796522382538E-4,NO
109,40,3.698224852071006E-4,YES
110,49,1.23334977799704E-4,NO
111,249,0.9999471347007824,YES
112,40,9.250693802035152E-5,NO
113,171,0.9998766650222003,NO
114,40,9.250693802035152E-5,NO
115,32,2.846731951719426E-5,NO
116,139,3.698224852071006E-4,YES
117,131,0.9998766650222003,YES
118,149,0.9998766650222003,YES
119,86,1.849796522382538E-4,NO
120,69,7.400828892835997E-5,NO
121,88,1.849796522382538E-4,NO
122,42,4.111842105263158E-5,NO
123,32,2.846731951719426E-5,NO
124,56,1.849796522382538E-4,NO
125,51,3.364284753061499E-5,NO
126,81,3.698224852071006E-4,NO
127,35,9.250693802035152E-5,NO
128,72,6.167509559639817E-5,NO
129,46,3.698224852071006E-4,NO
130,46,3.698224852071006E-4,NO
131,44,1.23334977799704E-4,NO
132,29,2.846731951719426E-5,NO
133,280,3.698224852071006E-4,NO
134,63,3.698224852071006E-4,NO
135,334,0.999630177514793,YES
136,46,3.698224852071006E-4,NO
137,31,3.364284753061499E-5,NO
138,83,3.698224852071006E-4,NO
139,71,6.167509559639817E-5,NO
140,83,3.698224852071006E-4,NO
141,40,9.250693802035152E-5,NO
142,32,2.846731951719426E-5,NO
143,57,9.250693802035152E-5,NO
144,50,1.23334977799704E-4,YES
145,81,3.698224852071006E-4,YES
146,35,9.250693802035152E-5,YES
147,71,6.167509559639817E-5,YES
148,46,3.698224852071006E-4,NO
149,46,3.698224852071006E-4,NO
150,289,3.698224852071006E-4,YES
151,143,3.698224852071006E-4,NO
152,81,3.698224852071006E-4,NO
153,132,3.698224852071006E-4,NO
154,146,3.698224852071006E-4,YES
155,76,3.698224852071006E-4,YES
156,420,3.698224852071006E-4,YES
157,306,3.698224852071006E-4,YES
158,48,0.9999074930619797,YES
159,31,3.698224852071006E-4,YES
160,62,0.9998766650222003,NO
161,96,3.698224852071006E-4,NO
162,77,0.9998766650222003,NO
163,111,3.698224852071006E-4,NO
164,43,9.250693802035152E-5,NO
165,63,9.250693802035152E-5,NO
166,235,3.698224852071006E-4,NO
167,75,3.698224852071006E-4,NO
168,43,0.9999074930619797,NO
169,33,3.698224852071006E-4,NO
170,63,0.9999074930619797,NO
171,94,3.698224852071006E-4,NO
172,40,0.6666461083014679,NO
173,160,3.698224852071006E-4,NO
174,40,0.6666461083014679,NO
175,32,3.698224852071006E-4,NO
176,86,1.849796522382538E-4,NO
177,25,2.846731951719426E-5,NO
178,178,0.9999471347007824,YES
179,94,3.698224852071006E-4,NO
180,167,3.698224852071006E-4,YES
181,29,2.846731951719426E-5,NO
182,26,1.23334977799704E-4,YES
183,52,3.698224852071006E-4,YES
184,43,9.250693802035152E-5,NO
185,195,0.8571050962148445,YES
186,240,0.9999383249044036,YES
187,28,9.250693802035152E-5,NO
188,37,6.167509559639817E-5,NO
189,69,3.698224852071006E-4,NO
190,28,9.250693802035152E-5,NO
191,284,0.9999074930619797,YES
192,44,1.849796522382538E-4,NO
193,51,1.849796522382538E-4,NO
194,38,4.111842105263158E-5,NO
195,52,9.250693802035152E-5,NO
196,37,6.167509559639817E-5,NO
197,46,3.698224852071006E-4,NO
198,25,1.23334977799704E-4,YES
199,113,3.698224852071006E-4,YES
200,36,6.167509559639817E-5,NO
201,116,3.698224852071006E-4,NO
202,121,0.9999074930619797,YES
203,48,1.849796522382538E-4,NO
204,32,2.846731951719426E-5,NO
205,34,9.250693802035152E-5,NO
206,26,2.3129944025535455E-5,NO
207,50,1.849796522382538E-4,NO
208,31,3.364284753061499E-5,NO
209,98,3.698224852071006E-4,NO
210,26,2.3129944025535455E-5,NO
211,25,3.698224852071006E-4,NO
212,40,9.250693802035152E-5,NO
213,59,1.849796522382538E-4,YES
214,36,7.400828892835997E-5,NO
215,58,7.400828892835997E-5,YES
216,37,6.167509559639817E-5,NO
217,281,0.9999074930619797,YES
218,99,3.698224852071006E-4,NO
219,57,9.250693802035152E-5,NO
220,31,3.364284753061499E-5,NO
221,70,3.698224852071006E-4,NO
222,41,6.167509559639817E-5,NO
223,28,9.250693802035152E-5,NO
224,34,9.250693802035152E-5,NO
225,26,2.3129944025535455E-5,NO
226,67,0.999630177514793,NO
227,112,0.9998150203477618,NO
228,100,0.9998150203477618,NO
229,82,3.698224852071006E-4,NO
230,97,0.9998150203477618,NO
231,47,0.9999074930619797,NO
232,38,1.849796522382538E-4,NO
233,25,0.9999383249044036,NO
234,60,0.9999471347007824,YES
235,50,0.9999074930619797,NO
236,40,0.9999074930619797,NO
237,22,0.9999383249044036,NO
238,21,0.9999383249044036,NO
239,27,0.9999383249044036,NO
240,96,3.698224852071006E-4,NO
241,69,0.9999074930619797,NO
242,69,3.698224852071006E-4,NO
243,34,6.167509559639817E-5,NO
244,34,1.849796522382538E-4,NO
245,238,0.999630177514793,NO
246,80,0.999630177514793,NO
247,58,0.9999259917110717,NO
248,74,3.698224852071006E-4,NO
249,269,0.999630177514793,YES
250,83,0.999630177514793,NO
251,56,0.9999259917110717,NO
252,79,3.698224852071006E-4,NO
253,72,6.167509559639817E-5,NO
254,89,3.698224852071006E-4,NO
255,304,3.698224852071006E-4,NO
256,1560,0.9999537422518273,YES
257,351,3.698224852071006E-4,YES
258,36,6.167509559639817E-5,YES
259,32,2.846731951719426E-5,YES
260,49,1.23334977799704E-4,YES
261,27,9.250693802035152E-5,NO
262,445,3.698224852071006E-4,YES
263,119,1.23334977799704E-4,NO
264,153,3.698224852071006E-4,NO
265,51,3.364284753061499E-5,NO
266,51,3.364284753061499E-5,NO
267,108,1.849796522382538E-4,NO
268,46,3.698224852071006E-4,NO
269,53,4.625774817281895E-5,NO
270,447,3.698224852071006E-4,NO
271,382,3.698224852071006E-4,NO
272,30,7.400828892835997E-5,NO
273,22,2.4671864206059408E-5,NO
274,114,3.698224852071006E-4,YES
275,259,9.250693802035152E-5,YES
276,75,1.849796522382538E-4,NO
277,93,7.400828892835997E-5,NO
278,52,1.849796522382538E-4,NO
279,394,1.849796522382538E-4,NO
280,59,7.400828892835997E-5,NO
281,124,3.698224852071006E-4,YES
282,405,3.698224852071006E-4,NO
283,982,1.849796522382538E-4,NO
284,405,3.698224852071006E-4,YES
285,513,0.9998766650222003,NO
286,1389,0.9999471347007824,NO
287,713,0.9999471347007824,NO
288,768,0.9998766650222003,YES
289,851,0.9999074930619797,NO
290,462,3.698224852071006E-4,NO
291,457,0.9998766650222003,YES
292,405,3.698224852071006E-4,NO
293,506,0.9998766650222003,NO
294,1328,0.9999471347007824,YES
295,2935,0.9999471347007824,YES
296,713,0.9999471347007824,NO
297,498,0.9999471347007824,NO
298,387,1.849796522382538E-4,NO
299,914,0.9999471347007824,NO
300,921,0.9999074930619797,NO
301,421,3.698224852071006E-4,NO
302,506,0.9998766650222003,NO
303,800,1.23334977799704E-4,NO
304,405,3.698224852071006E-4,NO
305,560,0.9999471347007824,NO
