ID,Size,Predicted,Actual
0,78,5.015045135406219E-4,YES
1,87,5.015045135406219E-4,NO
2,68,5.015045135406219E-4,NO
3,58,5.015045135406219E-4,NO
4,196,5.015045135406219E-4,NO
5,132,0.9994984954864594,NO
6,64,5.015045135406219E-4,NO
7,173,5.015045135406219E-4,NO
8,246,5.015045135406219E-4,NO
9,107,5.015045135406219E-4,NO
10,121,5.015045135406219E-4,NO
11,110,0.9994984954864594,YES
12,58,5.015045135406219E-4,NO
13,37,5.015045135406219E-4,NO
14,142,0.9994984954864594,YES
15,114,5.015045135406219E-4,NO
16,59,5.015045135406219E-4,NO
17,64,5.015045135406219E-4,NO
18,164,5.015045135406219E-4,NO
19,70,5.015045135406219E-4,NO
20,32,2.508780732563974E-4,NO
21,148,5.015045135406219E-4,NO
22,156,5.015045135406219E-4,NO
23,119,5.015045135406219E-4,NO
24,118,5.015045135406219E-4,NO
25,156,5.015045135406219E-4,NO
26,85,5.015045135406219E-4,NO
27,48,5.015045135406219E-4,YES
28,33,2.508780732563974E-4,NO
29,69,5.015045135406219E-4,NO
30,77,5.015045135406219E-4,YES
31,83,5.015045135406219E-4,YES
32,48,5.015045135406219E-4,NO
33,85,5.015045135406219E-4,NO
34,43,5.015045135406219E-4,NO
35,90,5.015045135406219E-4,NO
36,202,0.9994984954864594,NO
37,135,5.015045135406219E-4,NO
38,30,5.015045135406219E-4,NO
39,29,5.015045135406219E-4,NO
40,69,5.015045135406219E-4,NO
41,52,5.015045135406219E-4,NO
42,89,5.015045135406219E-4,NO
43,31,5.015045135406219E-4,NO
44,233,5.015045135406219E-4,YES
45,40,5.015045135406219E-4,NO
46,164,5.015045135406219E-4,YES
47,40,5.015045135406219E-4,NO
48,32,5.015045135406219E-4,NO
49,139,0.9994984954864594,NO
50,131,0.9994984954864594,YES
51,149,0.9994984954864594,YES
52,86,0.9994984954864594,NO
53,52,0.9994984954864594,NO
54,88,0.9994984954864594,NO
55,42,0.9994984954864594,NO
56,32,0.9994984954864594,NO
57,40,0.9994984954864594,NO
58,51,0.9994984954864594,NO
59,81,0.9994984954864594,NO
60,35,0.9994984954864594,NO
61,55,0.9994984954864594,NO
62,46,0.9994984954864594,NO
63,46,0.9994984954864594,NO
64,27,0.9994984954864594,NO
65,12,0.9994984954864594,NO
66,48,0.9994984954864594,YES
67,317,0.9994984954864594,NO
68,29,0.9994984954864594,NO
69,14,0.9994984954864594,NO
70,83,0.9994984954864594,NO
71,54,0.9994984954864594,NO
72,83,0.9994984954864594,NO
73,40,0.9994984954864594,NO
74,32,0.9994984954864594,NO
75,40,0.9994984954864594,NO
76,50,0.9994984954864594,NO
77,81,0.9994984954864594,NO
78,35,0.9994984954864594,NO
79,54,0.9994984954864594,NO
80,46,0.9994984954864594,NO
81,46,0.9994984954864594,NO
82,86,0.9994984954864594,NO
83,25,2.508780732563974E-4,NO
84,152,5.015045135406219E-4,YES
85,94,5.015045135406219E-4,NO
86,29,2.508780732563974E-4,NO
87,52,5.015045135406219E-4,YES
88,43,5.015045135406219E-4,NO
89,195,5.015045135406219E-4,NO
90,243,5.015045135406219E-4,YES
91,28,2.508780732563974E-4,NO
92,37,5.015045135406219E-4,NO
93,69,0.9994984954864594,NO
94,28,2.508780732563974E-4,NO
95,273,5.015045135406219E-4,YES
96,36,0.9994984954864594,NO
97,51,5.015045135406219E-4,NO
98,38,5.015045135406219E-4,NO
99,52,5.015045135406219E-4,NO
100,37,5.015045135406219E-4,NO
101,46,5.015045135406219E-4,NO
102,5,5.015045135406219E-4,YES
103,113,5.015045135406219E-4,NO
104,36,5.015045135406219E-4,NO
105,116,5.015045135406219E-4,NO
106,116,5.015045135406219E-4,YES
107,48,0.9994984954864594,NO
108,32,0.9994984954864594,NO
109,34,0.9994984954864594,NO
110,26,0.9994984954864594,NO
111,50,5.015045135406219E-4,NO
112,31,2.508780732563974E-4,NO
113,98,5.015045135406219E-4,NO
114,26,2.508780732563974E-4,NO
115,25,2.508780732563974E-4,NO
116,40,5.015045135406219E-4,NO
117,59,5.015045135406219E-4,NO
118,36,5.015045135406219E-4,NO
119,58,5.015045135406219E-4,NO
120,37,5.015045135406219E-4,NO
121,268,5.015045135406219E-4,YES
122,99,0.9994984954864594,NO
123,57,0.9994984954864594,NO
124,31,0.9994984954864594,NO
125,70,5.015045135406219E-4,NO
126,41,0.9994984954864594,NO
127,28,0.9994984954864594,NO
128,34,0.9994984954864594,NO
129,26,0.9994984954864594,NO
130,72,5.015045135406219E-4,NO
131,1424,5.015045135406219E-4,YES
132,345,5.015045135406219E-4,YES
133,36,0.9994984954864594,YES
134,32,0.9994984954864594,YES
135,49,0.9994984954864594,YES
136,27,5.015045135406219E-4,NO
137,423,5.015045135406219E-4,YES
138,119,5.015045135406219E-4,NO
139,153,5.015045135406219E-4,NO
140,51,5.015045135406219E-4,NO
141,51,5.015045135406219E-4,NO
142,108,5.015045135406219E-4,NO
143,46,5.015045135406219E-4,NO
144,53,5.015045135406219E-4,NO
145,436,5.015045135406219E-4,NO
146,382,5.015045135406219E-4,NO
147,30,5.015045135406219E-4,NO
148,22,5.015045135406219E-4,NO
149,108,0.9994984954864594,YES
150,253,0.9994984954864594,YES
151,75,5.015045135406219E-4,NO
152,93,5.015045135406219E-4,NO
153,49,5.015045135406219E-4,NO
154,383,5.015045135406219E-4,NO
155,59,5.015045135406219E-4,NO
156,124,0.9994984954864594,YES
157,344,5.015045135406219E-4,YES
158,344,0.9994984954864594,YES
159,443,5.015045135406219E-4,YES
160,1127,5.015045135406219E-4,YES
161,614,5.015045135406219E-4,YES
162,723,5.015045135406219E-4,YES
163,402,5.015045135406219E-4,YES
164,389,0.9994984954864594,YES
165,344,5.015045135406219E-4,YES
166,441,5.015045135406219E-4,YES
167,1079,0.9994984954864594,YES
168,2346,5.015045135406219E-4,YES
169,625,0.9994984954864594,YES
170,436,5.015045135406219E-4,YES
171,335,5.015045135406219E-4,YES
172,695,5.015045135406219E-4,YES
173,824,5.015045135406219E-4,YES
174,441,5.015045135406219E-4,YES
175,679,5.015045135406219E-4,YES
176,344,5.015045135406219E-4,YES
177,479,5.015045135406219E-4,YES
178,549,5.015045135406219E-4,YES
179,336,5.015045135406219E-4,YES
180,16276,5.015045135406219E-4,YES
181,344,5.015045135406219E-4,YES
182,241,5.015045135406219E-4,YES
183,565,5.015045135406219E-4,YES
184,433,5.015045135406219E-4,YES
185,443,5.015045135406219E-4,YES
186,772,5.015045135406219E-4,YES
187,443,5.015045135406219E-4,YES
188,676,5.015045135406219E-4,YES
189,478,5.015045135406219E-4,YES
190,452,0.9994984954864594,YES
191,722,5.015045135406219E-4,YES
192,1124,0.9994984954864594,YES
193,61,5.015045135406219E-4,YES
194,1101,0.9994984954864594,YES
195,43,5.015045135406219E-4,NO
196,61,5.015045135406219E-4,NO
197,38,5.015045135406219E-4,NO
198,32,5.015045135406219E-4,NO
199,32,5.015045135406219E-4,NO
200,32,5.015045135406219E-4,NO
201,35,5.015045135406219E-4,NO
202,30,5.015045135406219E-4,NO
203,30,5.015045135406219E-4,NO
204,49,5.015045135406219E-4,NO
205,59,5.015045135406219E-4,NO
206,53,5.015045135406219E-4,NO
207,57,5.015045135406219E-4,NO
208,384,5.015045135406219E-4,YES
209,112,5.015045135406219E-4,YES
210,71,5.015045135406219E-4,YES
211,136,5.015045135406219E-4,NO
212,145,5.015045135406219E-4,YES
213,43,5.015045135406219E-4,YES
214,52,0.9994984954864594,NO
215,99,5.015045135406219E-4,YES
216,166,5.015045135406219E-4,YES
217,31,5.015045135406219E-4,YES
218,165,5.015045135406219E-4,YES
219,31,5.015045135406219E-4,YES
220,158,5.015045135406219E-4,YES
221,83,5.015045135406219E-4,YES
222,155,5.015045135406219E-4,YES
223,74,5.015045135406219E-4,YES
224,301,5.015045135406219E-4,YES
225,41,5.015045135406219E-4,NO
226,54,5.015045135406219E-4,YES
227,66,5.015045135406219E-4,YES
228,57,5.015045135406219E-4,YES
229,72,5.015045135406219E-4,NO
230,64,2.508780732563974E-4,NO
231,155,5.015045135406219E-4,NO
232,34,5.015045135406219E-4,NO
233,38,5.015045135406219E-4,NO
234,41,5.015045135406219E-4,NO
235,23,5.015045135406219E-4,NO
236,22,5.015045135406219E-4,NO
237,60,5.015045135406219E-4,NO
238,24,5.015045135406219E-4,NO
239,22,5.015045135406219E-4,NO
240,55,5.015045135406219E-4,NO
241,45,5.015045135406219E-4,NO
242,50,5.015045135406219E-4,NO
243,38,5.015045135406219E-4,NO
244,31,5.015045135406219E-4,NO
245,30,0.9994984954864594,NO
246,31,0.9994984954864594,NO
247,38,0.9994984954864594,NO
248,31,0.9994984954864594,NO
249,32,0.9994984954864594,NO
250,80,0.9994984954864594,NO
251,82,0.9994984954864594,NO
252,202,5.015045135406219E-4,NO
253,40,0.9994984954864594,NO
254,185,5.015045135406219E-4,NO
255,51,0.9994984954864594,NO
256,31,5.015045135406219E-4,NO
257,28,5.015045135406219E-4,NO
258,25,5.015045135406219E-4,NO
259,25,5.015045135406219E-4,NO
260,33,5.015045135406219E-4,NO
261,448,0.9994984954864594,YES
262,54,5.015045135406219E-4,NO
263,39,5.015045135406219E-4,NO
264,40,5.015045135406219E-4,NO
265,45,5.015045135406219E-4,NO
266,58,5.015045135406219E-4,NO
267,110,5.015045135406219E-4,NO
268,89,5.015045135406219E-4,NO
269,57,5.015045135406219E-4,NO
270,89,5.015045135406219E-4,NO
271,52,5.015045135406219E-4,NO
272,219,0.9994984954864594,YES
273,125,0.9994984954864594,YES
274,346,0.9994984954864594,YES
275,98,0.9994984954864594,YES
276,343,0.9994984954864594,YES
277,296,0.9994984954864594,YES
278,47,5.015045135406219E-4,YES
279,284,5.015045135406219E-4,YES
280,87,5.015045135406219E-4,YES
281,43,0.9994984954864594,YES
282,47,5.015045135406219E-4,NO
283,55,0.9994984954864594,YES
284,41,5.015045135406219E-4,YES
285,42,5.015045135406219E-4,YES
286,50,0.9994984954864594,YES
287,41,0.9994984954864594,YES
288,59,0.9994984954864594,YES
289,45,0.9994984954864594,YES
290,116,0.9994984954864594,YES
291,172,5.015045135406219E-4,YES
292,94,5.015045135406219E-4,YES
293,159,0.9994984954864594,YES
294,56,0.9994984954864594,YES
295,77,5.015045135406219E-4,YES
296,114,0.9994984954864594,YES
297,77,0.9994984954864594,YES
298,80,0.9994984954864594,YES
299,46,0.9994984954864594,YES
300,157,0.9994984954864594,YES
301,57,0.9994984954864594,YES
302,57,0.9994984954864594,YES
303,131,5.015045135406219E-4,YES
304,70,0.9994984954864594,YES
305,110,5.015045135406219E-4,NO
306,70,0.9994984954864594,YES
307,114,5.015045135406219E-4,NO
308,261,5.015045135406219E-4,YES
309,281,5.015045135406219E-4,YES
310,108,0.9994984954864594,YES
311,44,0.9994984954864594,YES
312,104,0.9994984954864594,YES
313,206,0.9994984954864594,YES
314,86,0.9994984954864594,YES
315,89,5.015045135406219E-4,YES
316,64,2.508780732563974E-4,NO
317,61,0.9994984954864594,NO
318,64,0.9994984954864594,NO
319,68,0.9994984954864594,NO
320,23,5.015045135406219E-4,NO
321,40,5.015045135406219E-4,NO
322,25,5.015045135406219E-4,NO
323,26,5.015045135406219E-4,NO
324,59,5.015045135406219E-4,NO
325,60,5.015045135406219E-4,NO
326,51,5.015045135406219E-4,NO
327,58,5.015045135406219E-4,NO
328,61,5.015045135406219E-4,NO
329,35,0.9994984954864594,NO
330,224,5.015045135406219E-4,NO
331,32,5.015045135406219E-4,NO
332,32,5.015045135406219E-4,NO
333,32,5.015045135406219E-4,NO
334,32,5.015045135406219E-4,NO
335,23,5.015045135406219E-4,NO
336,24,5.015045135406219E-4,NO
337,105,5.015045135406219E-4,NO
338,29,5.015045135406219E-4,NO
339,34,5.015045135406219E-4,NO
340,28,5.015045135406219E-4,NO
341,31,5.015045135406219E-4,NO
342,38,5.015045135406219E-4,NO
343,32,5.015045135406219E-4,NO
344,28,5.015045135406219E-4,NO
345,41,5.015045135406219E-4,NO
346,260,5.015045135406219E-4,YES
347,41,5.015045135406219E-4,NO
348,134,5.015045135406219E-4,NO
349,29,5.015045135406219E-4,NO
350,22,5.015045135406219E-4,NO
351,25,5.015045135406219E-4,NO
352,24,5.015045135406219E-4,NO
353,28,5.015045135406219E-4,NO
354,30,5.015045135406219E-4,NO
355,198,2.508780732563974E-4,NO
356,84,5.015045135406219E-4,YES
357,22,5.015045135406219E-4,NO
358,31,5.015045135406219E-4,NO
359,32,5.015045135406219E-4,NO
360,225,5.015045135406219E-4,NO
361,383,5.015045135406219E-4,YES
362,314,5.015045135406219E-4,YES
363,106,5.015045135406219E-4,NO
364,25,5.015045135406219E-4,NO
365,52,5.015045135406219E-4,NO
366,52,5.015045135406219E-4,NO
367,72,5.015045135406219E-4,NO
368,39,5.015045135406219E-4,NO
369,48,5.015045135406219E-4,NO
370,42,5.015045135406219E-4,NO
371,67,2.508780732563974E-4,NO
372,55,5.015045135406219E-4,NO
373,57,5.015045135406219E-4,NO
374,100,5.015045135406219E-4,NO
375,42,5.015045135406219E-4,NO
376,179,5.015045135406219E-4,NO
377,95,0.9994984954864594,YES
378,42,5.015045135406219E-4,NO
379,61,5.015045135406219E-4,NO
380,24,5.015045135406219E-4,NO
381,61,5.015045135406219E-4,NO
382,181,5.015045135406219E-4,NO
383,38,5.015045135406219E-4,NO
384,57,5.015045135406219E-4,NO
385,51,5.015045135406219E-4,NO
386,60,5.015045135406219E-4,NO
387,50,5.015045135406219E-4,NO
388,51,5.015045135406219E-4,NO
389,186,2.508780732563974E-4,NO
390,52,5.015045135406219E-4,NO
391,32,5.015045135406219E-4,NO
392,35,5.015045135406219E-4,NO
393,37,0.9994984954864594,YES
394,105,5.015045135406219E-4,NO
395,63,5.015045135406219E-4,NO
396,62,5.015045135406219E-4,NO
397,139,5.015045135406219E-4,NO
398,76,5.015045135406219E-4,NO
399,60,5.015045135406219E-4,NO
400,41,5.015045135406219E-4,NO
401,31,5.015045135406219E-4,NO
402,45,5.015045135406219E-4,NO
403,85,5.015045135406219E-4,NO
404,37,5.015045135406219E-4,NO
405,61,5.015045135406219E-4,NO
406,86,5.015045135406219E-4,NO
407,34,5.015045135406219E-4,NO
408,83,5.015045135406219E-4,NO
409,54,5.015045135406219E-4,NO
410,67,5.015045135406219E-4,NO
411,62,5.015045135406219E-4,NO
412,22,5.015045135406219E-4,NO
413,29,5.015045135406219E-4,NO
414,36,2.508780732563974E-4,NO
415,33,5.015045135406219E-4,NO
416,26,5.015045135406219E-4,NO
417,44,5.015045135406219E-4,NO
418,29,5.015045135406219E-4,NO
419,29,5.015045135406219E-4,NO
420,25,5.015045135406219E-4,NO
421,53,5.015045135406219E-4,NO
422,32,5.015045135406219E-4,NO
423,53,5.015045135406219E-4,NO
424,36,2.508780732563974E-4,NO
425,22,5.015045135406219E-4,NO
426,359,5.015045135406219E-4,YES
427,33,5.015045135406219E-4,NO
428,25,5.015045135406219E-4,NO
429,28,5.015045135406219E-4,NO
430,25,5.015045135406219E-4,NO
431,25,5.015045135406219E-4,NO
432,26,5.015045135406219E-4,NO
433,50,5.015045135406219E-4,NO
