ID,Size,Predicted,Actual
0,233,0.9980392156862745,NO
1,557,0.9980392156862745,NO
2,22,0.00196078431372549,NO
3,39,0.9980392156862745,NO
4,39,0.9980392156862745,NO
5,24,4.916420845624386E-4,NO
6,45,0.9980392156862745,NO
7,77,0.9980392156862745,NO
8,77,0.9980392156862745,NO
9,54,0.9980392156862745,NO
10,90,0.9980392156862745,NO
11,58,0.9980392156862745,NO
12,24,4.916420845624386E-4,NO
13,64,0.9980392156862745,NO
14,214,0.00196078431372549,NO
15,19,0.00196078431372549,NO
16,35,0.00196078431372549,NO
17,157,0.00196078431372549,NO
18,55,0.9980392156862745,NO
19,26,0.00196078431372549,NO
20,54,0.9980392156862745,NO
