ID,Size,Predicted,Actual
0,78,0.09245893456106204,NO
1,302,0.10374797845330959,NO
2,87,0.09378586502577457,NO
3,198,0.2979780150689743,NO
4,175,0.1004920785833192,NO
5,65,0.9931367188784351,NO
6,105,0.09552324714623761,NO
7,58,0.09101861567397446,NO
8,196,0.1010603719890329,NO
9,106,0.9915232378374562,NO
10,130,0.0966144238790801,NO
11,64,0.09245893456106204,NO
12,132,0.0966144238790801,NO
13,62,0.09101861567397446,NO
14,108,0.09552324714623761,YES
15,432,0.9999968972403416,NO
16,174,0.1004920785833192,NO
17,246,0.10419426491374119,NO
18,106,0.09552324714623761,YES
19,121,0.0966144238790801,NO
20,110,0.09552324714623761,NO
21,58,0.09101861567397446,NO
22,37,0.08947024237182294,NO
23,77,0.09245893456106204,NO
24,142,0.09757806526244772,NO
25,114,0.09552324714623761,NO
26,80,0.09245893456106204,NO
27,59,0.09101861567397446,NO
28,69,0.9999964360841427,NO
29,95,0.11321964481192276,NO
30,64,0.09245893456106204,NO
31,164,0.29184124568182224,YES
32,70,0.09245893456106204,NO
33,32,0.08972528298186494,NO
34,148,0.09757806526244772,NO
35,156,0.09841056244632564,NO
36,119,0.0966144238790801,NO
37,116,0.9610479984026344,NO
38,93,0.016211511747609868,NO
39,229,0.10177315590304561,YES
40,123,0.9999999999825957,NO
41,201,0.10727681992600077,NO
42,180,0.11017849744360039,NO
43,156,0.09841056244632564,NO
44,98,0.016211511747609868,NO
45,85,0.09378586502577457,YES
46,48,0.09101861567397446,NO
47,145,0.024609869280014168,YES
48,145,0.9998913983181386,NO
49,113,0.024050678054982063,NO
50,260,0.9999966932814793,NO
51,610,0.9999997326276037,YES
52,39,0.266588385747833,NO
53,39,0.004253353278152296,NO
54,39,0.004253353278152296,NO
55,24,0.004266616003268554,NO
56,62,0.004340777207994241,NO
57,77,0.27060253597448963,NO
58,77,0.004340777207994241,NO
59,54,0.004340777207994241,NO
60,92,0.6985431010511369,NO
61,58,0.004340777207994241,NO
62,24,0.004266616003268554,NO
63,64,0.004340777207994241,NO
64,216,0.2882216449846726,NO
65,36,0.004253353278152296,NO
66,36,0.004253353278152296,NO
67,208,0.004735973722924495,NO
68,39,0.6945567546212535,NO
69,47,0.6985431010511369,NO
70,74,0.004340777207994241,NO
71,71,0.27060253597448963,NO
72,56,0.27060253597448963,YES
73,44,0.266588385747833,NO
74,55,0.27060253597448963,YES
75,53,0.9993513760492059,NO
76,187,0.9999150906199337,YES
77,44,0.9968446976929245,NO
78,171,0.9993078374807849,NO
79,493,0.9999954752363797,YES
80,122,0.25110737851132703,YES
81,132,0.9971180764719932,YES
82,115,0.9950963851233198,YES
83,201,0.99709848242938,YES
84,116,0.997095512779005,NO
85,225,0.2362680258352565,NO
86,42,0.22498445459500602,NO
87,44,0.22498445459500602,NO
88,136,0.24122938513328637,NO
89,27,0.10330481451490232,NO
90,47,0.999213152900016,NO
91,60,0.10745349905576837,NO
92,58,0.9969372131843768,NO
93,56,0.23023231620887077,NO
94,205,0.9972570535439986,NO
95,44,0.9968446976929245,YES
96,49,0.9968937358717559,NO
97,30,0.9967998457679993,YES
98,39,0.9968446976929245,YES
99,80,0.9970083082272548,YES
100,29,0.10330481451490232,NO
101,49,0.22773606355098006,NO
102,78,0.23443380968993224,NO
103,45,0.10462385532071462,NO
104,31,0.10330481451490232,NO
105,30,0.9967998457679993,NO
106,36,0.10462385532071462,NO
107,43,0.9968446976929245,NO
108,60,0.8700458940029773,NO
109,85,0.8737316279243481,NO
110,92,0.012582705757152219,NO
111,156,0.9999999999927003,NO
112,98,0.8737316279243481,NO
113,131,0.9999999999938037,NO
114,194,0.8882994820554682,NO
115,201,0.8825836460945942,NO
116,69,0.8719879209730582,NO
117,68,0.8719879209730582,NO
118,52,0.8700458940029773,NO
119,50,0.8700458940029773,NO
120,202,0.8830695789889758,NO
121,73,0.021975748518230098,NO
122,42,0.011954411693861723,NO
123,35,0.011954411693861723,NO
124,125,0.24380349076553787,NO
125,65,0.012388972374032919,NO
126,48,0.012179238675164872,NO
127,89,0.012582705757152219,NO
128,153,0.02350786046281148,NO
129,40,0.011954411693861723,NO
130,64,0.8719879209730582,NO
131,99,0.8752832992213312,NO
132,73,0.8719879209730582,NO
133,72,0.8719879209730582,NO
134,51,0.9999999995981564,NO
135,36,0.8700458940029773,NO
136,31,0.9999999999765468,NO
137,61,0.999999999994042,NO
138,74,0.9999999996044211,NO
139,101,0.9999830764168457,NO
140,86,0.999999999609975,NO
141,106,0.9999999996172009,NO
142,91,0.999999999609975,NO
143,58,0.9999999995981564,NO
144,106,0.9999999996172009,NO
145,143,0.9999999996278656,NO
146,52,0.9999999995981564,NO
147,88,0.999999999609975,NO
148,66,0.9999999999934236,NO
149,44,0.8700458940029773,NO
