ID,Size,Predicted,Actual
0,78,0.6203602468781431,YES
1,87,0.6162248655127471,NO
2,68,0.6148473561848065,NO
3,58,0.4466631248210317,NO
4,196,0.08193592949448923,NO
5,132,0.643742672533622,NO
6,64,0.6101733370615253,NO
7,173,0.21203087768210602,NO
8,246,0.004811882377855429,NO
9,107,0.5783279509868285,NO
10,121,0.5251307795995304,NO
11,110,0.6372089633291791,YES
12,58,0.5995343676495846,NO
13,37,0.5380538603416457,NO
14,142,0.636220977860878,YES
15,114,0.5648028640700652,NO
16,59,0.5995343676495846,NO
17,64,0.6101733370615253,NO
18,164,0.2792211052671643,NO
19,70,0.6148473561848065,NO
20,32,0.5146462791734842,NO
21,148,0.3799502998183299,NO
22,156,0.3114516039955826,NO
23,119,0.5438355953358334,NO
24,118,0.5438355953358334,NO
25,156,0.3114516039955826,NO
26,85,0.6214465589144953,NO
27,48,0.38070409202376837,YES
28,33,0.5146462791734842,NO
29,69,0.6148473561848065,NO
30,77,0.6203602468781431,YES
31,83,0.5558490626869821,YES
32,48,0.5740637350622324,NO
33,85,0.6214465589144953,NO
34,43,0.44028749154924235,NO
35,90,0.6162248655127471,NO
36,202,0.06592016014749562,NO
37,135,0.47493912411392325,NO
38,30,0.4914269199943887,NO
39,29,0.4914269199943887,NO
40,69,0.6148473561848065,NO
41,52,0.5865005253406853,NO
42,89,0.6162248655127471,NO
43,31,0.4914269199943887,NO
44,233,0.0716448798529912,YES
45,40,0.5380538603416457,NO
46,164,0.6620583315355467,YES
47,40,0.5380538603416457,NO
48,32,0.5146462791734842,NO
49,139,0.5803087524281738,NO
50,131,0.6083422540295983,YES
51,149,0.5859123600309275,YES
52,86,0.6214465589144953,NO
53,52,0.5589560590744339,NO
54,88,0.6162248655127471,NO
55,42,0.555888592136179,NO
56,32,0.5146462791734842,NO
57,40,0.5175104709554891,NO
58,51,0.5740637350622324,NO
59,81,0.6203602468781431,NO
60,35,0.5175104709554891,NO
61,55,0.5773367249794755,NO
62,46,0.5589560590744339,NO
63,46,0.5589560590744339,NO
64,27,0.4656414883578909,NO
65,12,0.40232752777518205,NO
66,48,0.5206144185326917,YES
67,317,0.07485357564093276,NO
68,29,0.4656414883578909,NO
69,14,0.40232752777518205,NO
70,83,0.6214465589144953,NO
71,54,0.5622566165496452,NO
72,83,0.6214465589144953,NO
73,40,0.5380538603416457,NO
74,32,0.5146462791734842,NO
75,40,0.5175104709554891,NO
76,50,0.5740637350622324,NO
77,81,0.6203602468781431,NO
78,35,0.5175104709554891,NO
79,54,0.5622566165496452,NO
80,46,0.5589560590744339,NO
81,46,0.5589560590744339,NO
82,86,0.4864132565728779,NO
83,25,0.4656414883578909,NO
84,152,0.5216690953137068,YES
85,94,0.6125918305303303,NO
86,29,0.4914269199943887,NO
87,52,0.41293817457043847,YES
88,43,0.555888592136179,NO
89,195,0.08193592949448923,NO
90,243,0.6303885454881298,YES
91,28,0.4914269199943887,NO
92,37,0.5380538603416457,NO
93,69,0.4502160201399411,NO
94,28,0.4914269199943887,NO
95,273,0.6405136375966456,YES
96,36,0.37777694906062415,NO
97,51,0.5740637350622324,NO
98,38,0.5380538603416457,NO
99,52,0.5865005253406853,NO
100,37,0.5380538603416457,NO
101,46,0.5589560590744339,NO
102,5,0.3372236574591974,YES
103,113,0.5648028640700652,NO
104,36,0.5175104709554891,NO
105,116,0.5438355953358334,NO
106,116,0.5000789425791758,YES
107,48,0.5411428292956698,NO
108,32,0.5146462791734842,NO
109,34,0.4942934919658346,NO
110,26,0.43746318464840667,NO
111,50,0.5740637350622324,NO
112,31,0.4914269199943887,NO
113,98,0.6023261862718802,NO
114,26,0.4656414883578909,NO
115,25,0.4656414883578909,NO
116,40,0.5380538603416457,NO
117,59,0.5995343676495846,NO
118,36,0.5175104709554891,NO
119,58,0.5995343676495846,NO
120,37,0.5380538603416457,NO
121,268,7.428021263237417E-4,YES
122,99,0.6049576584772504,NO
123,57,0.5444680524024462,NO
124,31,0.4656414883578909,NO
125,70,0.6148473561848065,NO
126,41,0.5380538603416457,NO
127,28,0.4914269199943887,NO
128,34,0.4942934919658346,NO
129,26,0.43746318464840667,NO
130,72,0.32206502354032784,NO
131,1424,0.9999955188648049,YES
132,345,0.7690103534710868,YES
133,36,0.31006295387884936,YES
134,32,0.5146462791734842,YES
135,49,0.3127291254205933,YES
136,27,0.3076148931490163,NO
137,423,0.8438318676220778,YES
138,119,0.33775229173269006,NO
139,153,0.35734370545363014,NO
140,51,0.3127291254205933,NO
141,51,0.3127291254205933,NO
142,108,0.3334732711611505,NO
143,46,0.3127291254205933,NO
144,53,0.3156162005928912,NO
145,436,0.6349414904786826,NO
146,382,0.5636281814729123,NO
147,30,0.3076148931490163,NO
148,22,0.30538232451679254,NO
149,108,0.6093047936790457,YES
150,253,0.7038408890062516,YES
151,75,0.32206502354032784,NO
152,93,0.3294347068117945,NO
153,49,0.3127291254205933,NO
154,383,0.5636281814729123,NO
155,59,0.3156162005928912,NO
156,124,0.553970045228352,YES
157,344,0.5191959632414547,YES
158,344,6.26202990299249E-7,YES
159,443,0.6349414904786826,YES
160,1127,0.9989254585844242,YES
161,614,0.8395243893162191,YES
162,723,0.9284143381241162,YES
163,402,0.5869160193936913,YES
164,389,3.009569000671482E-9,YES
165,344,0.5191959632414547,YES
166,441,0.6349414904786826,YES
167,1079,0.999331165302409,YES
168,2346,1.0,YES
169,625,0.5714388485337977,YES
170,436,0.6349414904786826,YES
171,335,0.5086154224549173,YES
172,695,0.9107299244354544,YES
173,824,0.9684870073344196,YES
174,441,0.6349414904786826,YES
175,679,0.8972839625722138,YES
176,344,0.5191959632414547,YES
177,479,0.6837725340493183,YES
178,549,0.7666122726569603,YES
179,336,0.5086154224549173,YES
180,16276,0.5,YES
181,344,0.5191959632414547,YES
182,241,0.4167786544907701,YES
183,565,0.788753656461318,YES
184,433,0.6228038430548627,YES
185,443,0.6349414904786826,YES
186,772,0.9517494071657423,YES
187,443,0.6349414904786826,YES
188,676,0.8972839625722138,YES
189,478,0.6837725340493183,YES
190,452,0.8497139589410136,YES
191,722,0.9284143381241162,YES
192,1124,0.9942667202671179,YES
193,61,0.3156162005928912,YES
194,1101,0.9917894711332956,YES
195,43,0.31006295387884936,NO
196,61,0.3156162005928912,NO
197,38,0.31006295387884936,NO
198,32,0.3076148931490163,NO
199,32,0.3076148931490163,NO
200,32,0.3076148931490163,NO
201,35,0.31006295387884936,NO
202,30,0.3076148931490163,NO
203,30,0.3076148931490163,NO
204,49,0.41293817457043847,NO
205,59,0.3156162005928912,NO
206,53,0.3156162005928912,NO
207,57,0.3156162005928912,NO
208,384,0.7374773642408132,YES
209,112,0.6016907505982926,YES
210,71,0.35343285545351943,YES
211,136,0.41794390112541197,NO
212,145,0.5847665450790837,YES
213,43,0.344302037433013,YES
214,52,0.5411428292956698,NO
215,99,0.6125918305303303,YES
216,166,0.4267654687794029,YES
217,31,0.4914269199943887,YES
218,165,0.3911000087722355,YES
219,31,0.4914269199943887,YES
220,158,0.4606098756984801,YES
221,83,0.6214465589144953,YES
222,155,0.48620609743798465,YES
223,74,0.5969109661959366,YES
224,301,0.7232285714441213,YES
225,41,0.5380538603416457,NO
226,54,0.3838681993832033,YES
227,66,0.35343285545351943,YES
228,57,0.4466631248210317,YES
229,72,0.32206502354032784,NO
230,64,0.31872713325800833,NO
231,155,0.35734370545363014,NO
232,34,0.31006295387884936,NO
233,38,0.31006295387884936,NO
234,41,0.31006295387884936,NO
235,23,0.30538232451679254,NO
236,22,0.30538232451679254,NO
237,60,0.3156162005928912,NO
238,24,0.3076148931490163,NO
239,22,0.30538232451679254,NO
240,55,0.3156162005928912,NO
241,45,0.3127291254205933,NO
242,50,0.3127291254205933,NO
243,38,0.31006295387884936,NO
244,31,0.3076148931490163,NO
245,30,0.4914269199943887,NO
246,31,0.4914269199943887,NO
247,38,0.5380538603416457,NO
248,31,0.4914269199943887,NO
249,32,0.5146462791734842,NO
250,80,0.6066421646234221,NO
251,82,0.6105237404139601,NO
252,202,0.5539065177202599,NO
253,40,0.5175104709554891,NO
254,185,0.6083471138915953,NO
255,51,0.5411428292956698,NO
256,31,0.3076148931490163,NO
257,28,0.3076148931490163,NO
258,25,0.3076148931490163,NO
259,25,0.3076148931490163,NO
260,33,0.3076148931490163,NO
261,448,0.7392373165415171,YES
262,54,0.3156162005928912,NO
263,39,0.31006295387884936,NO
264,40,0.31006295387884936,NO
265,45,0.3127291254205933,NO
266,58,0.3156162005928912,NO
267,110,0.33775229173269006,NO
268,89,0.32563310117261235,NO
269,57,0.3156162005928912,NO
270,89,0.32563310117261235,NO
271,52,0.3127291254205933,NO
272,219,0.02302889119168263,YES
273,125,0.5251307795995304,YES
274,346,6.26202990299249E-7,YES
275,98,0.6023261862718802,YES
276,343,0.0022720010196715123,YES
277,296,9.170082198568318E-5,YES
278,47,0.5589560590744339,YES
279,284,0.6651392942034536,YES
280,87,0.6223086412584269,YES
281,43,0.555888592136179,YES
282,47,0.3127291254205933,NO
283,55,0.5897462450402061,YES
284,41,0.4942934919658346,YES
285,42,0.5380538603416457,YES
286,50,0.5740637350622324,YES
287,41,0.5380538603416457,YES
288,59,0.3838681993832033,YES
289,45,0.5589560590744339,YES
290,116,0.4079378941950619,YES
291,172,0.5054789317100105,YES
292,94,0.6125918305303303,YES
293,159,0.6278365407903934,YES
294,56,0.5897462450402061,YES
295,77,0.6066421646234221,YES
296,114,0.6234435827668701,YES
297,77,0.6203602468781431,YES
298,80,0.3909150189479538,YES
299,46,0.5589560590744339,YES
300,157,0.3114516039955826,YES
301,57,0.3156162005928912,YES
302,57,0.3501572843692542,YES
303,131,0.6445830190160147,YES
304,70,0.6148473561848065,YES
305,110,0.33775229173269006,NO
306,70,0.31872713325800833,YES
307,114,0.33775229173269006,NO
308,261,0.0016077998378184548,YES
309,281,0.39991159286606787,YES
310,108,0.5783279509868285,YES
311,44,0.5589560590744339,YES
312,104,0.5938445655612105,YES
313,206,0.05238151791723145,YES
314,86,0.6214465589144953,YES
315,89,0.32563310117261235,YES
316,64,0.31872713325800833,NO
317,61,0.5444680524024462,NO
318,64,0.5275390979573911,NO
319,68,0.5657888207820624,NO
320,23,0.30538232451679254,NO
321,40,0.31006295387884936,NO
322,25,0.3076148931490163,NO
323,26,0.3076148931490163,NO
324,59,0.3156162005928912,NO
325,60,0.3156162005928912,NO
326,51,0.3127291254205933,NO
327,58,0.3156162005928912,NO
328,61,0.3156162005928912,NO
329,35,0.46849620758910077,NO
330,224,0.40166704501517486,NO
331,32,0.3076148931490163,NO
332,32,0.3076148931490163,NO
333,32,0.3076148931490163,NO
334,32,0.3076148931490163,NO
335,23,0.30538232451679254,NO
336,24,0.3076148931490163,NO
337,105,0.3334732711611505,NO
338,29,0.3076148931490163,NO
339,34,0.31006295387884936,NO
340,28,0.3076148931490163,NO
341,31,0.3076148931490163,NO
342,38,0.31006295387884936,NO
343,32,0.3076148931490163,NO
344,28,0.3076148931490163,NO
345,41,0.31006295387884936,NO
346,260,0.6643404227104724,YES
347,41,0.31006295387884936,NO
348,134,0.347045868361741,NO
349,29,0.3076148931490163,NO
350,22,0.30538232451679254,NO
351,25,0.3076148931490163,NO
352,24,0.3076148931490163,NO
353,28,0.3076148931490163,NO
354,30,0.3076148931490163,NO
355,198,0.3876561405751256,NO
356,84,0.32563310117261235,YES
357,22,0.30538232451679254,NO
358,31,0.3076148931490163,NO
359,32,0.3076148931490163,NO
360,225,0.4090847363579534,NO
361,383,0.7824868075799598,YES
362,314,0.6253870662984066,YES
363,106,0.3334732711611505,NO
364,25,0.3076148931490163,NO
365,52,0.3127291254205933,NO
366,52,0.3127291254205933,NO
367,72,0.32206502354032784,NO
368,39,0.31006295387884936,NO
369,48,0.3127291254205933,NO
370,42,0.31006295387884936,NO
371,67,0.4502160201399411,NO
372,55,0.3156162005928912,NO
373,57,0.3156162005928912,NO
374,100,0.3294347068117945,NO
375,42,0.31006295387884936,NO
376,179,0.37473283538171753,NO
377,95,0.6125918305303303,YES
378,42,0.31006295387884936,NO
379,61,0.3156162005928912,NO
380,24,0.3076148931490163,NO
381,61,0.3156162005928912,NO
382,181,0.37473283538171753,NO
383,38,0.31006295387884936,NO
384,57,0.3156162005928912,NO
385,51,0.3127291254205933,NO
386,60,0.3156162005928912,NO
387,50,0.3127291254205933,NO
388,51,0.3127291254205933,NO
389,186,0.37473283538171753,NO
390,52,0.3127291254205933,NO
391,32,0.4914269199943887,NO
392,35,0.5175104709554891,NO
393,37,0.5380538603416457,YES
394,105,0.3334732711611505,NO
395,63,0.31872713325800833,NO
396,62,0.3156162005928912,NO
397,139,0.4489395852905292,NO
398,76,0.6206480145637977,NO
399,60,0.3156162005928912,NO
400,41,0.31006295387884936,NO
401,31,0.3076148931490163,NO
402,45,0.3127291254205933,NO
403,85,0.32563310117261235,NO
404,37,0.31006295387884936,NO
405,61,0.3156162005928912,NO
406,86,0.32563310117261235,NO
407,34,0.31006295387884936,NO
408,83,0.32563310117261235,NO
409,54,0.3156162005928912,NO
410,67,0.31872713325800833,NO
411,62,0.3156162005928912,NO
412,22,0.30538232451679254,NO
413,29,0.3076148931490163,NO
414,36,0.31006295387884936,NO
415,33,0.3076148931490163,NO
416,26,0.3076148931490163,NO
417,44,0.3127291254205933,NO
418,29,0.3076148931490163,NO
419,29,0.3076148931490163,NO
420,25,0.3076148931490163,NO
421,53,0.3156162005928912,NO
422,32,0.3076148931490163,NO
423,53,0.3156162005928912,NO
424,36,0.31006295387884936,NO
425,22,0.30538232451679254,NO
426,359,0.5410152217536272,YES
427,33,0.3076148931490163,NO
428,25,0.3076148931490163,NO
429,28,0.3076148931490163,NO
430,25,0.3076148931490163,NO
431,25,0.3076148931490163,NO
432,26,0.3076148931490163,NO
433,50,0.3127291254205933,NO
434,24,0.3076148931490163,NO
435,25,0.3076148931490163,NO
436,26,0.3076148931490163,NO
437,31,0.3076148931490163,NO
438,94,0.3294347068117945,NO
439,61,0.3156162005928912,NO
440,96,0.3294347068117945,NO
441,217,0.40166704501517486,NO
442,510,0.7200208106583118,NO
443,56,0.3156162005928912,NO
444,69,0.31872713325800833,NO
445,159,0.36287784971512166,NO
446,142,0.3520675080066971,NO
447,149,0.35734370545363014,NO
448,47,0.5740637350622324,YES
449,173,0.5822416747942821,YES
450,100,0.3294347068117945,NO
451,136,0.4434819554669812,NO
452,98,0.3294347068117945,NO
453,60,0.3156162005928912,NO
454,351,0.5685131470494801,NO
455,37,0.31006295387884936,NO
456,20,0.434880129260738,NO
457,54,0.3156162005928912,NO
458,44,0.3127291254205933,NO
459,35,0.31006295387884936,NO
460,24,0.3076148931490163,NO
461,65,0.4502160201399411,YES
462,217,0.6157083587063344,YES
463,177,0.37473283538171753,NO
464,59,0.3156162005928912,NO
465,68,0.31872713325800833,NO
466,156,0.35734370545363014,NO
467,114,0.5000789425791758,YES
468,249,0.033960912849534494,NO
469,43,0.31006295387884936,NO
470,43,0.31006295387884936,NO
471,38,0.31006295387884936,NO
472,59,0.3838681993832033,YES
473,64,0.31872713325800833,NO
474,124,0.3422753070834267,NO
475,47,0.3127291254205933,NO
476,182,0.5885392176155724,YES
477,498,2.4540987227190257E-70,YES
478,74,0.6138134540838219,NO
479,34,0.5175104709554891,YES
480,58,0.3156162005928912,NO
481,109,0.40331120386272257,NO
482,161,0.36287784971512166,NO
483,113,0.5648028640700652,YES
484,536,0.8888441585265665,YES
485,186,0.37473283538171753,YES
486,51,0.3127291254205933,NO
487,375,0.5522294303473364,NO
488,53,0.3501572843692542,YES
489,84,0.6214465589144953,YES
490,30,0.3076148931490163,NO
491,377,0.5903292502086209,NO
492,40,0.31006295387884936,NO
493,813,0.9656007721998837,NO
494,121,0.41281491575063683,YES
495,183,0.37473283538171753,NO
496,32,0.3076148931490163,NO
497,32,0.3076148931490163,NO
498,26,0.3076148931490163,NO
499,174,0.3686731987276476,NO
500,31,0.3076148931490163,NO
501,24,0.3076148931490163,NO
502,34,0.31006295387884936,NO
503,123,0.3422753070834267,NO
504,87,0.32563310117261235,NO
505,26,0.3076148931490163,NO
506,25,0.3076148931490163,NO
507,23,0.30538232451679254,NO
508,23,0.30538232451679254,NO
509,23,0.30538232451679254,NO
510,33,0.3076148931490163,NO
511,32,0.3076148931490163,NO
512,29,0.3076148931490163,NO
513,22,0.30538232451679254,NO
514,25,0.3076148931490163,NO
515,24,0.3076148931490163,NO
516,31,0.3076148931490163,NO
517,31,0.3076148931490163,NO
518,26,0.3076148931490163,NO
519,26,0.3076148931490163,NO
520,26,0.3076148931490163,NO
521,36,0.31006295387884936,NO
522,65,0.31872713325800833,NO
523,41,0.31006295387884936,NO
524,39,0.31006295387884936,NO
525,38,0.31006295387884936,NO
526,31,0.3076148931490163,NO
527,125,0.3422753070834267,NO
528,38,0.31006295387884936,NO
529,48,0.3127291254205933,NO
530,44,0.3127291254205933,NO
531,42,0.31006295387884936,NO
532,46,0.3127291254205933,NO
533,42,0.31006295387884936,NO
534,113,0.33775229173269006,NO
535,53,0.3156162005928912,NO
536,56,0.3156162005928912,NO
537,61,0.3156162005928912,NO
538,49,0.3127291254205933,NO
539,53,0.3156162005928912,NO
540,29,0.3076148931490163,NO
541,48,0.3127291254205933,NO
542,96,0.3294347068117945,NO
543,95,0.3294347068117945,NO
544,51,0.3127291254205933,NO
545,29,0.3076148931490163,NO
546,159,0.36287784971512166,NO
547,53,0.3156162005928912,NO
548,56,0.3156162005928912,NO
549,27,0.3076148931490163,NO
550,95,0.3294347068117945,NO
551,40,0.31006295387884936,NO
552,45,0.3127291254205933,NO
553,61,0.3156162005928912,NO
554,53,0.3156162005928912,NO
555,38,0.31006295387884936,NO
556,64,0.31872713325800833,NO
557,31,0.3076148931490163,NO
558,52,0.3127291254205933,NO
559,29,0.3076148931490163,NO
560,33,0.3076148931490163,NO
561,39,0.31006295387884936,NO
562,218,0.40166704501517486,NO
563,40,0.31006295387884936,NO
564,27,0.3076148931490163,NO
565,84,0.32563310117261235,NO
566,62,0.3156162005928912,NO
567,80,0.32206502354032784,NO
568,59,0.3156162005928912,NO
569,93,0.3294347068117945,NO
570,107,0.3334732711611505,NO
571,73,0.32206502354032784,NO
572,106,0.3334732711611505,NO
573,76,0.32206502354032784,NO
574,92,0.3294347068117945,NO
575,24,0.3076148931490163,NO
576,33,0.3076148931490163,NO
577,31,0.3076148931490163,NO
578,62,0.3156162005928912,NO
579,77,0.32206502354032784,NO
580,25,0.3076148931490163,NO
581,94,0.3294347068117945,YES
582,201,0.3876561405751256,NO
583,171,0.3686731987276476,NO
584,198,0.3876561405751256,YES
585,49,0.3127291254205933,NO
586,38,0.31006295387884936,NO
587,178,0.37473283538171753,NO
