ID,Size,Predicted,Actual
0,78,0.01390742458769634,NO
1,87,5.869772600147191E-6,NO
2,198,0.013719202965100588,NO
3,175,1.1158753105036913E-4,NO
4,68,5.869772600147191E-6,NO
5,105,0.44762953257407406,NO
6,58,5.869772600147191E-6,NO
7,196,0.007531132591753847,NO
8,87,0.8605208477943997,YES
9,132,6.523028074532098E-6,YES
10,64,5.869772600147191E-6,NO
11,134,7.148458348040919E-6,YES
12,432,0.983588709260637,NO
13,174,0.005308352103208891,NO
14,246,9.275134226865491E-6,NO
15,107,5.869772600147191E-6,NO
16,121,6.523028074532098E-6,NO
17,110,6.9822442940357005E-6,NO
18,58,5.869772600147191E-6,NO
19,37,5.869772600147191E-6,NO
20,77,6.302028826383664E-6,NO
21,142,6.9822442940357005E-6,NO
22,114,6.523028074532098E-6,NO
23,59,5.869772600147191E-6,NO
24,64,5.869772600147191E-6,NO
25,164,6.523028074532098E-6,NO
26,70,5.869772600147191E-6,NO
27,32,6.758196273997648E-6,NO
28,148,6.523028074532098E-6,NO
29,156,6.523028074532098E-6,NO
30,119,6.523028074532098E-6,NO
31,118,6.523028074532098E-6,NO
32,230,0.9999999997918924,NO
33,156,6.523028074532098E-6,NO
34,85,5.869772600147191E-6,NO
35,48,5.869772600147191E-6,NO
36,263,7.815226477580437E-4,YES
37,594,0.9999999971964624,YES
38,39,5.403065550221604E-5,YES
39,39,5.403065550221604E-5,NO
40,39,5.403065550221604E-5,NO
41,24,6.094569365924523E-5,NO
42,62,5.585240447559562E-5,NO
43,77,5.8471128695455236E-5,YES
44,77,5.8471128695455236E-5,NO
45,54,5.403065550221604E-5,NO
46,90,2.766000962995828E-4,YES
47,58,5.585240447559562E-5,NO
48,24,6.094569365924523E-5,NO
49,64,5.585240447559562E-5,NO
50,216,2.466555674044329E-4,YES
51,36,6.094569365924523E-5,NO
52,36,6.094569365924523E-5,NO
53,208,0.9999138748955089,NO
54,74,5.8471128695455236E-5,NO
55,71,5.8471128695455236E-5,YES
56,56,5.585240447559562E-5,YES
57,44,5.403065550221604E-5,YES
58,55,5.585240447559562E-5,YES
59,36,0.99940816347569,YES
