ID,Size,Predicted,Actual
0,78,0.10398080017809701,NO
1,302,0.11649605728271109,NO
2,87,0.10545387342869424,NO
3,198,0.3259135150076646,NO
4,175,0.11289047947190543,NO
5,65,0.9993127976846351,NO
6,105,0.107381792627045,NO
7,58,0.10238124267780319,NO
8,196,0.11352003856642207,NO
9,106,0.9926215958382298,NO
10,130,0.10859216767804745,NO
11,64,0.10398080017809701,NO
12,132,0.10859216767804745,NO
13,62,0.10238124267780319,NO
14,108,0.107381792627045,YES
15,432,0.99999730226099,NO
16,174,0.11289047947190543,NO
17,246,0.1169900232942539,NO
18,106,0.107381792627045,YES
19,121,0.10859216767804745,NO
20,110,0.107381792627045,NO
21,58,0.10238124267780319,NO
22,37,0.10066097852831411,NO
23,77,0.10398080017809701,NO
24,142,0.10966077425046317,NO
25,114,0.107381792627045,NO
26,80,0.10398080017809701,NO
27,59,0.10238124267780319,NO
28,69,0.999996901301914,NO
29,95,0.12696668524218355,NO
30,64,0.10398080017809701,NO
31,164,0.31946322979992803,YES
32,70,0.10398080017809701,NO
33,32,0.1009443825123524,NO
34,148,0.10966077425046317,NO
35,156,0.11058372416827199,NO
36,119,0.10859216767804745,NO
37,116,0.968631116012827,NO
38,93,0.015020834152442557,NO
39,229,0.11430952645313452,YES
40,123,0.9999999999847207,NO
41,201,0.12040025690543601,NO
42,180,0.12360775419081124,NO
43,156,0.11058372416827199,NO
44,98,0.015827188313780514,NO
45,85,0.10545387342869424,YES
46,48,0.10238124267780319,NO
47,145,0.028981805013959517,YES
48,145,0.9999000992183269,NO
49,113,0.0260909506402589,NO
50,260,0.9999976449815354,NO
51,610,0.9999998748890502,YES
52,39,0.2928085164443697,NO
53,39,0.004842034367706266,NO
54,39,0.004842034367706266,NO
55,24,0.004857123753085608,NO
56,62,0.0049414980721303675,NO
57,77,0.2990785875005297,NO
58,77,0.0049414980721303675,NO
59,54,0.0049414980721303675,NO
60,92,0.7252367787436962,NO
61,58,0.0049414980721303675,NO
62,24,0.004857123753085608,NO
63,64,0.0049414980721303675,NO
64,216,0.31565374726036644,NO
65,36,0.004842034367706266,NO
66,36,0.004842034367706266,NO
67,208,0.00539108976586611,NO
68,39,0.7233996614383249,NO
69,47,0.7333396082910927,NO
70,74,0.0049414980721303675,NO
71,71,0.30569901708921354,NO
72,56,0.2990785875005297,YES
73,44,0.2948127555260125,NO
74,55,0.2990785875005297,YES
75,53,0.9994359970522593,NO
76,187,0.9999243066092653,YES
77,44,0.9972554477123106,NO
78,171,0.9993829235156142,NO
79,493,0.9999952791176185,YES
80,122,0.2733261422624868,YES
81,132,0.9974690588000426,YES
82,115,0.9956925205940202,YES
83,201,0.9975540648219091,YES
84,116,0.9974492360536358,NO
85,225,0.2605655074987888,NO
86,42,0.2484991098472807,NO
87,44,0.2484991098472807,NO
88,136,0.26585947591751846,NO
89,27,0.11600548757373437,NO
90,47,0.999309157840055,NO
91,60,0.1205956299038883,NO
92,58,0.9973359519351169,NO
93,56,0.2541156198671049,NO
94,205,0.9976802857447885,NO
