ID,Size,Predicted,Actual
0,78,0.28504669787407716,NO
1,302,0.27848510636696383,NO
2,87,0.28809040153690435,NO
3,198,0.536572072043493,NO
4,175,0.29468961452400305,NO
5,65,0.9706343729284334,NO
6,105,0.2888017921145451,NO
7,58,0.2810275694205937,NO
8,196,0.2936958119721411,NO
9,106,0.9604697906510572,NO
10,130,0.2908537169135708,NO
11,64,0.28504669787407716,NO
12,132,0.2908537169135708,NO
13,62,0.28504669787407716,NO
14,108,0.2888017921145451,YES
15,432,0.9998536635966627,NO
16,174,0.29468961452400305,NO
17,246,0.2934661118735686,NO
18,106,0.2888017921145451,YES
19,121,0.2908537169135708,NO
20,110,0.2908537169135708,NO
21,58,0.2810275694205937,NO
22,37,0.2810275694205937,NO
23,77,0.28504669787407716,NO
24,142,0.29189657238306743,NO
25,114,0.2908537169135708,NO
26,80,0.28504669787407716,NO
27,59,0.2810275694205937,NO
28,69,0.9998774020093523,NO
29,95,0.23126147128435845,NO
30,64,0.28504669787407716,NO
31,164,0.3648889346648768,YES
32,70,0.28504669787407716,NO
33,32,0.27734217337094447,NO
34,148,0.29189657238306743,NO
35,156,0.29189657238306743,NO
36,119,0.2908537169135708,NO
37,116,0.938056255909557,NO
38,93,0.20524434390056973,NO
39,229,0.2916867553900215,YES
40,123,0.9999999896774786,NO
41,201,0.17480455852795493,NO
42,180,0.19168591645989427,NO
43,156,0.29189657238306743,NO
44,98,0.20687528548564407,NO
45,85,0.28809040153690435,YES
46,48,0.2810275694205937,NO
47,145,0.12387402769016184,YES
48,145,0.999165644730879,NO
49,113,0.12331260905728939,NO
50,260,0.9998966859719227,NO
51,610,0.999947250966311,YES
52,39,0.514984698881174,NO
53,39,0.024893783522488562,NO
54,39,0.024893783522488562,NO
55,24,0.024336029299693092,NO
56,62,0.024893783522488562,NO
57,77,0.5211576591276637,NO
58,77,0.025501049421054234,NO
59,54,0.024893783522488562,NO
60,92,0.7837102592689521,NO
61,58,0.024893783522488562,NO
62,24,0.024336029299693092,NO
63,64,0.024893783522488562,NO
64,216,0.5364733615128564,NO
65,36,0.024893783522488562,NO
66,36,0.024893783522488562,NO
67,208,0.026812693316811263,NO
68,39,0.7837102592689521,NO
69,47,0.7837102592689521,NO
70,74,0.025501049421054234,NO
71,71,0.5211576591276637,NO
72,56,0.514984698881174,YES
73,44,0.514984698881174,NO
74,55,0.514984698881174,YES
75,53,0.9932602463909318,NO
76,187,0.9972792869108623,YES
77,44,0.9931598484796372,NO
78,171,0.989401582980008,NO
79,493,0.9979794205129098,YES
80,122,0.4810600412629506,YES
81,132,0.9931896224141069,YES
82,115,0.9778223364507568,YES
83,201,0.9922241465871369,YES
84,116,0.9933522146811455,NO
85,225,0.36138328146264376,NO
86,42,0.4022555123864314,NO
87,44,0.4022555123864314,NO
88,136,0.40331207475214637,NO
89,27,0.31183914783451805,NO
90,47,0.9771909026360689,NO
91,60,0.3179405620219446,NO
92,58,0.9932602463909318,NO
93,56,0.4058403268280031,NO
94,205,0.9942351255914527,NO
95,44,0.9931598484796372,YES
96,49,0.9932602463909318,NO
97,30,0.9930682465958305,YES
98,39,0.9931598484796372,YES
99,80,0.993360053363354,YES
100,29,0.31183914783451805,NO
101,49,0.4058403268280031,NO
