ID,Size,Predicted,Actual
0,118,9.107876502397163E-9,NO
1,22,3.004910450294341E-9,NO
2,75,3.9869571157676366E-9,NO
3,133,1.1447801308909424E-8,NO
4,79,7.705940432188976E-9,NO
5,91,7.705940432188976E-9,NO
6,70,3.9869571157676366E-9,NO
7,57,3.744785826531197E-9,NO
8,70,3.9869571157676366E-9,NO
9,59,3.744785826531197E-9,NO
10,88,3.9869571157676366E-9,NO
11,40,3.004910450294341E-9,NO
12,104,7.705940432188976E-9,NO
13,195,2.6304150270981596E-8,NO
14,201,2.97896992746729E-8,NO
15,97,4.92891375603371E-9,NO
16,101,7.488481329074026E-9,NO
17,98,7.488481329074026E-9,NO
18,187,2.6304150270981596E-8,NO
19,149,2.1277207254263216E-8,NO
20,151,2.1277207254263216E-8,NO
21,196,3.4641275139128315E-8,NO
22,90,3.9869571157676366E-9,NO
23,115,8.554656058801258E-9,NO
24,62,3.9869571157676366E-9,NO
25,61,3.9869571157676366E-9,NO
26,142,1.0,YES
27,47,0.958658113137378,YES
28,85,3.9869571157676366E-9,NO
29,65,1.9327625333278006E-8,NO
30,106,0.9803475572946168,NO
31,85,0.9688416619632236,NO
32,88,7.33335711198035E-8,NO
33,144,9.294985779594461E-8,NO
34,81,7.705940432188976E-9,NO
35,80,3.9869571157676366E-9,NO
36,69,3.9869571157676366E-9,NO
37,89,4.163065745982984E-8,NO
38,67,3.9869571157676366E-9,NO
39,88,3.9869571157676366E-9,NO
40,40,3.004910450294341E-9,NO
41,92,3.279395498225936E-8,NO
42,95,4.92891375603371E-9,NO
43,49,3.0974974578520233E-9,NO
44,102,5.5820415199236236E-9,NO
45,94,4.92891375603371E-9,NO
46,72,3.9869571157676366E-9,NO
47,69,7.705940432188976E-9,NO
48,86,7.705940432188976E-9,NO
49,174,1.3226471966670846E-7,NO
50,131,9.036358849207751E-9,NO
51,166,2.1277207254263216E-8,NO
52,116,8.554656058801258E-9,NO
53,155,2.1277207254263216E-8,NO
54,67,3.9869571157676366E-9,NO
55,88,3.9869571157676366E-9,NO
56,40,3.004910450294341E-9,NO
57,57,3.744785826531197E-9,NO
58,39,3.004910450294341E-9,NO
59,98,7.705940432188976E-9,NO
60,106,8.554656058801258E-9,NO
61,101,7.705940432188976E-9,NO
62,94,7.705940432188976E-9,NO
63,76,3.9869571157676366E-9,NO
64,116,5.5820415199236236E-9,NO
65,56,3.744785826531197E-9,NO
66,48,2.8991145730862127E-9,NO
67,82,7.705940432188976E-9,NO
68,45,2.8951283083726336E-9,NO
69,45,2.8951283083726336E-9,NO
70,30,3.004910450294341E-9,NO
71,77,2.3620902853232067E-9,NO
72,302,1.6858547967655445E-9,NO
73,86,2.2057859053775693E-8,NO
74,198,1.4037855501122223E-9,NO
75,175,1.4037855501122223E-9,NO
76,68,2.5786251711031926E-9,NO
77,105,2.0312750803395403E-9,NO
78,194,2.396084513868756E-9,NO
79,106,2.0312750803395403E-9,NO
80,97,1.0186695146349019E-4,NO
81,65,2.5786251711031926E-9,NO
82,101,0.011950797580430694,NO
83,62,2.0312750803395403E-9,NO
84,108,2.0312750803395403E-9,NO
85,432,2.846923094566271E-9,NO
86,173,2.060508352993071E-9,NO
87,243,2.559040348501083E-9,YES
88,107,5.666966878859967E-7,NO
89,120,2.0312750803395403E-9,NO
90,110,1.3838694717811267E-9,NO
91,58,1.3838694717811267E-9,NO
92,37,1.4363452651859082E-9,NO
93,77,1.3838694717811267E-9,NO
94,142,1.4037855501122223E-9,NO
95,114,1.3838694717811267E-9,NO
96,80,1.3838694717811267E-9,NO
97,59,1.3838694717811267E-9,NO
98,69,1.3838694717811267E-9,NO
99,95,1.3838694717811267E-9,NO
100,97,6.6615120653514245E-9,NO
101,95,1.1285386682749943E-8,NO
102,71,7.488481329074026E-9,NO
103,114,1.2277137478006208E-8,NO
104,109,1.0259766352134849E-8,NO
105,116,9.916417132390664E-9,NO
106,88,9.115366022870977E-9,NO
107,63,7.488481329074026E-9,NO
108,79,8.960936504123432E-9,NO
109,105,1.0557701204970699E-8,NO
110,70,1.3838694717811267E-9,NO
111,32,1.4363452651859082E-9,NO
112,148,1.4037855501122223E-9,NO
113,156,1.4037855501122223E-9,NO
114,119,1.3838694717811267E-9,NO
115,116,1.3838694717811267E-9,NO
116,73,9.945381871500977E-5,NO
117,92,2.0312750803395403E-9,NO
118,125,7.236082581646718E-9,NO
119,202,2.060508352993071E-9,NO
120,181,2.060508352993071E-9,NO
121,153,2.6157356803522227E-9,NO
122,98,2.0312750803395403E-9,NO
123,88,2.0312750803395403E-9,NO
124,143,1.4037855501122223E-9,NO
125,144,2.060508352993071E-9,NO
126,112,2.0312750803395403E-9,NO
127,261,2.2006419153134865E-9,NO
128,629,2.160777316083687E-8,NO
129,39,1.4363452651859082E-9,NO
130,39,1.4363452651859082E-9,NO
131,37,6.718999994309152E-9,NO
132,39,1.4363452651859082E-9,NO
133,24,1.4363452651859082E-9,NO
134,67,6.441394443342661E-9,NO
135,77,1.3838694717811267E-9,NO
136,77,1.3838694717811267E-9,NO
137,54,1.3838694717811267E-9,NO
138,95,6.628447037642366E-9,NO
139,58,1.3838694717811267E-9,NO
140,24,1.4363452651859082E-9,NO
141,64,1.3838694717811267E-9,NO
142,216,1.4992559080573248E-9,NO
143,36,1.4363452651859082E-9,NO
144,36,1.4363452651859082E-9,NO
145,208,1.4037855501122223E-9,NO
146,64,1.3838694717811267E-9,NO
147,39,1.4363452651859082E-9,NO
148,47,1.3838694717811267E-9,NO
149,74,1.3838694717811267E-9,NO
150,71,1.3838694717811267E-9,NO
151,175,3.421808628954183E-9,NO
152,44,1.3838694717811267E-9,NO
153,175,3.421808628954183E-9,NO
154,58,3.744785826531197E-9,NO
155,58,2.9015911710507015E-9,NO
156,290,0.9529484063972212,NO
157,85,3.000745376955839E-9,NO
158,35,3.0266413951564045E-9,NO
159,183,6.7238409114178835E-9,NO
160,231,2.1630029694574163E-7,NO
161,51,2.2956442599149047E-5,NO
162,238,7.187389383623373E-6,NO
163,139,6.7238409114178835E-9,NO
164,132,2.6761619471047098E-8,NO
165,484,0.006112814322476352,NO
166,225,1.4992559080573248E-9,NO
167,42,1.3838694717811267E-9,NO
168,44,1.3838694717811267E-9,NO
169,94,1.3838694717811267E-9,NO
170,166,1.2793378040359466E-7,NO
171,27,1.4363452651859082E-9,NO
172,47,1.3838694717811267E-9,NO
173,60,1.3838694717811267E-9,NO
174,37,6.718999994309152E-9,NO
175,68,7.488481329074026E-9,NO
176,24,6.6799432109096456E-9,NO
177,32,6.718999994309152E-9,NO
178,32,6.718999994309152E-9,NO
179,36,6.718999994309152E-9,NO
180,35,6.718999994309152E-9,NO
181,24,6.6799432109096456E-9,NO
182,36,6.718999994309152E-9,NO
183,34,6.718999994309152E-9,NO
184,156,3.8619751394163746E-8,NO
185,125,1.1970574136323671E-8,NO
186,110,1.4364448865555362E-8,NO
187,97,1.2277137478006208E-8,NO
188,65,7.488481329074026E-9,NO
189,67,8.850855225082137E-9,NO
190,69,8.211021823780187E-9,NO
191,26,6.718999994309152E-9,NO
192,76,1.0259766352134849E-8,NO
193,55,7.488481329074026E-9,NO
194,39,6.718999994309152E-9,NO
195,45,6.473526386855916E-9,NO
196,45,6.473526386855916E-9,NO
197,37,6.718999994309152E-9,NO
198,71,9.430979391333096E-9,NO
199,45,6.473526386855916E-9,NO
200,58,7.488481329074026E-9,NO
201,135,9.036358849207751E-9,NO
202,170,0.9273189045906973,NO
203,126,2.87491224105064E-7,NO
204,228,0.0012972481827833115,NO
205,31,3.0090478726184277E-9,NO
206,52,8.974270754484199E-6,NO
207,46,8.974270754484199E-6,NO
208,30,9.314568450055904E-6,NO
209,41,9.314568450055904E-6,NO
210,109,8.974270754484199E-6,NO
211,27,9.314568450055904E-6,NO
212,47,0.003620927266107012,NO
213,76,0.003620927266107012,NO
214,47,2.9015911710507015E-9,NO
215,31,1.4363452651859082E-9,NO
216,65,3.000745376955839E-9,NO
217,41,2.0597594444526615E-5,NO
218,34,9.314568450055904E-6,NO
219,45,2.9160653295203477E-9,NO
220,31,3.0090478726184277E-9,NO
221,79,3.9869571157676366E-9,NO
222,101,3.7974641806054435E-9,NO
223,89,2.7123278777087928E-9,NO
224,59,2.5475786916276703E-9,NO
225,177,2.2556854935804195E-8,NO
226,74,7.80901515519217E-7,NO
227,72,4.323281945605664E-7,NO
228,41,6.718999994309152E-9,NO
229,70,1.3796294749401213E-8,NO
230,59,1.3796294749401213E-8,NO
231,58,1.3796294749401213E-8,NO
232,57,3.744785826531197E-9,NO
233,58,1.3796294749401213E-8,NO
234,54,1.3796294749401213E-8,NO
235,86,1.3240000678755807E-7,NO
236,61,2.8109242839039893E-6,NO
237,67,4.399827634078406E-6,NO
238,30,1.4363452651859082E-9,NO
239,39,1.237865200289673E-8,NO
240,123,4.0601804949726564E-5,NO
241,55,7.488481329074026E-9,NO
242,60,1.3838694717811267E-9,NO
243,85,1.3838694717811267E-9,NO
244,92,1.3838694717811267E-9,NO
245,156,1.4037855501122223E-9,NO
246,98,1.3838694717811267E-9,NO
247,131,1.4037855501122223E-9,NO
248,229,2.2434473504898916E-9,YES
