ID,Size,Predicted,Actual
0,78,0.0,NO
1,87,0.0,NO
2,198,0.0,NO
3,175,0.0,NO
4,68,0.0,NO
5,105,1.0,NO
6,58,0.0,NO
7,196,0.0,NO
8,87,1.0,YES
9,132,0.0,YES
10,64,0.0,NO
11,134,0.0,YES
12,432,0.0,NO
13,174,0.0,NO
14,246,0.0,NO
15,107,0.0,NO
16,121,0.0,NO
17,110,0.0,NO
18,58,0.0,NO
19,37,0.0,NO
20,77,0.0,NO
21,142,0.0,NO
22,114,0.0,NO
23,59,0.0,NO
24,64,0.0,NO
25,164,0.0,NO
26,70,0.0,NO
27,32,0.0,NO
28,148,0.0,NO
29,156,0.0,NO
30,119,0.0,NO
31,118,0.0,NO
32,230,1.0,NO
33,156,0.0,NO
34,85,0.0,NO
35,48,0.0,NO
36,263,0.0,YES
37,594,1.0,YES
38,39,0.0,YES
39,39,0.0,NO
40,39,0.0,NO
41,24,0.0,NO
42,62,0.0,NO
43,77,0.0,YES
44,77,0.0,NO
45,54,0.0,NO
46,90,0.0,YES
47,58,0.0,NO
48,24,0.0,NO
49,64,0.0,NO
50,216,0.0,YES
51,36,0.0,NO
52,36,0.0,NO
53,208,1.0,NO
54,74,0.0,NO
55,71,0.0,YES
56,56,0.0,YES
57,44,0.0,YES
58,55,0.0,YES
59,36,1.0,YES
60,43,1.0,YES
61,81,1.0,YES
62,75,1.0,YES
63,81,1.0,YES
64,88,1.0,YES
65,42,1.0,YES
66,82,1.0,NO
67,55,1.0,YES
68,48,1.0,NO
69,72,1.0,NO
70,113,1.0,YES
71,55,1.0,YES
72,35,1.0,YES
73,47,0.0,YES
74,101,0.0,YES
75,109,0.0,NO
76,28,0.0,YES
77,54,0.0,NO
78,158,0.0,YES
79,52,0.0,YES
80,53,0.0,YES
81,81,0.0,YES
82,83,0.0,YES
83,63,0.0,YES
84,48,0.0,NO
85,55,0.0,YES
86,149,0.0,YES
87,263,0.0,YES
88,179,1.0,NO
89,37,0.0,NO
90,25,0.0,NO
91,30,0.0,YES
92,36,0.0,NO
93,30,0.0,NO
94,27,0.0,NO
95,37,0.0,NO
96,33,0.0,NO
97,31,0.0,NO
98,56,0.0,NO
99,101,0.0,NO
100,139,0.0,NO
101,85,0.0,NO
102,95,0.0,NO
103,60,0.0,YES
104,35,0.0,NO
105,26,0.0,NO
106,69,0.0,YES
107,64,1.0,YES
108,39,0.0,YES
109,41,0.0,NO
110,167,0.0,YES
111,66,1.0,YES
112,93,0.0,NO
113,78,0.0,YES
114,134,1.0,YES
115,83,0.0,YES
116,48,0.0,YES
117,85,0.0,NO
118,43,0.0,YES
119,90,0.0,YES
120,202,0.0,NO
121,135,0.0,NO
122,30,0.0,NO
123,29,0.0,NO
124,67,1.0,NO
125,242,0.0,YES
126,64,0.0,YES
127,50,0.0,NO
128,89,0.0,YES
129,40,0.0,NO
130,49,0.0,YES
131,249,0.0,YES
132,40,0.0,YES
133,171,0.0,YES
134,40,0.0,YES
135,32,0.0,YES
136,263,1.0,YES
137,128,0.0,YES
138,126,1.0,YES
139,143,1.0,YES
140,86,0.0,YES
141,69,0.0,YES
142,88,0.0,YES
143,42,0.0,YES
144,32,0.0,YES
145,56,0.0,YES
146,51,0.0,YES
147,81,0.0,YES
148,35,0.0,YES
149,72,0.0,YES
150,46,0.0,YES
151,46,0.0,YES
152,44,0.0,NO
153,29,0.0,NO
154,280,0.0,YES
155,63,0.0,YES
156,101,1.0,YES
157,562,1.0,YES
158,46,0.0,YES
159,31,0.0,YES
160,83,0.0,NO
161,71,0.0,YES
162,83,0.0,YES
163,40,0.0,NO
164,32,0.0,YES
165,57,0.0,YES
166,64,1.0,YES
167,94,1.0,YES
168,45,1.0,YES
169,98,1.0,YES
170,46,0.0,YES
171,46,0.0,YES
172,337,1.0,YES
173,143,0.0,YES
174,81,0.0,YES
175,132,0.0,YES
176,157,1.0,YES
177,76,0.0,YES
178,419,1.0,YES
179,306,0.0,YES
180,48,0.0,YES
181,31,0.0,YES
182,64,1.0,YES
183,105,1.0,YES
184,82,1.0,YES
185,111,0.0,NO
186,43,0.0,YES
187,63,0.0,YES
188,235,0.0,NO
189,75,0.0,NO
190,43,0.0,YES
191,33,0.0,YES
192,66,1.0,YES
193,99,1.0,YES
194,40,0.0,YES
195,160,1.0,YES
196,40,0.0,YES
197,32,0.0,YES
198,86,0.0,NO
199,25,0.0,NO
200,213,0.0,NO
201,98,0.0,NO
202,184,1.0,NO
203,29,0.0,NO
204,29,0.0,NO
205,53,0.0,NO
206,43,0.0,NO
207,207,1.0,NO
208,275,0.0,YES
209,28,0.0,YES
210,37,0.0,YES
211,25,0.0,YES
212,40,0.0,YES
213,87,0.0,NO
214,28,0.0,NO
215,316,1.0,YES
216,47,1.0,NO
217,52,0.0,NO
218,38,0.0,NO
219,52,0.0,NO
220,37,0.0,YES
221,42,0.0,YES
222,57,0.0,YES
223,46,0.0,YES
224,25,0.0,YES
225,113,1.0,NO
226,36,0.0,NO
227,116,0.0,YES
228,187,1.0,NO
229,48,0.0,NO
230,32,0.0,NO
231,34,0.0,NO
232,26,0.0,NO
233,51,0.0,NO
234,31,0.0,NO
235,112,0.0,NO
236,26,0.0,NO
237,30,0.0,NO
238,40,0.0,NO
239,60,1.0,NO
