ID,Size,Predicted,Actual
0,79,0.0026823304338285696,NO
1,87,0.003279257852463029,NO
2,68,0.0032410831978667578,NO
3,58,0.0032410831978667578,NO
4,196,0.003382600270634928,NO
5,132,0.003279257852463029,NO
6,64,0.0032410831978667578,NO
7,134,0.0036746797395544872,NO
8,173,0.003382600270634928,NO
9,246,0.00355723729955583,NO
10,107,0.003279257852463029,NO
11,121,0.003279257852463029,NO
12,110,0.9028798782133702,NO
13,58,0.0032410831978667578,NO
14,37,0.0032410831978667578,NO
15,77,0.9245008551934017,NO
16,142,0.9028798782133702,NO
17,114,0.003279257852463029,NO
18,59,0.0032410831978667578,NO
19,64,0.0032410831978667578,NO
20,164,0.003382600270634928,NO
21,70,0.0032410831978667578,NO
22,32,0.0032410831978667578,NO
23,148,0.003382600270634928,NO
24,156,0.003382600270634928,NO
25,119,0.003279257852463029,NO
26,118,0.003279257852463029,NO
27,156,0.003382600270634928,NO
28,85,0.0032410831978667578,NO
29,48,0.0032410831978667578,YES
30,263,3.222711663852499E-4,NO
31,590,9.463908787965658E-13,YES
32,39,0.004659602591494654,NO
33,39,0.004659602591494654,NO
34,39,0.004659602591494654,NO
35,24,0.0035270556326348463,NO
36,62,0.004902682503422713,NO
37,77,0.004902682503422713,NO
38,77,0.004902682503422713,NO
39,54,0.004659602591494654,NO
40,90,0.005544658253511919,NO
41,58,0.004888020986805473,NO
42,24,0.0035270556326348463,NO
43,64,0.004902682503422713,NO
44,216,9.687507271331246E-4,NO
45,36,0.004659602591494654,NO
46,36,0.004659602591494654,NO
47,202,0.0020732592487283205,NO
48,74,0.004902682503422713,NO
49,71,0.004902682503422713,NO
50,56,0.004659602591494654,NO
51,44,0.004659602591494654,NO
52,55,0.004659602591494654,NO
53,47,0.9999999750277849,NO
54,101,1.0,YES
55,109,1.0,NO
56,28,0.9903983512365576,NO
57,54,0.9983767568087747,YES
58,158,0.9999345089989758,YES
59,52,1.0,YES
60,53,0.9983012326664221,YES
61,81,0.9986263878617815,YES
62,83,0.9986263878617815,YES
63,63,0.9985262370336763,YES
