ID,Size,Predicted,Actual
0,78,0.9977769224878936,YES
1,87,0.9976821145809217,NO
2,68,0.9971033114712736,NO
3,58,3.893871890169724E-65,NO
4,196,7.221727262533148E-6,NO
5,132,0.9999669297701378,NO
6,64,0.9971033114712736,NO
7,173,0.004503773073562205,NO
8,246,2.2563174435770433E-13,NO
9,107,0.994279220081886,NO
10,121,0.9998222550252087,NO
11,110,0.9994310103733849,YES
12,58,0.9963516730044818,NO
13,37,0.9869308874047421,NO
14,142,0.9992320345477238,YES
15,114,0.9865782028182063,NO
16,59,0.9966226917856925,NO
17,64,0.9971033114712736,NO
18,164,0.021153170738262745,NO
19,70,0.997239600698098,NO
20,32,0.9712006553528123,NO
21,148,0.5613707042676488,NO
22,156,0.16226959641990682,NO
23,119,0.9877285859655787,NO
24,118,0.9869628572510641,NO
25,156,0.16226959641990682,NO
26,85,0.9974980822924087,NO
27,48,0.03773736750977091,YES
28,33,0.9712006553528123,NO
29,69,0.9999961032678429,NO
30,77,0.9999968437981639,YES
31,83,0.9999991675405847,YES
32,48,0.9999907983189279,NO
33,85,0.9999965453764451,NO
34,43,0.999987756323147,NO
35,90,0.9999948999384236,NO
36,202,0.0020880866726864645,NO
37,135,0.9997455413842411,NO
38,30,0.999948322423566,NO
39,29,0.999946321049383,NO
40,69,0.9999961032678429,NO
41,52,0.9999926166631944,NO
42,89,0.9999957032331553,NO
43,31,0.9999655751269209,NO
44,233,0.0016296939115375245,YES
45,40,0.9999830360739962,NO
46,164,0.9999998114127141,YES
47,40,0.9999830360739962,NO
48,32,0.999948322423566,NO
49,139,0.9991019664480935,NO
50,131,0.9995979798083038,YES
51,149,0.998809683722222,YES
52,86,0.9995351349669925,NO
53,52,0.9985663986373188,NO
54,88,0.9995351349669925,NO
55,42,0.9977795535836996,NO
56,32,0.993589739863348,NO
57,40,0.9957867120495945,NO
58,51,0.9989369499144071,NO
59,81,0.9994937746991894,NO
60,35,0.993589739863348,NO
61,55,0.999336568099069,NO
62,46,0.9977795535836996,NO
63,46,0.9977795535836996,NO
