ID,Size,Predicted,Actual
0,118,5.908198419292414E-12,NO
1,22,7.217202853065326E-12,NO
2,75,5.908198419292414E-12,NO
3,133,5.908198419292414E-12,NO
4,79,5.908198419292414E-12,NO
5,91,5.908198419292414E-12,NO
6,70,5.908198419292414E-12,NO
7,57,5.908198419292414E-12,NO
8,70,5.908198419292414E-12,NO
9,59,5.908198419292414E-12,NO
10,88,5.908198419292414E-12,NO
11,40,7.217202853065326E-12,NO
12,104,5.908198419292414E-12,NO
13,195,6.514862036394906E-12,NO
14,201,6.514862036394906E-12,NO
15,192,1.7734041994107325E-5,NO
16,97,5.908198419292414E-12,NO
17,101,5.908198419292414E-12,NO
18,98,5.908198419292414E-12,NO
19,187,6.514862036394906E-12,NO
20,149,6.514862036394906E-12,NO
21,151,6.514862036394906E-12,NO
22,196,6.514862036394906E-12,NO
23,90,5.908198419292414E-12,NO
24,115,5.908198419292414E-12,NO
25,62,5.908198419292414E-12,NO
26,61,5.908198419292414E-12,NO
27,142,6.514862036394906E-12,YES
28,47,5.908198419292414E-12,YES
29,85,5.908198419292414E-12,NO
30,65,5.908198419292414E-12,NO
31,106,5.908198419292414E-12,NO
32,85,5.908198419292414E-12,NO
33,88,5.908198419292414E-12,NO
34,144,6.514862036394906E-12,NO
35,81,5.908198419292414E-12,NO
36,80,5.908198419292414E-12,NO
37,69,5.908198419292414E-12,NO
38,89,5.908198419292414E-12,NO
39,67,5.908198419292414E-12,NO
40,88,5.908198419292414E-12,NO
41,40,7.217202853065326E-12,NO
42,92,5.908198419292414E-12,NO
43,95,5.908198419292414E-12,NO
44,49,5.908198419292414E-12,NO
45,102,5.908198419292414E-12,NO
46,94,5.908198419292414E-12,NO
47,72,5.908198419292414E-12,NO
48,69,5.908198419292414E-12,NO
49,86,5.908198419292414E-12,NO
50,221,6.343025827711899E-11,NO
51,131,5.908198419292414E-12,NO
52,166,6.514862036394906E-12,NO
53,116,5.908198419292414E-12,NO
54,155,6.514862036394906E-12,NO
55,67,5.908198419292414E-12,NO
56,88,5.908198419292414E-12,NO
57,40,7.217202853065326E-12,NO
58,57,5.908198419292414E-12,NO
59,39,7.217202853065326E-12,NO
60,98,5.908198419292414E-12,NO
61,106,5.908198419292414E-12,NO
62,101,5.908198419292414E-12,NO
63,94,5.908198419292414E-12,NO
64,76,5.908198419292414E-12,NO
65,116,5.908198419292414E-12,NO
66,56,5.908198419292414E-12,NO
67,48,5.908198419292414E-12,NO
68,82,5.908198419292414E-12,NO
69,45,7.217202853065326E-12,NO
70,45,7.217202853065326E-12,NO
71,30,7.217202853065326E-12,NO
72,77,5.908198419292414E-12,NO
73,302,9.676739527532473E-12,NO
74,86,5.908198419292414E-12,NO
75,198,6.514862036394906E-12,NO
76,175,6.514862036394906E-12,NO
77,86,5.547101353253558E-11,NO
78,68,5.908198419292414E-12,NO
79,105,5.908198419292414E-12,NO
80,194,6.514862036394906E-12,NO
81,106,5.908198419292414E-12,NO
82,97,5.908198419292414E-12,NO
83,69,6.8491413641936515E-12,NO
84,101,5.908198419292414E-12,NO
85,62,5.908198419292414E-12,NO
86,108,5.908198419292414E-12,NO
87,432,5.2202043684993365E-11,NO
88,173,6.514862036394906E-12,NO
89,243,9.676739527532473E-12,YES
90,107,5.908198419292414E-12,NO
91,120,5.908198419292414E-12,NO
92,110,5.908198419292414E-12,NO
93,58,5.908198419292414E-12,NO
94,37,7.217202853065326E-12,NO
95,77,5.908198419292414E-12,NO
96,142,6.514862036394906E-12,NO
97,118,6.8491413641936515E-12,NO
98,80,5.908198419292414E-12,NO
99,59,5.908198419292414E-12,NO
100,69,5.908198419292414E-12,NO
101,95,5.908198419292414E-12,NO
102,97,5.908198419292414E-12,NO
103,95,5.908198419292414E-12,NO
104,71,5.908198419292414E-12,NO
105,114,5.908198419292414E-12,NO
106,109,5.908198419292414E-12,NO
107,116,5.908198419292414E-12,NO
108,88,5.908198419292414E-12,NO
109,63,5.908198419292414E-12,NO
110,79,5.908198419292414E-12,NO
111,105,5.908198419292414E-12,NO
112,70,5.908198419292414E-12,NO
113,32,7.217202853065326E-12,NO
114,148,6.514862036394906E-12,NO
115,156,6.514862036394906E-12,NO
116,119,5.908198419292414E-12,NO
117,116,5.908198419292414E-12,NO
118,73,5.908198419292414E-12,NO
119,92,5.908198419292414E-12,NO
120,125,5.908198419292414E-12,NO
121,202,6.514862036394906E-12,NO
122,181,6.514862036394906E-12,NO
123,153,6.514862036394906E-12,NO
124,98,5.908198419292414E-12,NO
125,88,5.908198419292414E-12,NO
126,144,6.514862036394906E-12,NO
127,112,5.908198419292414E-12,NO
128,261,9.676739527532473E-12,NO
129,629,9.289239148080383E-10,NO
130,39,7.217202853065326E-12,NO
131,39,7.217202853065326E-12,NO
132,37,7.217202853065326E-12,NO
133,39,7.217202853065326E-12,NO
134,24,7.217202853065326E-12,NO
135,67,5.908198419292414E-12,NO
136,77,5.908198419292414E-12,NO
137,77,5.908198419292414E-12,NO
138,54,5.908198419292414E-12,NO
139,95,5.908198419292414E-12,NO
140,58,5.908198419292414E-12,NO
141,24,7.217202853065326E-12,NO
142,64,5.908198419292414E-12,NO
143,216,6.514862036394906E-12,NO
144,36,7.217202853065326E-12,NO
145,36,7.217202853065326E-12,NO
146,208,6.514862036394906E-12,NO
147,64,5.908198419292414E-12,NO
148,39,7.217202853065326E-12,NO
149,47,5.908198419292414E-12,NO
150,74,5.908198419292414E-12,NO
151,71,5.908198419292414E-12,NO
152,175,6.514862036394906E-12,NO
153,44,7.217202853065326E-12,NO
154,175,6.514862036394906E-12,NO
