ID,Size,Predicted,Actual
0,78,0.060564120622881246,NO
1,302,0.060564120622881246,NO
2,87,0.060564120622881246,NO
3,198,0.060564120622881246,NO
4,175,0.060564120622881246,NO
5,65,0.060564120622881246,NO
6,105,0.060564120622881246,NO
7,58,0.060564120622881246,NO
8,196,0.060564120622881246,NO
9,106,0.060564120622881246,NO
10,130,0.060564120622881246,NO
11,64,0.060564120622881246,NO
12,132,0.060564120622881246,NO
13,62,0.060564120622881246,NO
14,108,0.060564120622881246,YES
15,432,0.060564120622881246,NO
16,174,0.060564120622881246,NO
17,246,0.060564120622881246,NO
18,106,0.060564120622881246,YES
19,121,0.060564120622881246,NO
20,110,0.060564120622881246,NO
21,58,0.060564120622881246,NO
22,37,0.060564120622881246,NO
23,77,0.060564120622881246,NO
24,142,0.060564120622881246,NO
25,114,0.060564120622881246,NO
26,80,0.060564120622881246,NO
27,59,0.060564120622881246,NO
28,69,0.060564120622881246,NO
29,95,0.060564120622881246,NO
30,64,0.060564120622881246,NO
31,164,0.060564120622881246,YES
32,70,0.060564120622881246,NO
33,32,0.060564120622881246,NO
34,148,0.060564120622881246,NO
35,156,0.060564120622881246,NO
36,119,0.060564120622881246,NO
37,116,0.060564120622881246,NO
38,93,0.060564120622881246,NO
39,229,0.060564120622881246,YES
40,123,0.060564120622881246,NO
41,201,0.060564120622881246,NO
42,180,0.060564120622881246,NO
43,156,0.060564120622881246,NO
44,98,0.060564120622881246,NO
45,85,0.060564120622881246,YES
46,48,0.060564120622881246,NO
47,145,0.060564120622881246,YES
48,145,0.060564120622881246,NO
49,113,0.060564120622881246,NO
50,260,0.060564120622881246,NO
51,610,0.060564120622881246,YES
52,39,0.060564120622881246,NO
53,39,0.060564120622881246,NO
54,39,0.060564120622881246,NO
55,24,0.060564120622881246,NO
56,62,0.060564120622881246,NO
57,77,0.060564120622881246,NO
58,77,0.060564120622881246,NO
59,54,0.060564120622881246,NO
60,92,0.060564120622881246,NO
61,58,0.060564120622881246,NO
62,24,0.060564120622881246,NO
63,64,0.060564120622881246,NO
64,216,0.060564120622881246,NO
65,36,0.060564120622881246,NO
66,36,0.060564120622881246,NO
67,208,0.060564120622881246,NO
68,39,0.060564120622881246,NO
69,47,0.060564120622881246,NO
70,74,0.060564120622881246,NO
71,71,0.060564120622881246,NO
72,56,0.060564120622881246,YES
73,44,0.060564120622881246,NO
74,55,0.060564120622881246,YES
75,53,0.060564120622881246,NO
76,221,0.060564120622881246,YES
77,44,0.060564120622881246,NO
78,171,0.060564120622881246,NO
79,511,0.060564120622881246,YES
80,122,0.060564120622881246,YES
81,132,0.060564120622881246,YES
82,115,0.060564120622881246,YES
83,201,0.060564120622881246,YES
84,116,0.060564120622881246,NO
85,225,0.060564120622881246,NO
86,42,0.060564120622881246,NO
87,44,0.060564120622881246,NO
88,94,0.060564120622881246,NO
89,136,0.060564120622881246,NO
90,27,0.060564120622881246,NO
91,47,0.060564120622881246,NO
92,60,0.060564120622881246,NO
93,58,0.060564120622881246,NO
94,56,0.060564120622881246,NO
95,205,0.060564120622881246,NO
96,44,0.060564120622881246,YES
97,49,0.060564120622881246,NO
98,30,0.060564120622881246,YES
99,39,0.060564120622881246,YES
100,80,0.060564120622881246,YES
101,29,0.060564120622881246,NO
102,49,0.060564120622881246,NO
103,78,0.060564120622881246,NO
104,45,0.060564120622881246,NO
105,31,0.060564120622881246,NO
106,30,0.060564120622881246,NO
107,36,0.060564120622881246,NO
108,43,0.060564120622881246,NO
109,60,0.060564120622881246,NO
110,85,0.060564120622881246,NO
111,92,0.060564120622881246,NO
112,156,0.060564120622881246,NO
113,98,0.060564120622881246,NO
