ID,Size,Predicted,Actual
0,111,1.0,YES
1,22,0.0,YES
2,75,1.0,NO
3,131,0.0,YES
4,74,1.0,NO
5,84,1.0,NO
6,70,1.0,NO
7,57,0.0,NO
8,70,1.0,NO
9,59,0.0,NO
10,88,1.0,NO
11,40,0.0,NO
12,99,0.0,NO
13,187,0.0,NO
14,196,0.0,NO
15,192,1.0,NO
16,97,1.0,NO
17,98,1.0,NO
18,96,0.0,NO
19,173,1.0,NO
20,141,1.0,NO
21,142,0.0,NO
22,188,0.0,NO
23,90,1.0,NO
24,110,1.0,NO
25,62,0.0,NO
26,61,0.0,NO
27,120,1.0,NO
28,116,1.0,NO
29,58,0.0,NO
30,74,1.0,NO
31,109,0.0,NO
32,49,1.0,NO
33,77,0.0,NO
34,65,0.0,NO
35,74,1.0,NO
36,83,1.0,NO
37,128,0.0,NO
38,72,0.0,NO
39,76,1.0,NO
40,69,1.0,NO
41,83,1.0,NO
42,65,0.0,NO
43,88,1.0,NO
44,40,0.0,NO
45,86,1.0,NO
46,89,1.0,NO
47,49,0.0,NO
48,102,1.0,NO
49,94,0.0,NO
50,72,0.0,NO
51,60,0.0,NO
52,76,1.0,NO
53,92,0.0,NO
54,96,0.0,NO
55,70,1.0,NO
56,86,1.0,NO
57,101,1.0,NO
58,169,0.0,NO
59,115,1.0,NO
60,153,0.0,NO
61,58,0.0,NO
62,47,0.0,NO
63,49,0.0,NO
64,58,0.0,NO
65,70,1.0,NO
66,141,1.0,NO
67,93,0.0,NO
68,273,0.0,NO
69,96,0.0,NO
70,50,0.0,NO
71,241,1.0,NO
72,195,0.0,NO
73,131,0.0,NO
74,170,0.0,YES
75,161,0.0,NO
76,102,1.0,NO
77,150,1.0,NO
78,65,0.0,NO
79,88,1.0,NO
80,40,0.0,NO
81,57,0.0,NO
82,39,0.0,NO
83,85,0.0,NO
84,93,0.0,NO
85,87,0.0,NO
86,81,1.0,NO
87,95,0.0,NO
88,66,1.0,NO
89,94,0.0,NO
90,76,1.0,NO
91,116,1.0,NO
92,56,0.0,NO
93,48,0.0,NO
94,71,1.0,NO
95,45,0.0,NO
96,45,0.0,NO
97,30,0.0,NO
98,74,1.0,NO
99,299,0.0,YES
100,82,1.0,YES
101,197,1.0,NO
102,173,1.0,NO
103,84,1.0,NO
104,75,1.0,YES
105,65,0.0,NO
106,96,0.0,NO
107,193,0.0,NO
108,157,0.0,NO
109,88,1.0,NO
110,67,0.0,NO
111,92,0.0,NO
112,56,0.0,NO
113,101,1.0,YES
114,136,1.0,NO
115,105,1.0,NO
116,377,0.0,NO
117,174,0.0,NO
118,244,1.0,NO
119,101,1.0,YES
120,113,0.0,NO
121,110,1.0,NO
122,58,0.0,NO
123,37,0.0,NO
124,77,0.0,NO
125,142,0.0,NO
126,118,0.0,NO
127,80,0.0,NO
128,59,0.0,NO
129,69,1.0,NO
130,95,0.0,NO
131,97,1.0,NO
132,82,1.0,NO
133,67,0.0,NO
134,110,1.0,NO
135,103,0.0,NO
136,111,1.0,NO
137,82,1.0,NO
138,56,0.0,YES
139,73,0.0,NO
140,100,0.0,NO
141,70,1.0,YES
142,32,0.0,NO
143,148,1.0,NO
144,156,0.0,NO
145,119,0.0,YES
146,116,1.0,NO
147,73,0.0,NO
148,84,1.0,NO
149,122,1.0,NO
150,191,1.0,NO
151,170,0.0,NO
152,153,0.0,NO
153,78,1.0,NO
154,84,1.0,NO
155,140,1.0,NO
156,127,0.0,YES
157,30,0.0,NO
158,80,0.0,NO
159,45,0.0,NO
160,63,1.0,NO
161,141,1.0,NO
162,81,1.0,NO
163,45,0.0,NO
164,63,1.0,NO
165,190,0.0,NO
166,74,1.0,NO
167,47,0.0,NO
168,65,0.0,NO
169,253,1.0,NO
170,32,0.0,NO
171,61,0.0,NO
172,86,1.0,NO
173,93,0.0,NO
174,157,1.0,NO
175,99,0.0,NO
176,132,1.0,NO
177,212,1.0,NO
178,201,1.0,NO
179,62,0.0,NO
180,68,0.0,NO
181,52,0.0,NO
182,50,0.0,NO
183,321,1.0,NO
184,79,1.0,NO
185,42,0.0,NO
186,35,0.0,NO
187,125,1.0,NO
188,65,0.0,NO
189,48,0.0,NO
190,89,1.0,NO
191,314,1.0,NO
192,40,0.0,NO
193,64,0.0,NO
194,58,0.0,NO
195,99,0.0,NO
196,73,0.0,NO
197,72,0.0,NO
198,36,0.0,NO
199,51,0.0,NO
200,36,0.0,NO
201,31,0.0,NO
202,61,0.0,NO
203,74,1.0,NO
204,101,1.0,NO
205,86,1.0,NO
206,106,1.0,NO
207,91,1.0,NO
208,58,0.0,NO
209,106,1.0,NO
210,83,1.0,NO
211,53,0.0,NO
212,88,1.0,NO
213,72,0.0,NO
214,241,1.0,NO
215,106,1.0,NO
216,44,0.0,NO
217,158,1.0,NO
218,51,0.0,NO
219,36,0.0,NO
220,226,0.0,NO
221,64,0.0,NO
222,127,0.0,NO
223,67,0.0,NO
224,104,1.0,NO
225,213,1.0,NO
226,35,0.0,NO
227,105,1.0,NO
228,117,1.0,NO
229,63,1.0,NO
230,117,1.0,NO
231,29,0.0,NO
232,104,1.0,NO
233,38,0.0,NO
234,44,0.0,NO
235,96,0.0,NO
236,42,0.0,NO
237,48,0.0,NO
238,62,0.0,NO
239,42,0.0,NO
240,99,0.0,NO
241,87,0.0,YES
242,99,0.0,YES
243,102,1.0,YES
244,62,0.0,NO
245,134,1.0,YES
246,64,0.0,NO
247,55,0.0,YES
248,69,1.0,NO
249,43,0.0,NO
250,91,1.0,NO
251,42,0.0,NO
252,63,1.0,NO
253,43,0.0,NO
254,80,0.0,NO
255,63,1.0,NO
256,85,0.0,NO
257,141,1.0,YES
258,54,0.0,NO
259,35,0.0,NO
260,47,0.0,NO
261,146,1.0,NO
262,111,1.0,NO
263,28,0.0,NO
264,74,1.0,NO
265,78,1.0,NO
266,48,0.0,NO
267,41,0.0,NO
268,46,0.0,NO
269,166,1.0,NO
270,262,0.0,NO
271,256,1.0,NO
272,28,0.0,NO
273,44,0.0,NO
274,28,0.0,NO
275,33,0.0,NO
276,30,0.0,NO
277,27,0.0,NO
278,37,0.0,NO
279,33,0.0,NO
280,31,0.0,NO
281,56,0.0,NO
282,101,1.0,NO
283,34,0.0,NO
284,133,1.0,NO
285,84,1.0,NO
286,74,1.0,NO
287,95,0.0,NO
288,60,0.0,NO
289,35,0.0,NO
290,26,0.0,NO
291,68,0.0,NO
292,64,0.0,NO
293,39,0.0,NO
294,41,0.0,NO
295,159,0.0,NO
296,66,1.0,NO
297,86,1.0,NO
298,85,0.0,NO
299,117,1.0,NO
300,127,0.0,NO
301,48,0.0,NO
302,101,1.0,NO
303,43,0.0,NO
304,90,1.0,NO
305,239,1.0,NO
306,189,0.0,NO
307,30,0.0,NO
308,29,0.0,NO
309,103,0.0,YES
310,438,0.0,NO
311,156,0.0,NO
312,165,1.0,NO
313,50,0.0,NO
314,89,1.0,NO
315,40,0.0,NO
316,49,0.0,NO
317,271,0.0,NO
318,40,0.0,NO
319,171,1.0,NO
320,40,0.0,NO
321,32,0.0,NO
322,271,0.0,NO
323,55,0.0,NO
324,80,0.0,YES
325,28,0.0,NO
326,44,0.0,NO
327,83,1.0,NO
328,67,0.0,NO
329,36,0.0,NO
330,384,0.0,YES
331,196,0.0,NO
332,312,1.0,NO
333,125,1.0,NO
334,324,1.0,YES
335,112,1.0,NO
336,119,0.0,NO
337,146,1.0,NO
338,86,1.0,NO
339,69,1.0,NO
340,88,1.0,NO
341,42,0.0,NO
342,32,0.0,NO
343,56,0.0,NO
344,102,1.0,NO
345,56,0.0,NO
346,89,1.0,NO
347,40,0.0,NO
348,80,0.0,NO
349,46,0.0,NO
350,46,0.0,NO
351,68,0.0,YES
352,80,0.0,NO
353,66,1.0,NO
354,100,0.0,NO
355,32,0.0,NO
356,31,0.0,NO
357,36,0.0,NO
358,59,0.0,NO
359,44,0.0,NO
360,29,0.0,NO
361,60,0.0,NO
362,129,0.0,NO
363,133,1.0,NO
364,333,0.0,NO
365,36,0.0,NO
366,44,0.0,NO
367,848,0.0,NO
368,26,0.0,NO
369,70,1.0,NO
370,213,1.0,NO
371,192,1.0,NO
372,555,1.0,NO
373,46,0.0,NO
374,31,0.0,NO
375,83,1.0,NO
376,71,1.0,NO
377,83,1.0,NO
378,40,0.0,NO
379,32,0.0,NO
380,57,0.0,NO
381,97,1.0,NO
382,64,0.0,NO
383,94,0.0,NO
384,45,0.0,NO
385,98,1.0,NO
386,46,0.0,NO
387,46,0.0,NO
388,333,0.0,NO
389,143,1.0,NO
390,81,1.0,NO
391,132,1.0,YES
392,159,0.0,NO
393,118,0.0,NO
394,484,1.0,NO
395,303,0.0,NO
396,49,0.0,NO
397,32,0.0,NO
398,103,0.0,YES
399,106,1.0,YES
400,83,1.0,YES
401,111,1.0,NO
402,42,0.0,NO
403,73,0.0,YES
404,235,0.0,YES
405,75,1.0,NO
406,43,0.0,NO
407,33,0.0,NO
408,66,1.0,YES
409,99,0.0,YES
410,40,0.0,NO
411,160,0.0,NO
412,40,0.0,NO
413,32,0.0,NO
414,46,0.0,NO
415,48,0.0,NO
416,58,0.0,NO
417,219,1.0,NO
418,58,0.0,NO
419,514,0.0,NO
420,27,0.0,NO
421,129,0.0,NO
422,40,0.0,NO
423,38,0.0,NO
424,409,1.0,NO
425,219,1.0,YES
426,49,0.0,NO
427,34,0.0,NO
428,35,0.0,NO
429,58,0.0,NO
430,50,0.0,NO
431,26,0.0,NO
432,151,0.0,NO
433,43,0.0,NO
434,29,0.0,NO
435,539,1.0,YES
436,419,1.0,YES
437,135,1.0,NO
438,322,1.0,YES
439,93,0.0,YES
440,53,0.0,YES
441,58,0.0,NO
