ID,Size,Predicted,Actual
0,118,0.49,NO
1,22,0.16286879786879782,NO
2,75,0.025,NO
3,133,0.7,NO
4,79,0.32,NO
5,91,0.31,NO
6,70,0.48566666666666664,NO
7,57,0.5883333333333334,NO
8,70,0.48566666666666664,NO
9,59,0.01,NO
10,88,0.506,NO
11,40,0.01,NO
12,104,0.215,NO
13,195,0.32,NO
14,201,0.25,NO
15,97,0.15374242424242426,NO
16,101,0.21,NO
17,98,0.18,NO
18,187,0.21,NO
19,149,0.6,NO
20,151,0.55,NO
21,196,0.25,NO
22,90,0.5019761904761906,NO
23,115,0.48,NO
24,62,0.0,NO
25,61,0.01,NO
26,142,0.65,YES
27,47,0.794,YES
28,85,0.24,NO
29,65,0.7014722222222223,NO
30,106,0.58,NO
31,85,0.75,NO
32,88,0.43,NO
33,144,0.49,NO
34,81,0.205,NO
35,80,0.99,NO
36,69,0.035,NO
37,89,0.66,NO
38,67,0.0,NO
39,88,0.506,NO
40,40,0.01,NO
41,92,0.61,NO
42,95,0.18033333333333337,NO
43,49,0.05,NO
44,102,0.4,NO
45,94,0.315,NO
46,72,0.0,NO
47,69,0.26,NO
48,86,0.56,NO
49,174,0.62,NO
50,131,0.68,NO
51,166,0.68,NO
52,116,0.53,NO
53,155,0.63,NO
54,67,0.0,NO
55,88,0.506,NO
56,40,0.01,NO
57,57,0.5883333333333334,NO
58,39,0.01,NO
59,98,0.165,NO
60,106,0.205,NO
61,101,0.205,NO
62,94,0.2,NO
63,76,0.5890436507936506,NO
64,116,0.38,NO
65,56,0.13,NO
66,48,0.6398730158730158,NO
67,82,0.3883333333333333,NO
68,45,0.00125,NO
69,45,0.00125,NO
70,30,0.011818181818181818,NO
71,77,0.885,NO
72,302,0.0,NO
73,86,0.63,NO
74,198,0.52508364688362,NO
75,175,0.0,NO
76,68,0.07,NO
77,105,0.38,NO
78,194,0.25,NO
79,106,0.38,NO
80,97,0.14,NO
81,65,0.01,NO
82,101,0.25,NO
83,62,0.09,NO
84,108,0.31,NO
85,432,0.71,NO
86,173,0.33,NO
87,243,0.35,YES
88,107,0.74,NO
89,120,0.674,NO
90,110,0.3275320245315042,NO
91,58,0.05140813911185398,NO
92,37,0.2553766043085366,NO
93,77,0.18199749989621195,NO
94,142,0.0,NO
95,114,0.0,NO
96,80,0.42903720869655876,NO
97,59,0.0,NO
98,69,0.3500107730593624,NO
99,95,0.2512630766734747,NO
100,97,0.2,NO
101,95,0.4,NO
102,71,0.14666666666666664,NO
103,114,0.52,NO
104,109,0.155,NO
105,116,0.53,NO
106,88,0.49,NO
107,63,0.36,NO
108,79,0.36,NO
109,105,0.41,NO
110,70,0.6961137083738308,NO
