ID,Size,Predicted,Actual
0,78,0.82,NO
1,302,0.91,NO
2,87,0.8,NO
3,198,0.88,NO
4,175,0.89,NO
5,65,0.96,NO
6,105,0.88,NO
7,58,0.73,NO
8,196,0.91,NO
9,106,0.96,NO
10,130,0.91,NO
11,64,0.77,NO
12,132,0.88,NO
13,62,0.74,NO
14,108,0.87,YES
15,432,0.98,NO
16,174,0.89,NO
17,246,0.9,NO
18,106,0.88,YES
19,121,0.93,NO
20,110,0.87,NO
21,58,0.73,NO
22,37,0.45,NO
23,77,0.81,NO
24,142,0.9,NO
25,114,0.9,NO
26,80,0.82,NO
27,59,0.73,NO
28,69,0.96,NO
29,95,0.99,NO
30,64,0.77,NO
31,164,0.87,YES
32,70,0.79,NO
33,32,0.21,NO
34,148,0.91,NO
35,156,0.91,NO
36,119,0.91,NO
37,116,0.98,NO
38,93,0.5,NO
39,229,0.89,YES
40,123,0.97,NO
41,201,0.99,NO
42,180,0.99,NO
43,156,0.91,NO
44,98,0.46,NO
45,85,0.79,YES
46,48,0.71,NO
47,145,0.87,YES
48,145,1.0,NO
49,113,0.55,NO
50,260,0.89,NO
51,610,0.88,YES
52,39,0.75,NO
53,39,0.17,NO
54,39,0.17,NO
55,24,0.13649999999999998,NO
56,62,0.19,NO
57,77,0.88,NO
58,77,0.36,NO
59,54,0.19,NO
60,92,0.86,NO
61,58,0.18,NO
62,24,0.13649999999999998,NO
63,64,0.16,NO
64,216,0.75,NO
65,36,0.15,NO
66,36,0.15,NO
67,208,0.27,NO
68,39,0.79,NO
69,47,0.9,NO
70,74,0.25,NO
71,71,0.95,NO
72,56,0.9,YES
73,44,0.82,NO
74,55,0.91,YES
75,53,0.87,NO
76,187,0.93,YES
77,44,0.77,NO
78,171,0.55,NO
79,493,0.37,YES
80,122,0.6,YES
81,132,0.91,YES
82,115,0.68,YES
83,201,0.96,YES
84,116,0.94,NO
85,225,0.82,NO
86,42,0.27,NO
87,44,0.36,NO
88,136,0.59,NO
89,27,0.44,NO
90,47,0.56,NO
91,60,0.35,NO
92,58,0.86,NO
93,56,0.33,NO
94,205,0.99,NO
95,44,0.82,YES
96,49,0.74,NO
97,30,0.48,YES
98,39,0.7,YES
99,80,0.95,YES
100,29,0.36,NO
101,49,0.26,NO
102,78,0.64,NO
103,45,0.24,NO
104,31,0.33,NO
105,30,0.46,NO
106,36,0.36,NO
107,43,0.81,NO
108,60,0.89,NO
109,85,0.76,NO
110,92,0.18,NO
111,156,1.0,NO
112,98,0.91,NO
113,131,0.96,NO
114,194,0.97,NO
115,201,0.97,NO
116,69,0.95,NO
117,68,0.91,NO
118,52,0.85,NO
119,50,0.86,NO
120,202,0.97,NO
121,73,0.48,NO
122,42,0.09,NO
123,35,0.05,NO
124,125,0.67,NO
125,65,0.11,NO
126,48,0.1,NO
127,89,0.18,NO
128,153,0.58,NO
129,40,0.04,NO
130,64,0.92,NO
131,99,0.9,NO
132,73,0.88,NO
133,72,0.89,NO
134,51,0.93,NO
135,36,0.62,NO
136,31,0.68,NO
137,61,0.95,NO
138,74,0.88,NO
139,101,0.97,NO
140,86,0.92,NO
141,106,0.91,NO
142,91,0.9,NO
143,58,0.93,NO
144,106,0.91,NO
145,143,0.88,NO
146,52,0.94,NO
147,88,0.92,NO
148,66,0.97,NO
149,44,0.85,NO
150,158,0.97,NO
151,51,0.82,NO
152,36,0.61,NO
153,63,0.85,NO
154,36,0.64,NO
155,43,0.81,NO
156,81,0.81,NO
157,75,0.83,NO
158,81,0.81,NO
159,88,0.88,NO
160,42,0.83,NO
161,82,0.72,NO
162,55,0.96,NO
163,48,0.01,NO
164,72,0.08800000000000001,NO
165,113,0.9,NO
166,55,0.78,NO
167,35,0.4,NO
168,47,0.93,NO
169,101,0.84,NO
170,109,0.38,NO
171,28,0.45,NO
172,54,0.0,NO
173,158,0.87,NO
174,52,0.93,NO
175,53,0.94,NO
176,81,0.82,NO
177,83,0.79,NO
178,63,0.92,NO
179,48,0.05,NO
180,55,0.95,NO
181,149,0.89,NO
182,263,0.86,NO
183,179,0.6436666666666666,NO
184,37,0.48,NO
185,25,0.7783333333333333,NO
186,30,0.5,NO
187,36,0.78,NO
188,30,0.06988095238095238,NO
189,27,0.352547619047619,NO
190,37,0.48,NO
191,33,0.0,NO
192,31,0.0,NO
193,56,0.01,NO
194,101,0.12,NO
195,139,0.774,NO
196,85,0.59,NO
197,95,0.026000000000000002,NO
198,60,0.9,NO
199,35,0.03,NO
200,26,0.46504761904761893,NO
201,69,0.9,NO
202,64,0.78,NO
203,39,0.8,NO
204,41,0.6166666666666667,NO
205,167,0.83,NO
206,66,0.8,NO
207,93,0.64,NO
208,77,0.32,YES
209,123,0.8,YES
210,90,0.88,NO
211,48,0.81,NO
212,85,0.15,NO
213,43,0.7,NO
214,90,0.77,NO
215,202,0.01,NO
216,135,0.5048333333333335,YES
217,30,0.002,NO
218,29,0.0,NO
219,67,0.43,NO
220,242,0.68,NO
221,72,0.74,NO
222,50,0.03,NO
223,89,0.76,NO
224,40,0.66,NO
225,49,0.79,NO
226,249,0.85,NO
227,40,0.57,NO
228,171,0.56,NO
229,40,0.61,NO
230,32,0.38,NO
231,273,0.95,NO
232,55,0.55,NO
233,80,0.93,NO
234,28,0.91,NO
235,44,0.94,NO
236,83,0.84,NO
237,67,0.96,NO
238,36,0.86,NO
239,384,0.99,YES
240,196,0.96,NO
241,312,0.97,NO
242,120,0.95,NO
243,315,0.93,YES
244,112,0.86,NO
245,119,0.45,NO
246,146,0.61,NO
247,86,0.78,NO
248,69,0.74,NO
249,88,0.77,NO
250,42,0.66,NO
251,32,0.35,NO
252,56,0.77,NO
253,56,0.73,NO
254,89,0.64,NO
255,40,0.77,NO
256,80,0.64,NO
257,46,0.74,NO
258,46,0.74,NO
259,68,0.04,NO
260,80,0.41,NO
261,66,0.0275,NO
262,100,0.47,NO
263,32,0.1,YES
264,31,0.03702380952380953,NO
265,36,0.0,NO
266,59,0.0,NO
267,44,0.19194047619047622,NO
268,29,0.0,NO
269,280,0.7,NO
