ID,Size,Predicted,Actual
0,111,0.13302987560848487,YES
1,22,0.007676574398750149,YES
2,75,0.1964708695963369,NO
3,131,0.0,YES
4,74,0.09455324794843216,NO
5,84,0.17901617934100655,NO
6,70,0.194260785197777,NO
7,57,0.05726900461718272,NO
8,70,0.194260785197777,NO
9,59,0.0,NO
10,88,0.13355452826602307,NO
11,40,0.01656533036269879,NO
12,99,0.036380375878761875,NO
13,187,0.0,NO
14,196,0.0,NO
15,192,0.6940103785103786,NO
16,97,0.1137195683564666,NO
17,98,0.12240146956798564,NO
18,96,0.016480172194939195,NO
19,173,0.13285559158165838,NO
20,141,1.0,NO
21,142,0.07365262565985438,NO
22,188,0.0,NO
23,90,0.1065993375574196,NO
24,110,0.10765818115995784,NO
25,62,0.012685100369746068,NO
26,61,0.049056395734552886,NO
27,120,0.22246263510000205,NO
28,116,0.16027423821931755,NO
29,58,0.031127782818313614,NO
30,74,0.09455324794843216,NO
31,109,0.01,NO
32,49,0.12,NO
33,77,0.06258260526663523,NO
34,65,0.07544192472610069,NO
35,74,0.09455324794843216,NO
36,83,0.0981110693599254,NO
37,128,0.0,NO
38,72,0.03824120979589313,NO
39,76,0.19959137732267218,NO
40,69,0.09565040685037483,NO
41,83,0.0981110693599254,NO
42,65,0.07544192472610069,NO
43,88,0.13355452826602307,NO
44,40,0.01656533036269879,NO
45,86,0.1242026935723826,NO
46,89,0.11962041056995831,NO
47,49,0.08258942133481166,NO
48,102,0.20147565973188597,NO
49,94,0.04739027452545407,NO
50,72,0.03824120979589313,NO
51,60,0.07061855085807565,NO
52,76,0.19959137732267218,NO
53,92,0.03391704184714302,NO
54,96,0.016480172194939195,NO
55,70,0.194260785197777,NO
56,86,0.1242026935723826,NO
57,101,0.20702415821131412,NO
58,169,0.003214285714285714,NO
59,115,0.1412649256841304,NO
60,153,0.07292046174156235,NO
61,58,0.031127782818313614,NO
62,47,0.08879291779296837,NO
63,49,0.08258942133481166,NO
64,58,0.031127782818313614,NO
65,70,0.194260785197777,NO
66,141,1.0,NO
67,93,0.0,NO
68,273,0.0,NO
69,96,0.016480172194939195,NO
70,50,0.08115549113923225,NO
71,241,0.7279937146187145,NO
72,195,0.0,NO
73,131,0.0,NO
74,170,0.005642857142857143,YES
75,161,0.0,NO
76,102,0.20147565973188597,NO
77,150,0.6508863636363635,NO
78,65,0.07544192472610069,NO
79,88,0.13355452826602307,NO
80,40,0.01656533036269879,NO
81,57,0.05726900461718272,NO
82,39,0.04758454881955152,NO
83,85,0.02313768762583442,NO
84,93,0.0,NO
85,87,0.07424329498840715,NO
86,81,0.19342220883410696,NO
87,95,0.05606000874527527,NO
88,66,0.12952140615304353,NO
89,94,0.04739027452545407,NO
90,76,0.19959137732267218,NO
91,116,0.16027423821931755,NO
92,56,0.05856151884366098,NO
93,48,0.054334879951787284,NO
94,71,0.1454511739700013,NO
95,45,0.020012694078286045,NO
96,45,0.020012694078286045,NO
97,30,0.0197963002076685,NO
98,74,0.09455324794843216,NO
99,299,0.0,YES
100,82,0.2630030922740839,YES
101,197,0.22048596905330653,NO
102,173,0.13285559158165838,NO
103,84,0.17901617934100655,NO
104,75,0.1964708695963369,YES
105,65,0.07544192472610069,NO
106,96,0.016480172194939195,NO
107,193,0.0025,NO
108,157,0.07,NO
109,88,0.13355452826602307,NO
110,67,0.04815507381412947,NO
111,92,0.03391704184714302,NO
112,56,0.05856151884366098,NO
113,101,0.20702415821131412,YES
114,136,0.15269971694971698,NO
115,105,0.18764058222321112,NO
116,377,0.0,NO
117,174,0.0,NO
118,244,0.10770218670218669,NO
119,101,0.20702415821131412,YES
120,113,0.08178497230773019,NO
121,110,0.10765818115995784,NO
122,58,0.031127782818313614,NO
123,37,0.04532740824782866,NO
124,77,0.06258260526663523,NO
125,142,0.07365262565985438,NO
126,118,0.03750974101765731,NO
127,80,0.08528422224860355,NO
128,59,0.0,NO
129,69,0.09565040685037483,NO
130,95,0.05606000874527527,NO
131,97,0.1137195683564666,NO
132,82,0.2630030922740839,NO
133,67,0.04815507381412947,NO
134,110,0.10765818115995784,NO
135,103,0.0,NO
136,111,0.13302987560848487,NO
137,82,0.2630030922740839,NO
138,56,0.05856151884366098,YES
139,73,0.033820281279600406,NO
140,100,0.0,NO
141,70,0.194260785197777,YES
142,32,0.07654994039492062,NO
143,148,0.21893595030999116,NO
144,156,0.0,NO
145,119,0.08066842402048259,YES
146,116,0.16027423821931755,NO
147,73,0.033820281279600406,NO
148,84,0.17901617934100655,NO
149,122,0.42249929031237093,NO
150,191,0.6708373015873016,NO
151,170,0.005642857142857143,NO
152,153,0.07292046174156235,NO
153,78,0.15948782111760484,NO
154,84,0.17901617934100655,NO
155,140,0.19303344675657577,NO
156,127,0.0,YES
157,30,0.0197963002076685,NO
158,80,0.08528422224860355,NO
159,45,0.020012694078286045,NO
160,63,0.09967633917965486,NO
161,141,1.0,NO
162,81,0.19342220883410696,NO
163,45,0.020012694078286045,NO
164,63,0.09967633917965486,NO
165,190,0.00857142857142857,NO
166,74,0.09455324794843216,NO
167,47,0.08879291779296837,NO
168,65,0.07544192472610069,NO
169,253,0.18611362085626793,NO
170,32,0.07654994039492062,NO
171,61,0.049056395734552886,NO
172,86,0.1242026935723826,NO
173,93,0.0,NO
174,157,0.22174841635272052,NO
175,99,0.036380375878761875,NO
176,132,0.18560344499550815,NO
177,212,0.09676717954388231,NO
178,201,0.2508243861982826,NO
179,62,0.012685100369746068,NO
180,68,0.06222423038395762,NO
181,52,0.05202874856005573,NO
182,50,0.08115549113923225,NO
183,321,0.16,NO
184,79,0.10352344063546925,NO
185,42,0.02265844263551665,NO
186,35,0.044786034202512884,NO
187,125,0.1448942827185385,NO
188,65,0.07544192472610069,NO
189,48,0.054334879951787284,NO
190,89,0.11962041056995831,NO
191,314,0.8678780108780109,NO
192,40,0.01656533036269879,NO
193,64,0.05427836563053357,NO
194,58,0.031127782818313614,NO
195,99,0.036380375878761875,NO
196,73,0.033820281279600406,NO
197,72,0.03824120979589313,NO
198,36,0.049542737774127356,NO
199,51,0.0571266840048284,NO
200,36,0.049542737774127356,NO
201,31,0.013649827795464812,NO
202,61,0.049056395734552886,NO
203,74,0.09455324794843216,NO
204,101,0.20702415821131412,NO
205,86,0.1242026935723826,NO
206,106,0.12112536473259558,NO
207,91,0.20111264897702885,NO
208,58,0.031127782818313614,NO
209,106,0.12112536473259558,NO
210,83,0.0981110693599254,NO
211,53,0.02814551375454205,NO
212,88,0.13355452826602307,NO
213,72,0.03824120979589313,NO
214,241,0.7279937146187145,NO
215,106,0.12112536473259558,NO
216,44,0.022095686340874603,NO
217,158,0.10570503756269996,NO
218,51,0.0571266840048284,NO
219,36,0.049542737774127356,NO
220,226,0.0,NO
221,64,0.05427836563053357,NO
222,127,0.0,NO
223,67,0.04815507381412947,NO
224,104,0.20102459680692616,NO
225,213,0.22875449630477807,NO
226,35,0.044786034202512884,NO
