ID,Size,Predicted,Actual
0,120,0.03375,NO
1,22,0.0,NO
2,75,0.04666792929292929,NO
3,135,0.5007946191235666,NO
4,79,0.01,NO
5,91,0.0,NO
6,70,0.5623571428571429,NO
7,57,0.7267377622377621,NO
8,70,0.5623571428571429,NO
9,59,0.02666849816849817,NO
10,88,0.02,NO
11,40,0.3096854874700463,NO
12,104,0.7247514985014986,NO
13,196,0.9590000000000001,NO
14,202,0.6775,NO
15,97,0.0,NO
16,99,0.0,NO
17,96,0.017777777777777778,NO
18,189,0.8014032356532357,NO
19,151,0.10180952380952382,NO
20,153,0.024285714285714285,NO
21,199,0.89,NO
22,90,0.03,NO
23,115,0.8675957098457099,NO
24,62,0.026692307692307696,NO
25,61,0.0,NO
26,91,0.0,NO
27,81,0.9172524852598383,NO
28,91,0.0,NO
29,67,0.0,NO
30,88,0.02,NO
31,85,0.1253846153846154,NO
32,49,0.0,NO
33,102,0.07971356421356421,NO
34,94,0.5442950937950939,NO
35,72,9.230769230769232E-4,NO
36,70,0.5623571428571429,NO
37,87,0.023333333333333338,NO
38,166,0.34,NO
39,116,0.8528229825729826,NO
40,155,0.0,NO
41,67,0.0,NO
42,88,0.02,NO
43,40,0.3096854874700463,NO
44,57,0.7267377622377621,NO
45,39,0.3539065053447938,NO
46,98,0.0,NO
47,106,0.1025674603174603,NO
48,101,0.044642857142857144,NO
49,94,0.5442950937950939,NO
50,76,0.7558795268915238,NO
51,116,0.8528229825729826,NO
52,56,0.038452380952380946,NO
53,48,0.0,NO
54,82,0.2104253246753247,NO
55,45,0.6984870799135506,NO
56,45,0.6984870799135506,NO
57,30,0.34143586753670796,NO
58,78,0.10234961675614111,NO
59,302,0.0,NO
60,87,0.27116519236116793,NO
61,198,0.7102941644828147,NO
62,175,0.0,NO
63,65,0.26518472370958324,NO
64,105,0.42580528116391964,NO
65,58,0.08471140444879663,NO
66,196,0.0,NO
67,106,0.0,NO
68,130,0.16159811084856918,NO
69,64,0.12181279681209743,NO
70,132,0.5680515184962066,NO
71,62,0.0,NO
72,108,0.7459256825777919,YES
73,432,0.14,NO
74,174,0.0,NO
75,246,0.0,YES
76,106,0.0,YES
77,121,0.48034355901211795,NO
78,110,0.22596402796659432,NO
79,58,0.08471140444879663,NO
80,37,0.3658313573047567,NO
81,77,0.14266707620606542,NO
82,142,0.0,NO
83,114,0.0,NO
84,80,0.40281820981017874,NO
85,59,0.0,NO
86,69,0.3933250369264616,NO
87,95,0.2773583687648737,NO
88,64,0.12181279681209743,NO
89,164,0.8418739209538828,YES
90,70,0.6569096362886502,NO
91,32,0.22101567078047055,NO
92,148,0.26688756109731343,NO
93,156,0.0,NO
94,119,0.3838519052082539,NO
95,116,0.4522599537313276,NO
96,93,0.0,NO
97,256,1.0,YES
98,123,0.7341543157994397,NO
99,201,0.6181334548613185,NO
100,180,0.0,NO
101,156,0.0,NO
102,98,0.3887291981747118,NO
103,86,0.6010388206311386,YES
104,48,0.20479590226996225,NO
105,143,0.6577263252576284,YES
106,145,0.7643808450306431,NO
107,113,0.36643783178898437,NO
108,260,0.0,NO
109,618,1.0,YES
110,39,0.2905808064905777,NO
111,39,0.2905808064905777,NO
112,39,0.2905808064905777,NO
113,24,0.0,NO
114,62,0.0,NO
115,77,0.14266707620606542,NO
116,77,0.14266707620606542,NO
117,54,0.09567040611524082,NO
118,92,0.16064387614097506,NO
119,58,0.08471140444879663,NO
120,24,0.0,NO
121,64,0.12181279681209743,NO
122,216,0.0,NO
123,36,0.26000333714249946,NO
124,36,0.26000333714249946,NO
125,208,0.0,NO
126,64,0.12181279681209743,YES
127,39,0.2905808064905777,NO
128,47,0.30733160532044,NO
129,74,0.3521029385866095,NO
130,71,0.5103006096691032,NO
131,123,0.7341543157994397,YES
132,44,0.12091521968586492,NO
133,122,0.8338019936295157,YES
134,53,0.08855131254761017,NO
135,239,0.49510656581980106,YES
136,44,0.12091521968586492,NO
137,171,0.4357337397510929,NO
138,523,0.0,YES
139,132,0.5680515184962066,YES
140,178,0.5271765477814239,YES
141,130,0.16159811084856918,YES
142,460,1.0,YES
143,71,0.5103006096691032,YES
144,447,0.69,YES
145,225,0.0,NO
146,42,0.07522527701546601,NO
147,44,0.12091521968586492,NO
148,94,0.42652874833908766,NO
149,136,0.5386916139416139,NO
150,27,0.0,NO
151,47,0.30733160532044,NO
152,60,0.09014069774203075,NO
153,58,0.08471140444879663,NO
154,56,0.3332023842162119,NO
155,198,0.64,NO
156,54,0.09567040611524082,YES
157,49,0.10101004749895007,YES
158,32,0.22101567078047055,YES
159,43,0.37126302447161125,YES
160,111,0.22153335907037267,YES
161,29,0.05905785952716707,YES
162,49,0.10101004749895007,YES
163,78,0.10234961675614111,YES
164,45,0.1330058118678888,NO
165,31,0.08740862122381435,NO
166,30,0.09463679134257202,NO
167,36,0.26000333714249946,YES
168,43,0.37126302447161125,YES
169,47,0.30733160532044,YES
170,35,0.15111929145593042,YES
171,62,0.0,YES
172,64,0.12181279681209743,YES
173,30,0.09463679134257202,YES
174,154,0.1665789852089152,YES
175,53,0.08855131254761017,YES
176,45,0.1330058118678888,YES
177,68,0.07880490541057789,YES
178,68,0.07880490541057789,YES
179,60,0.09014069774203075,YES
180,60,0.09014069774203075,NO
181,85,0.1553261711565952,NO
182,92,0.16064387614097506,NO
183,156,0.0,NO
184,98,0.3887291981747118,NO
185,131,0.0,NO
186,194,0.0,YES
187,201,0.6181334548613185,YES
188,69,0.3933250369264616,YES
189,68,0.07880490541057789,NO
190,52,0.0,NO
191,50,0.36172211935471094,NO
192,202,0.0,NO
193,73,0.0,NO
194,42,0.07522527701546601,NO
195,35,0.15111929145593042,NO
196,125,0.44965378423380714,NO
197,65,0.26518472370958324,NO
198,48,0.20479590226996225,NO
199,89,0.4235018954164296,NO
200,153,0.27420865999128463,NO
201,40,0.11379027804471274,NO
202,64,0.12181279681209743,NO
203,99,0.2830458746862536,NO
204,73,0.0,NO
205,72,0.1714414881064424,NO
206,51,0.13376360738505086,NO
207,36,0.26000333714249946,NO
208,31,0.08740862122381435,NO
209,61,0.1559786571078089,NO
210,74,0.3521029385866095,NO
211,101,0.0,NO
212,86,0.6010388206311386,NO
213,106,0.0,NO
214,91,0.6858080938669588,NO
215,58,0.08471140444879663,NO
216,106,0.0,NO
217,143,0.6577263252576284,NO
218,52,0.0,NO
219,88,0.2907896513535358,NO
220,66,0.587521263416288,NO
221,44,0.12091521968586492,NO
222,158,0.3741870423704186,NO
223,51,0.13376360738505086,NO
224,36,0.26000333714249946,NO
225,63,0.3051944870274201,NO
226,110,0.22596402796659432,YES
227,29,0.05905785952716707,YES
228,104,0.8258392699583738,YES
229,38,0.08358695820703996,YES
230,44,0.12091521968586492,YES
231,96,0.0,YES
232,42,0.07522527701546601,YES
233,48,0.20479590226996225,YES
234,36,0.26000333714249946,NO
235,43,0.37126302447161125,NO
236,81,0.45944656389735394,YES
237,75,0.3491195593583488,YES
238,81,0.45944656389735394,YES
239,88,0.2907896513535358,YES
240,42,0.07522527701546601,NO
241,82,0.32267417919061414,NO
242,55,0.2336120589413852,NO
243,48,0.20479590226996225,NO
244,72,0.1714414881064424,NO
245,113,0.36643783178898437,NO
246,55,0.2336120589413852,NO
247,35,0.15111929145593042,NO
248,47,0.30733160532044,NO
249,101,0.0,YES
250,109,0.4883787255585625,NO
251,28,0.15479071400610173,NO
252,54,0.09567040611524082,NO
253,158,0.3741870423704186,NO
254,52,0.0,NO
255,53,0.08855131254761017,NO
256,81,0.45944656389735394,NO
257,83,0.3066603163254895,YES
258,63,0.3051944870274201,YES
259,48,0.20479590226996225,NO
260,55,0.2336120589413852,NO
261,149,0.0,NO
262,263,0.33185406389276356,NO
263,179,0.4363859328236265,NO
264,37,0.3658313573047567,NO
265,25,0.07121026342662407,NO
266,30,0.09463679134257202,NO
267,36,0.26000333714249946,NO
268,30,0.09463679134257202,NO
269,27,0.0,NO
270,37,0.3658313573047567,NO
271,33,0.15963143527049448,NO
272,31,0.08740862122381435,NO
273,56,0.3332023842162119,NO
274,101,0.0,NO
275,139,0.3755637733470369,NO
276,85,0.1553261711565952,NO
277,95,0.2773583687648737,NO
278,60,0.09014069774203075,NO
279,35,0.15111929145593042,NO
280,26,0.032238634207967756,NO
281,69,0.3933250369264616,NO
282,64,0.12181279681209743,NO
283,39,0.2905808064905777,NO
284,41,0.2259733106775516,NO
285,167,0.7813572878378706,NO
286,66,0.587521263416288,NO
287,93,0.0,NO
288,86,0.6010388206311386,YES
289,117,0.8078682395021186,YES
290,90,0.5770554806390721,NO
291,48,0.20479590226996225,NO
292,85,0.1553261711565952,NO
293,43,0.37126302447161125,NO
294,90,0.5770554806390721,NO
295,202,0.0,NO
296,141,0.98,YES
297,30,0.09463679134257202,NO
298,29,0.05905785952716707,NO
299,67,0.0,YES
300,242,0.4529528829484779,NO
301,72,0.1714414881064424,NO
302,50,0.36172211935471094,NO
303,89,0.4235018954164296,NO
304,40,0.11379027804471274,NO
305,49,0.10101004749895007,NO
306,249,0.0,YES
307,40,0.11379027804471274,NO
308,171,0.4357337397510929,NO
309,40,0.11379027804471274,NO
310,32,0.22101567078047055,NO
311,271,0.0,NO
312,55,0.2336120589413852,NO
313,80,0.40281820981017874,NO
314,28,0.15479071400610173,NO
315,44,0.12091521968586492,NO
316,83,0.3066603163254895,NO
317,67,0.0,NO
318,36,0.26000333714249946,NO
319,384,0.0,YES
320,196,0.0,NO
321,312,0.8893839771339772,NO
322,120,0.18737788896316282,YES
323,315,0.01,YES
324,112,0.6200073674313878,NO
325,119,0.3838519052082539,NO
326,146,0.5631240981240979,NO
327,86,0.6010388206311386,NO
328,69,0.3933250369264616,NO
329,88,0.2907896513535358,NO
330,42,0.07522527701546601,NO
331,32,0.22101567078047055,NO
332,56,0.3332023842162119,NO
333,102,0.5679898496660983,YES
334,56,0.3332023842162119,NO
335,89,0.4235018954164296,NO
336,40,0.11379027804471274,NO
337,80,0.40281820981017874,NO
338,46,0.36198981996760426,NO
339,46,0.36198981996760426,NO
340,68,0.07880490541057789,NO
341,80,0.40281820981017874,NO
342,66,0.587521263416288,NO
343,100,0.0,NO
344,32,0.22101567078047055,YES
345,31,0.08740862122381435,NO
346,36,0.26000333714249946,NO
347,59,0.0,NO
348,44,0.12091521968586492,NO
349,29,0.05905785952716707,NO
350,280,0.8281962473800709,NO
351,67,0.0,NO
352,60,0.09014069774203075,NO
353,46,0.36198981996760426,NO
354,133,0.6186507198261572,NO
355,333,0.08358358308358309,NO
356,36,0.26000333714249946,NO
357,44,0.12091521968586492,NO
358,823,1.0,YES
359,26,0.032238634207967756,NO
360,70,0.6569096362886502,NO
361,213,0.7076176625925925,NO
362,192,1.0,YES
363,562,0.02,YES
364,46,0.36198981996760426,NO
365,31,0.08740862122381435,NO
366,83,0.3066603163254895,NO
367,71,0.5103006096691032,NO
368,83,0.3066603163254895,NO
369,40,0.11379027804471274,NO
370,32,0.22101567078047055,NO
371,57,0.24366313217641797,NO
372,97,0.274132846990342,YES
373,64,0.12181279681209743,NO
374,94,0.42652874833908766,NO
375,45,0.1330058118678888,NO
376,98,0.3887291981747118,NO
377,46,0.36198981996760426,NO
378,46,0.36198981996760426,NO
379,337,1.0,YES
380,143,0.6577263252576284,NO
381,81,0.45944656389735394,YES
382,132,0.5680515184962066,NO
383,162,0.01,NO
384,85,0.1553261711565952,NO
385,454,1.0,YES
386,316,1.0,YES
387,49,0.10101004749895007,NO
388,32,0.22101567078047055,NO
