ID,Size,Predicted,Actual
0,79,0.02,NO
1,87,0.0,NO
2,68,0.0,NO
3,58,0.0,NO
4,196,0.4811666666666667,NO
5,132,0.0,NO
6,64,0.0,NO
7,134,0.0,NO
8,173,0.0,NO
9,246,0.67,NO
10,107,0.0,NO
11,121,0.0,NO
12,110,0.68,NO
13,58,0.0,NO
14,37,0.0,NO
15,77,0.86,NO
16,142,0.64,NO
17,114,0.0,NO
18,59,0.0,NO
19,64,0.0,NO
20,164,0.0,NO
21,70,0.0,NO
22,32,0.0,NO
23,148,0.0,NO
24,156,0.0,NO
25,119,0.0,NO
26,118,0.0,NO
27,156,0.0,NO
28,85,0.0,NO
29,48,0.0,YES
30,263,0.55,NO
31,590,0.19,YES
32,39,0.04588095238095239,NO
33,39,0.04588095238095239,NO
34,39,0.04588095238095239,NO
35,24,0.01,NO
36,62,0.02,NO
37,77,0.07,NO
38,77,0.07,NO
39,54,0.02,NO
40,90,0.03,NO
41,58,0.02,NO
42,24,0.01,NO
43,64,0.02,NO
44,216,0.17,NO
45,36,0.02,NO
46,36,0.02,NO
47,202,0.23833333333333337,NO
48,74,0.05,NO
49,71,0.02,NO
50,56,0.02,NO
51,44,0.05,NO
52,55,0.02,NO
53,47,0.42,NO
54,101,0.92,YES
55,109,0.3,NO
56,28,0.37,NO
57,54,0.09,YES
58,158,0.92,YES
59,52,0.94,YES
60,53,0.11,YES
61,81,0.43,YES
62,83,0.43,YES
63,63,0.29,YES
64,48,0.11,YES
65,55,0.09,YES
66,149,0.9,YES
67,263,0.97,YES
68,179,1.0,YES
69,37,0.12,YES
70,25,0.14,YES
71,30,0.13,YES
72,36,0.9,YES
73,30,0.13,YES
74,27,0.14,YES
75,37,0.12,YES
76,33,0.13,YES
77,31,0.13,YES
78,56,0.12,YES
79,101,0.62,YES
80,139,0.97,YES
81,85,0.84,YES
82,95,0.62,YES
83,60,0.27,YES
84,35,0.13,YES
85,26,0.14,YES
86,69,0.33,YES
87,64,0.29,YES
88,39,0.12,YES
89,41,0.12,YES
90,167,0.92,YES
91,66,0.29,YES
92,93,1.0,YES
93,76,0.0,NO
94,77,0.8,NO
95,83,0.69,NO
96,48,0.0,NO
97,85,0.0,NO
98,43,0.0,NO
99,90,0.0,NO
100,202,0.19466666666666665,NO
101,135,0.0,NO
102,30,0.0,NO
103,29,0.0,NO
104,69,0.0,YES
105,242,0.15,NO
106,64,0.22,NO
107,50,0.06,YES
108,89,0.0,NO
109,40,0.07,YES
110,49,0.0,NO
111,249,0.72,YES
112,40,0.0,NO
113,171,0.88,NO
114,40,0.0,NO
115,32,0.0,NO
116,139,0.0,YES
117,131,0.79,YES
118,149,0.85,YES
119,86,0.01,NO
120,69,0.0,NO
121,88,0.0,NO
122,42,0.0,NO
123,32,0.0,NO
124,56,0.04,NO
125,51,0.0,NO
126,81,0.0,NO
127,35,0.0,NO
128,72,0.0,NO
129,46,0.0,NO
130,46,0.0,NO
131,44,0.0,NO
132,29,0.0,NO
133,280,0.14,NO
134,63,0.47,NO
135,334,0.99,YES
136,46,0.0,NO
137,31,0.0,NO
138,83,0.0,NO
139,71,0.0,NO
140,83,0.0,NO
141,40,0.0,NO
142,32,0.0,NO
143,57,0.0,NO
144,50,0.0,YES
145,81,0.0,YES
146,35,0.0,YES
147,71,0.0,YES
148,46,0.0,NO
149,46,0.0,NO
150,289,0.09,YES
151,143,0.0,NO
152,81,0.0,NO
153,132,0.0,NO
154,146,0.0,YES
155,76,0.0,YES
156,420,0.06,YES
157,306,0.08,YES
158,48,0.52,YES
159,31,0.31,YES
160,62,0.8,NO
161,96,0.9,NO
162,77,0.86,NO
163,111,0.78,NO
164,43,0.0,NO
165,63,0.0,NO
166,235,0.89,NO
167,75,0.0,NO
168,43,0.53,NO
169,33,0.0,NO
170,63,0.23,NO
171,94,0.9,NO
172,40,0.0,NO
173,160,0.85,NO
174,40,0.0,NO
175,32,0.0,NO
176,86,0.01,NO
177,25,0.0,NO
178,178,0.9,YES
179,94,0.28,NO
180,167,0.0,YES
181,29,0.0,NO
182,26,0.0,YES
183,52,0.2,YES
184,43,0.0,NO
185,195,0.17083333333333336,YES
186,240,0.95,YES
187,28,0.0,NO
188,37,0.0,NO
189,69,0.05,NO
190,28,0.0,NO
191,284,0.95,YES
192,44,0.0,NO
193,51,0.05,NO
194,38,0.0,NO
195,52,0.0,NO
196,37,0.0,NO
197,46,0.0,NO
198,25,0.0,YES
199,113,0.12,YES
200,36,0.0,NO
201,116,0.12,NO
202,121,0.98,YES
