ID,Size,Predicted,Actual
0,78,0.49,NO
1,87,0.01,NO
2,198,0.95,NO
3,175,0.37,NO
4,68,0.33,NO
5,105,0.95,NO
6,58,0.011857517482517484,NO
7,196,0.42,NO
8,87,0.81,YES
9,132,0.03,YES
10,64,0.01,NO
11,134,0.04,YES
12,432,0.94,NO
13,174,0.53,NO
14,246,0.84,NO
15,107,0.4329285714285714,NO
16,121,0.0,NO
17,110,0.97,NO
18,58,0.011857517482517484,NO
19,37,0.22420238095238104,NO
20,77,0.03,NO
21,142,0.9,NO
22,114,0.02,NO
23,59,0.0,NO
24,64,0.01,NO
25,164,0.34,NO
26,70,0.86,NO
27,32,0.14872713397713397,NO
28,148,0.27,NO
29,156,0.2,NO
30,119,0.0,NO
31,118,0.0,NO
32,230,0.98,NO
33,156,0.2,NO
34,85,0.11,NO
35,48,0.3046515151515151,NO
36,263,0.82,YES
37,594,0.98,YES
38,39,0.12666666666666668,YES
39,39,0.12666666666666668,NO
40,39,0.12666666666666668,NO
41,24,0.04,NO
42,62,0.03,NO
43,77,0.03,YES
44,77,0.03,NO
45,54,0.03,NO
46,90,0.52,YES
47,58,0.05,NO
48,24,0.04,NO
49,64,0.01,NO
50,216,0.38285714285714284,YES
51,36,0.07,NO
52,36,0.07,NO
53,208,1.0,NO
54,74,0.01,NO
55,71,0.02,YES
56,56,0.05,YES
57,44,0.1,YES
58,55,0.05,YES
59,36,0.98,YES
60,43,0.96,YES
61,81,0.96,YES
62,75,0.99,YES
63,81,0.99,YES
64,88,0.99,YES
65,42,0.98,YES
66,82,0.98,NO
67,55,0.89,YES
68,48,0.9,NO
69,72,0.94,NO
70,113,0.97,YES
71,55,0.89,YES
72,35,0.79,YES
73,47,0.1,YES
74,101,0.75,YES
75,109,0.56,NO
76,28,0.01,YES
77,54,0.02,NO
78,158,0.78,YES
79,52,0.86,YES
80,53,0.02,YES
81,81,0.03,YES
82,83,0.07,YES
83,63,0.08716666666666667,YES
84,48,0.42200000000000004,NO
85,55,0.01,YES
86,149,0.81,YES
87,263,0.6759999999999999,YES
88,179,0.85,NO
89,37,0.2575,NO
90,25,0.66,NO
91,30,0.237,YES
92,36,0.76,NO
93,30,0.237,NO
94,27,0.435,NO
95,37,0.2575,NO
96,33,0.08250000000000002,NO
97,31,0.1875,NO
98,56,0.01,NO
99,101,0.17,NO
100,139,0.88,NO
101,85,0.56,NO
102,95,0.0475,NO
103,60,0.0075,YES
104,35,0.09750000000000003,NO
105,26,0.455,NO
106,69,0.02,YES
107,64,0.89,YES
108,39,0.3263333333333333,YES
109,41,0.32699999999999996,NO
110,167,0.78,YES
111,66,0.88,YES
112,93,0.82,NO
113,78,0.91,YES
114,134,0.97,YES
115,83,0.98,YES
116,48,0.3046515151515151,YES
117,85,0.11,NO
118,43,0.4633214285714285,YES
119,90,0.0,YES
120,202,0.408,NO
121,135,0.04,NO
122,30,0.0,NO
123,29,0.0,NO
124,67,0.94,NO
125,242,0.78,YES
126,64,0.01,YES
127,50,0.08,NO
128,89,0.0,YES
129,40,0.3036666666666667,NO
130,49,0.32916666666666666,YES
131,249,0.68,YES
132,40,0.014277777777777778,YES
133,171,0.805,YES
134,40,0.014277777777777778,YES
135,32,0.14872713397713397,YES
136,263,0.93,YES
137,128,0.56,YES
138,126,1.0,YES
139,143,1.0,YES
140,86,0.06,YES
141,69,0.74,YES
142,88,0.0,YES
143,42,0.25796428571428565,YES
144,32,0.14872713397713397,YES
145,56,0.31700357975357973,YES
146,51,0.0,YES
147,81,0.06457142857142857,YES
148,35,0.05085714285714287,YES
149,72,0.06,YES
150,46,0.3127142857142857,YES
151,46,0.3127142857142857,YES
152,44,0.2718095238095238,NO
153,29,0.0,NO
154,280,1.0,YES
155,63,0.64,YES
156,101,0.9,YES
