ID,Size,Predicted,Actual
0,118,0.48,NO
1,22,0.54125,NO
2,75,0.35,NO
3,133,0.73,NO
4,79,0.28,NO
5,91,0.24,NO
6,70,0.03,NO
7,57,0.009166666666666665,NO
8,70,0.03,NO
9,59,0.0,NO
10,88,0.6938333333333333,NO
11,40,0.1680952380952381,NO
12,104,0.38,NO
13,195,0.42,NO
14,201,0.37,NO
15,97,0.55,NO
16,101,0.4013333333333333,NO
17,98,0.2813333333333333,NO
18,187,0.4,NO
19,149,0.67,NO
20,151,0.62,NO
21,196,0.34,NO
22,90,0.7333333333333333,NO
23,115,0.51,NO
24,62,0.0,NO
25,61,0.0,NO
26,142,0.46,YES
27,47,0.41,YES
28,85,0.35791666666666666,NO
29,65,0.16483333333333333,NO
30,106,0.43,NO
31,85,0.45,NO
32,88,0.4,NO
33,144,0.33,NO
34,81,0.275,NO
35,80,0.6025,NO
36,69,0.03,NO
37,89,0.1,NO
38,67,0.01,NO
39,88,0.6938333333333333,NO
40,40,0.1680952380952381,NO
41,92,0.07,NO
42,95,0.64,NO
43,49,0.05,NO
44,102,0.71,NO
45,94,0.25,NO
46,72,0.02,NO
47,69,0.31,NO
48,86,0.28,NO
49,174,0.4,NO
50,131,0.67,NO
51,166,0.6033333333333333,NO
52,116,0.52,NO
53,155,0.69,NO
54,67,0.01,NO
55,88,0.6938333333333333,NO
56,40,0.1680952380952381,NO
57,57,0.009166666666666665,NO
58,39,0.08,NO
59,98,0.30133333333333334,NO
60,106,0.4,NO
61,101,0.3913333333333333,NO
62,94,0.25133333333333335,NO
63,76,0.6266666666666667,NO
64,116,0.135,NO
65,56,0.01,NO
66,48,0.76,NO
67,82,0.27,NO
68,45,0.74,NO
69,45,0.74,NO
70,30,0.10883333333333334,NO
71,77,0.495,NO
72,302,0.0,NO
73,86,0.67,NO
74,198,0.28699488011988,NO
75,175,0.0,NO
76,68,0.17,NO
77,105,0.3856666666666666,NO
78,194,0.25,NO
79,106,0.3956666666666666,NO
80,97,0.38,NO
81,65,0.16399999999999998,NO
82,101,0.5116666666666666,NO
83,62,0.18,NO
84,108,0.3356666666666666,NO
85,432,0.51,NO
86,173,0.24,NO
87,243,0.32,YES
88,107,0.79,NO
89,120,0.295,NO
90,110,0.1638464110142334,NO
91,58,0.027132101606648883,NO
92,37,0.06497157710124112,NO
93,77,0.07190751255288352,NO
94,142,0.0,NO
95,114,0.0,NO
96,80,0.12864351134896973,NO
97,59,0.0,NO
98,69,0.10178979947152747,NO
99,95,0.0919274839172442,NO
100,97,0.41,NO
101,95,0.636,NO
102,71,0.29,NO
103,114,0.58,NO
104,109,0.5541666666666667,NO
105,116,0.37,NO
106,88,0.19,NO
107,63,0.17065151515151514,NO
108,79,0.2,NO
109,105,0.23,NO
110,70,0.2996203410819367,NO
111,32,0.0650041950820116,NO
112,148,0.2024688807924102,NO
113,156,0.0,NO
114,119,0.1182331483091599,NO
115,116,0.23084231675427372,NO
116,73,0.37,NO
117,92,0.365,NO
118,125,0.39,NO
119,202,0.18,NO
120,181,0.16,NO
121,153,0.264,NO
122,98,0.41233333333333333,NO
123,88,0.435,NO
124,143,0.3142270334155008,NO
125,144,0.22,NO
126,112,0.235,NO
127,261,0.42,NO
128,629,0.7925,NO
129,39,0.0747454211626038,NO
130,39,0.0747454211626038,NO
131,37,0.016666666666666663,NO
132,39,0.0747454211626038,NO
133,24,0.0,NO
134,67,0.5213791060812047,NO
135,77,0.07190751255288352,NO
136,77,0.07190751255288352,NO
137,54,0.05501108104091564,NO
138,95,0.47,NO
139,58,0.027132101606648883,NO
140,24,0.0,NO
141,64,0.04248008271087196,NO
142,216,0.0,NO
143,36,0.05241380444169117,NO
144,36,0.05241380444169117,NO
145,208,0.0,NO
146,64,0.04248008271087196,NO
147,39,0.0747454211626038,NO
148,47,0.10172845437374572,NO
149,74,0.13976456589220945,NO
150,71,0.237949792664743,NO
151,175,0.68,NO
152,44,0.029743659308043017,NO
153,175,0.69,NO
154,58,0.0,NO
155,58,0.23,NO
156,290,0.96,NO
157,85,0.355,NO
158,35,0.0,NO
159,183,0.61,NO
160,231,0.204,NO
161,51,0.71,NO
162,238,0.5433333333333333,NO
163,139,0.705,NO
164,132,0.26,NO
165,484,0.6,NO
166,225,0.0,NO
167,42,0.022958768914138502,NO
168,44,0.029743659308043017,NO
169,94,0.06396847964402262,NO
170,166,0.49,NO
171,27,0.0,NO
172,47,0.10172845437374572,NO
173,60,0.04164784482782666,NO
174,37,0.016666666666666663,NO
175,68,0.4,NO
176,24,0.01,NO
177,32,0.0,NO
178,32,0.0,NO
179,36,0.17108233433233436,NO
180,35,0.01,NO
181,24,0.01,NO
182,36,0.17108233433233436,NO
183,34,0.0,NO
184,156,0.49,NO
185,125,0.28,NO
186,110,0.08,NO
187,97,0.2,NO
188,65,0.18,NO
189,67,0.08416666666666668,NO
190,69,0.13,NO
191,26,0.01,NO
192,76,0.4230555555555555,NO
193,55,0.02,NO
194,39,0.13400108225108223,NO
195,45,0.01,NO
196,45,0.01,NO
197,37,0.016666666666666663,NO
198,71,0.25,NO
199,45,0.01,NO
200,58,0.01,NO
