ID,Size,Predicted,Actual
0,111,0.4669082944410345,YES
1,22,0.08446958271094779,YES
2,75,0.603497725654994,NO
3,131,0.0,YES
4,74,0.49369634832419423,NO
5,84,0.5837841061967953,NO
6,70,0.6071530051973615,NO
7,57,0.28560775589794624,NO
8,70,0.6071530051973615,NO
9,59,0.0,NO
10,88,0.49828483217961056,NO
11,40,0.10526212177245384,NO
12,99,0.24273839761403537,NO
13,187,0.0,NO
14,196,0.0,NO
15,192,1.0,NO
16,97,0.4708379592632954,NO
17,98,0.4086307433448023,NO
18,96,0.092850186854098,NO
19,173,0.5306745218300594,NO
20,141,1.0,NO
21,142,0.2949190797949871,NO
22,188,0.0,NO
23,90,0.3556846204918049,NO
24,110,0.4505264127879319,NO
25,62,0.05349418204889386,NO
26,61,0.27871073229059723,NO
27,120,0.6129503273147915,NO
28,116,0.4771875148145332,NO
29,58,0.17986646362281633,NO
30,74,0.49369634832419423,NO
31,109,0.17,NO
32,49,0.52,NO
33,77,0.2988587400956047,NO
34,65,0.3604979330442206,NO
35,74,0.49369634832419423,NO
36,83,0.44663933885628443,NO
37,128,0.0,NO
38,72,0.19031751281163226,NO
39,76,0.6133822106915157,NO
40,69,0.41208636290892614,NO
41,83,0.44663933885628443,NO
42,65,0.3604979330442206,NO
43,88,0.49828483217961056,NO
44,40,0.10526212177245384,NO
45,86,0.48262456122281217,NO
46,89,0.5956096796891579,NO
47,49,0.3732272241083169,NO
48,102,0.6216338012462359,NO
49,94,0.2677416301286096,NO
50,72,0.19031751281163226,NO
51,60,0.35758749510571375,NO
52,76,0.6133822106915157,NO
53,92,0.19155008890743247,NO
54,96,0.092850186854098,NO
55,70,0.6071530051973615,NO
56,86,0.48262456122281217,NO
57,101,0.5934069818730477,NO
58,169,0.022334832506203474,NO
59,115,0.661274277584196,NO
60,153,0.33913274428098994,NO
61,58,0.17986646362281633,NO
62,47,0.4369535499455591,NO
63,49,0.3732272241083169,NO
64,58,0.17986646362281633,NO
65,70,0.6071530051973615,NO
66,141,1.0,NO
67,93,0.0,NO
68,273,0.0,NO
69,96,0.092850186854098,NO
70,50,0.4410371023141259,NO
71,241,1.0,NO
72,195,0.0,NO
73,131,0.0,NO
74,170,0.023828601747397826,YES
75,161,0.0,NO
76,102,0.6216338012462359,NO
77,150,0.9695276878222715,NO
78,65,0.3604979330442206,NO
