ID,Size,Predicted,Actual
0,111,0.41250146376624386,YES
1,22,0.01012323677049748,YES
2,75,0.6132123720739322,NO
3,131,0.0,YES
4,74,0.29814103052267604,NO
5,84,0.5881983849221278,NO
6,70,0.6249230508620934,NO
7,57,0.2629954299853035,NO
8,70,0.6249230508620934,NO
9,59,0.0,NO
10,88,0.518456952882077,NO
11,40,0.07402039244438192,NO
12,99,0.03909596065169284,NO
13,187,0.0,NO
14,196,0.0,NO
15,192,0.8946565837118267,NO
16,97,0.3833877235771451,NO
17,98,0.467667890775617,NO
18,96,0.01507078696106631,NO
19,173,0.31557262447361045,NO
20,141,1.0,NO
21,142,0.14423614033234103,NO
22,188,0.0,NO
23,90,0.19260839526409823,NO
24,110,0.221822734737549,NO
25,62,0.013638685319426976,NO
26,61,0.20060243076123535,NO
27,120,0.5904099687851163,NO
28,116,0.553333007323053,NO
29,58,0.06921023461256579,NO
30,74,0.29814103052267604,NO
31,109,0.05,NO
32,49,0.54,NO
33,77,0.20349722798733402,NO
34,65,0.3342576408546142,NO
35,74,0.29814103052267604,NO
36,83,0.4212869207575288,NO
37,128,0.0,NO
38,72,0.11961025626729337,NO
39,76,0.627273935656448,NO
40,69,0.4087197292159079,NO
41,83,0.4212869207575288,NO
42,65,0.3342576408546142,NO
43,88,0.518456952882077,NO
44,40,0.07402039244438192,NO
45,86,0.4907182358592109,NO
46,89,0.46919429246086103,NO
47,49,0.38314796072577745,NO
48,102,0.48664420352130366,NO
49,94,0.14542498774344542,NO
50,72,0.11961025626729337,NO
51,60,0.3303514418694787,NO
52,76,0.627273935656448,NO
53,92,0.03310514163996213,NO
54,96,0.01507078696106631,NO
55,70,0.6249230508620934,NO
56,86,0.4907182358592109,NO
57,101,0.6396165635556048,NO
58,169,0.014722943722943723,NO
59,115,0.31630902457049975,NO
60,153,0.14380326484971687,NO
61,58,0.06921023461256579,NO
62,47,0.38088965175143824,NO
63,49,0.38314796072577745,NO
64,58,0.06921023461256579,NO
65,70,0.6249230508620934,NO
66,141,1.0,NO
67,93,0.0,NO
68,273,0.0,NO
69,96,0.01507078696106631,NO
70,50,0.35985064578185977,NO
71,241,1.0,NO
72,195,0.0,NO
73,131,0.0,NO
74,170,0.020514043528791118,YES
75,161,0.0,NO
76,102,0.48664420352130366,NO
77,150,0.8952509205555657,NO
78,65,0.3342576408546142,NO
79,88,0.518456952882077,NO
80,40,0.07402039244438192,NO
81,57,0.2629954299853035,NO
82,39,0.260967012095233,NO
83,85,0.07555603458752709,NO
84,93,0.0,NO
85,87,0.27391068916028677,NO
86,81,0.6248737466820091,NO
87,95,0.1997684697387871,NO
88,66,0.5009400008637136,NO
89,94,0.14542498774344542,NO
90,76,0.627273935656448,NO
91,116,0.553333007323053,NO
92,56,0.290419110209036,NO
93,48,0.27195011911014055,NO
94,71,0.5469399953790436,NO
95,45,0.03348736736725124,NO
96,45,0.03348736736725124,NO
97,30,0.055824677894603374,NO
98,74,0.29814103052267604,NO
99,299,0.0,YES
100,82,0.6998079771191833,YES
101,197,0.47177893078383354,NO
102,173,0.31557262447361045,NO
103,84,0.5881983849221278,NO
104,75,0.6132123720739322,YES
105,65,0.3342576408546142,NO
106,96,0.01507078696106631,NO
107,193,0.0,NO
108,157,0.5033333333333333,NO
109,88,0.518456952882077,NO
110,67,0.1909371457052469,NO
111,92,0.03310514163996213,NO
112,56,0.290419110209036,NO
113,101,0.6396165635556048,YES
114,136,0.14300306637806642,NO
115,105,0.6095408458959582,NO
116,377,0.0,NO
117,174,0.0,NO
118,244,0.10386589799089797,NO
119,101,0.6396165635556048,YES
120,113,0.32800562142201933,NO
121,110,0.221822734737549,NO
122,58,0.06921023461256579,NO
123,37,0.25049967136785095,NO
124,77,0.20349722798733402,NO
125,142,0.14423614033234103,NO
126,118,0.0366516966366179,NO
127,80,0.36426473582237195,NO
128,59,0.0,NO
129,69,0.4087197292159079,NO
130,95,0.1997684697387871,NO
131,97,0.3833877235771451,NO
132,82,0.6998079771191833,NO
133,67,0.1909371457052469,NO
134,110,0.221822734737549,NO
135,103,0.0,NO
136,111,0.41250146376624386,NO
137,82,0.6998079771191833,NO
138,56,0.290419110209036,YES
139,73,0.0305128941252324,NO
140,100,0.0,NO
141,70,0.6249230508620934,YES
142,32,0.3518081265183484,NO
143,148,0.4908708344517219,NO
144,156,0.0,NO
145,119,0.25692802793307373,YES
146,116,0.553333007323053,NO
147,73,0.0305128941252324,NO
148,84,0.5881983849221278,NO
149,122,0.8107204816386244,NO
