ID,Size,Predicted,Actual
0,111,0.71,YES
1,22,0.06663731987228758,YES
2,75,0.37,NO
3,131,0.71,YES
4,74,0.5975,NO
5,84,0.51,NO
6,70,0.9477272727272728,NO
7,57,0.37427921583920015,NO
8,70,0.7069720131601847,NO
9,59,0.88,NO
10,88,0.9569444444444444,NO
11,40,0.07533158190909114,NO
12,99,0.45,NO
13,187,0.63,NO
14,196,0.63,NO
15,192,0.42,NO
16,97,0.9034722222222221,NO
17,98,0.33,NO
18,96,0.34,NO
19,173,0.63,NO
20,141,0.53,NO
21,142,0.61,NO
22,188,0.77,NO
23,90,0.9525,NO
24,110,0.39,NO
25,62,0.06810157757432293,NO
26,61,0.22255092618133368,NO
27,120,0.81,NO
28,116,0.609,NO
29,58,0.09,NO
30,74,0.6205555555555555,NO
31,113,0.68,NO
32,48,0.33,NO
33,77,0.71,NO
34,65,0.33346796888373825,NO
35,74,0.6875,NO
36,83,0.74,NO
37,128,0.73,NO
38,72,0.47,NO
39,76,0.66,NO
40,69,0.934,NO
41,83,0.62,NO
42,65,0.34931159420289853,NO
43,88,0.9569444444444444,NO
44,40,0.07533158190909114,NO
45,86,0.55,NO
46,89,0.53,NO
47,49,0.4211862596482484,NO
48,102,0.7964603174603174,NO
49,94,0.9201046176046177,NO
50,72,0.8933333333333333,NO
51,60,0.48,NO
52,76,0.64,NO
53,92,0.63,NO
54,96,0.7472857142857143,NO
55,70,0.287,NO
56,86,0.61,NO
57,101,0.58,NO
58,169,0.77,NO
59,115,0.61,NO
60,153,0.82,NO
61,58,0.5161666666666666,NO
62,47,0.5183333333333333,NO
63,49,0.5553333333333333,NO
64,58,0.5161666666666666,NO
65,70,0.325,NO
66,141,0.8166666666666668,NO
67,93,0.49,NO
68,273,0.76,NO
69,96,0.78,NO
70,50,0.5353333333333334,NO
71,241,0.64,NO
72,195,0.7,NO
73,131,1.0,NO
74,170,0.7,YES
75,161,0.43,NO
76,102,0.52,NO
77,150,0.56,NO
78,65,0.34931159420289853,NO
79,88,0.9569444444444444,NO
80,40,0.07533158190909114,NO
81,57,0.37427921583920015,NO
82,39,0.2772563087116677,NO
83,85,0.56,NO
84,93,0.54,NO
85,87,0.55,NO
86,81,0.62,NO
87,95,0.39535714285714285,NO
88,66,0.16,NO
89,94,0.38285714285714284,NO
90,76,0.975,NO
91,116,0.9875,NO
92,56,0.23976680016900587,NO
93,48,0.27104085974637526,NO
94,71,0.47,NO
95,45,0.1341457846064287,NO
96,45,0.1341457846064287,NO
97,30,0.09903527701567015,NO
98,74,0.5075,NO
99,299,0.6566666666666667,YES
100,82,0.68,YES
101,197,0.43,NO
102,173,0.48,NO
103,84,0.42,NO
104,75,0.32,YES
105,65,0.39,NO
106,96,0.61,NO
107,193,0.63,NO
108,98,0.53,NO
109,88,0.6896491228070175,NO
110,67,0.23,NO
111,92,0.665,NO
112,56,0.42,NO
113,101,0.52,YES
114,136,0.8,NO
115,105,0.64,NO
116,377,0.59,NO
117,174,0.64,NO
118,244,0.88,NO
119,101,0.62,YES
120,113,0.86,NO
121,110,0.33074250749250744,NO
122,58,0.242118156062092,NO
123,37,0.29655409785731396,NO
124,77,0.9316666666666668,NO
125,142,1.0,NO
126,118,0.9916666666666667,NO
127,80,0.9866666666666667,NO
128,59,0.0,NO
129,69,0.934,NO
130,95,0.9236785714285715,NO
131,97,0.9034722222222221,NO
132,82,0.71,NO
133,67,0.44,NO
134,110,0.53,NO
135,103,0.6,NO
136,111,0.62,NO
137,82,0.73,NO
138,56,0.46,YES
139,73,0.56,NO
140,100,0.6,NO
141,70,0.7069720131601847,YES
