@relation STORM_TRAINING_14.arff
@attribute SIZE numeric
@attribute LOC_ADDED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_DELETED numeric
@attribute AVG_LOC_DELETED numeric
@attribute CHURN numeric
@attribute MAX_CHURN numeric
@attribute AVG_CHURN numeric
@attribute FIXED_DEFECTS numeric
@attribute NUMBER_OF_COMMITS numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute IS_BUGGY {'True', 'False'}
@data
958,3504,799,100.11428571428571,829,122,100.11428571428571,2819,799,80.54285714285714,0,35,9,True
89,108,82,21.6,12,6,21.6,96,82,19.2,0,5,3,True
18,54,18,18.0,0,0,18.0,54,18,18.0,0,3,2,False
30,90,30,30.0,0,0,30.0,90,30,30.0,0,3,2,False
10,30,10,10.0,0,0,10.0,30,10,10.0,0,3,2,False
152,456,152,152.0,0,0,152.0,456,152,152.0,0,3,2,False
102,306,102,102.0,0,0,102.0,306,102,102.0,0,3,2,False
136,408,136,136.0,0,0,136.0,408,136,136.0,0,3,2,False
34,104,34,20.8,2,1,20.8,102,34,20.4,0,5,3,False
34,104,34,20.8,2,1,20.8,102,34,20.4,0,5,3,False
91,273,91,91.0,0,0,91.0,273,91,91.0,0,3,2,False
29,87,29,29.0,0,0,29.0,87,29,29.0,0,3,2,False
36,108,36,36.0,0,0,36.0,108,36,36.0,0,3,2,False
419,1257,419,419.0,0,0,419.0,1257,419,419.0,0,3,2,False
365,1095,365,365.0,0,0,365.0,1095,365,365.0,0,3,2,False
13,39,13,13.0,0,0,13.0,39,13,13.0,0,3,2,False
5,15,5,5.0,0,0,5.0,15,5,5.0,0,3,2,False
74,222,74,74.0,0,0,74.0,222,74,74.0,0,3,2,False
152,456,152,152.0,0,0,152.0,456,152,152.0,0,3,2,False
58,174,58,58.0,0,0,58.0,174,58,58.0,0,3,2,False
76,228,76,76.0,0,0,76.0,228,76,76.0,0,3,2,False
32,96,32,32.0,0,0,32.0,96,32,32.0,0,3,2,False
366,1098,366,366.0,0,0,366.0,1098,366,366.0,0,3,2,False
42,126,42,42.0,0,0,42.0,126,42,42.0,0,3,2,False
78,234,78,78.0,0,0,78.0,234,78,78.0,0,3,2,False
327,984,328,328.0,0,0,328.0,984,328,328.0,0,3,2,False
426,1281,427,427.0,0,0,427.0,1281,427,427.0,0,3,2,False
1110,3333,1111,1111.0,0,0,1111.0,3333,1111,1111.0,0,3,2,False
597,1794,598,598.0,0,0,598.0,1794,598,598.0,0,3,2,False
706,2121,707,707.0,0,0,707.0,2121,707,707.0,0,3,2,False
385,1155,385,385.0,0,0,385.0,1155,385,385.0,0,3,2,False
